tournament_name,match_id,match_name,team1,team1_score,team2,team2_score,total_games,week,patch,date,url
LEC Winter 2023,45323,VIT vs XL,Team Vitality,1,Excel Esports,0,1,WEEK3,13.1,2023-02-06,https://gol.gg/game/stats/45323/page-game/
LEC Winter 2023,45322,MAD Lions vs G2 Esports,MAD Lions,1,G2 Esports,0,1,WEEK3,13.1,2023-02-06,https://gol.gg/game/stats/45322/page-game/
LEC Winter 2023,45321,Fnatic vs SK Gaming,SK Gaming,1,Fnatic,0,1,WEEK3,13.1,2023-02-06,https://gol.gg/game/stats/45321/page-game/
LEC Winter 2023,45320,Astralis vs KOI,KOI,1,Astralis,0,1,WEEK3,13.1,2023-02-06,https://gol.gg/game/stats/45320/page-game/
LEC Winter 2023,45319,TH vs Team BDS,Team BDS,1,Team Heretics,0,1,WEEK3,13.1,2023-02-06,https://gol.gg/game/stats/45319/page-game/
LEC Winter 2023,45318,KOI vs G2 Esports,G2 Esports,1,KOI,0,1,WEEK3,13.1,2023-02-05,https://gol.gg/game/stats/45318/page-game/
LEC Winter 2023,45317,Fnatic vs Astralis,Astralis,1,Fnatic,0,1,WEEK3,13.1,2023-02-05,https://gol.gg/game/stats/45317/page-game/
LEC Winter 2023,45316,MAD Lions vs TH,Team Heretics,0,MAD Lions,1,1,WEEK3,13.1,2023-02-05,https://gol.gg/game/stats/45316/page-game/
LEC Winter 2023,45315,VIT vs Team BDS,Team BDS,0,Team Vitality,1,1,WEEK3,13.1,2023-02-05,https://gol.gg/game/stats/45315/page-game/
LEC Winter 2023,45314,SK Gaming vs XL,SK Gaming,1,Excel Esports,0,1,WEEK3,13.1,2023-02-05,https://gol.gg/game/stats/45314/page-game/
LEC Winter 2023,45313,VIT vs KOI,KOI,1,Team Vitality,0,1,WEEK3,13.1,2023-02-04,https://gol.gg/game/stats/45313/page-game/
LEC Winter 2023,45312,Fnatic vs MAD Lions,Fnatic,0,MAD Lions,1,1,WEEK3,13.1,2023-02-04,https://gol.gg/game/stats/45312/page-game/
LEC Winter 2023,45311,Team BDS vs G2 Esports,G2 Esports,1,Team BDS,0,1,WEEK3,13.1,2023-02-04,https://gol.gg/game/stats/45311/page-game/
LEC Winter 2023,45310,TH vs XL,Excel Esports,0,Team Heretics,1,1,WEEK3,13.1,2023-02-04,https://gol.gg/game/stats/45310/page-game/
LEC Winter 2023,45309,SK Gaming vs Astralis,Astralis,1,SK Gaming,0,1,WEEK3,13.1,2023-02-04,https://gol.gg/game/stats/45309/page-game/
LEC Winter 2023,44941,Fnatic vs TH,Fnatic,0,Team Heretics,1,1,WEEK2,13.1,2023-01-30,https://gol.gg/game/stats/44941/page-game/
LEC Winter 2023,44940,G2 Esports vs VIT,G2 Esports,0,Team Vitality,1,1,WEEK2,13.1,2023-01-30,https://gol.gg/game/stats/44940/page-game/
LEC Winter 2023,44939,KOI vs SK Gaming,SK Gaming,1,KOI,0,1,WEEK2,13.1,2023-01-30,https://gol.gg/game/stats/44939/page-game/
LEC Winter 2023,44938,Team BDS vs MAD Lions,Team BDS,1,MAD Lions,0,1,WEEK2,13.1,2023-01-30,https://gol.gg/game/stats/44938/page-game/
LEC Winter 2023,44937,XL vs Astralis,Excel Esports,0,Astralis,1,1,WEEK2,13.1,2023-01-30,https://gol.gg/game/stats/44937/page-game/
LEC Winter 2023,44936,KOI vs MAD Lions,KOI,0,MAD Lions,1,1,WEEK2,13.1,2023-01-29,https://gol.gg/game/stats/44936/page-game/
LEC Winter 2023,44935,Fnatic vs XL,Excel Esports,0,Fnatic,1,1,WEEK2,13.1,2023-01-29,https://gol.gg/game/stats/44935/page-game/
LEC Winter 2023,44934,G2 Esports vs TH,Team Heretics,0,G2 Esports,1,1,WEEK2,13.1,2023-01-29,https://gol.gg/game/stats/44934/page-game/
LEC Winter 2023,44933,SK Gaming vs VIT,Team Vitality,0,SK Gaming,1,1,WEEK2,13.1,2023-01-29,https://gol.gg/game/stats/44933/page-game/
LEC Winter 2023,44932,Astralis vs Team BDS,Astralis,0,Team BDS,1,1,WEEK2,13.1,2023-01-29,https://gol.gg/game/stats/44932/page-game/
