tournament_name,Draft mode,Number of games,Average game duration,Average kills / game,Shortest game,Longest game,Game with the most kills,url,Unnamed: 9,Unnamed: 10,
LEC Winter 2023,Classic,45,33:10,27.0,18:45 - G2 Esports vs TH,54:06 - VIT vs XL,55 Kills in 54:06 - VIT vs XL,https://gol.gg/tournament/tournament-stats/LEC%20Winter%202023/,,,
LEC Winter Groups 2023,Classic,24,30:53,,,,,https://gol.gg/tournament/tournament-stats/LEC%20Winter%20Groups%202023/,,,
LEC Winter Playoffs 2023,Classic,16,30:23,,,,,https://gol.gg/tournament/tournament-stats/LEC%20Winter%20Playoffs%202023/,,,
LPL Spring 2023,Classic,329,31:50,25.0,,,,https://gol.gg/tournament/tournament-stats/LPL%20Spring%202023/,,,
LEC Spring Season 2023,Classic,46,32:31,28.0,,,,https://gol.gg/tournament/tournament-stats/LEC%20Spring%20Season%202023/,,,
LEC Spring Groups 2023,Classic,24,30:08,,,,,https://gol.gg/tournament/tournament-stats/LEC%20Spring%20Groups%202023/,,,
LEC Spring Playoffs 2023,Classic,17,30:19,,,,,https://gol.gg/tournament/tournament-stats/LEC%20Spring%20Playoffs%202023/,,,
LPL Spring Playoffs 2023,Classic,50,31:28,,,,,https://gol.gg/tournament/tournament-stats/LPL%20Spring%20Playoffs%202023/,,,
LCS Spring 2023,Classic,93,33:54,,,,,https://gol.gg/tournament/tournament-stats/LCS%20Spring%202023/,,,
LCS Spring Playoffs 2023,Classic,30,32:17,25.0,,,,https://gol.gg/tournament/tournament-stats/LCS%20Spring%20Playoffs%202023/,,,
LCK Spring 2023,Classic,218,32:11,21.0,,,,https://gol.gg/tournament/tournament-stats/LCK%20Spring%202023/,,,
LCK Spring Playoffs 2023,Classic,33,34:14,23.0,,,,https://gol.gg/tournament/tournament-stats/LCK%20Spring%20Playoffs%202023/,,,
MSI 2023,Classic,76,30:07,,,,,https://gol.gg/tournament/tournament-stats/MSI%202023/,,,
LPL Summer 2023,Classic,324,30:17,26.0,,,,https://gol.gg/tournament/tournament-stats/LPL%20Summer%202023/,,,
LEC Summer 2023,Classic,45,32:04,,,,,https://gol.gg/tournament/tournament-stats/LEC%20Summer%202023/,,,
LEC Summer Groups 2023,Classic,22,31:53,,,,,https://gol.gg/tournament/tournament-stats/LEC%20Summer%20Groups%202023/,,,
LEC Summer Playoffs 2023,Classic,16,30:44,32.0,,,,https://gol.gg/tournament/tournament-stats/LEC%20Summer%20Playoffs%202023/,,,
LPL Summer Playoffs 2023,Classic,52,30:58,,,,,https://gol.gg/tournament/tournament-stats/LPL%20Summer%20Playoffs%202023/,,,
LCK Summer 2023,Classic,206,31:05,23.0,,,,https://gol.gg/tournament/tournament-stats/LCK%20Summer%202023/,,,
LCK Summer Playoffs 2023,Classic,31,31:50,24,,,,https://gol.gg/tournament/tournament-stats/LCK%20Summer%20Playoffs%202023/,,,
LCS Summer 2023,Classic,92,31:17,,,,,https://gol.gg/tournament/tournament-stats/LCS%20Summer%202023/,,,
LCS Championship 2023,Classic,49,31:53,27,,,,https://gol.gg/tournament/tournament-stats/LCS%20Championship%202023/,,,
LPL Regional Finals 2023,Classic,13,27:21,,,,,https://gol.gg/tournament/tournament-stats/LPL%20Regional%20Finals%202023/,,,
LCK Regional Finals 2023,Classic,11,31:26,20,,,,https://gol.gg/tournament/tournament-stats/LCK%20Regional%20Finals%202023/,,,
LEC Season Finals 2023,Classic,33,29:45,,,,,https://gol.gg/tournament/tournament-stats/LEC%20Season%20Finals%202023/,,,
Worlds Qualifying Series 2023,Classic,3,28:08,17,20:24 - Team BDS vs GG,,,https://gol.gg/tournament/tournament-stats/Worlds%20Qualifying%20Series%202023/,,,
Worlds Play-In 2023,Classic,31,32:13,27,,,,https://gol.gg/tournament/tournament-stats/Worlds%20Play-In%202023/,,,
Worlds Main Event 2023,Classic,79,31:09,24,,,,https://gol.gg/tournament/tournament-stats/Worlds%20Main%20Event%202023/,,,
LEC Winter Season 2024,Classic,45,32:20,,,,,https://gol.gg/tournament/tournament-stats/LEC%20Winter%20Season%202024/,,,
LEC Winter Playoffs 2024,Classic,40,31:49,,,,,https://gol.gg/tournament/tournament-stats/LEC%20Winter%20Playoffs%202024/,,,
LPL Spring 2024,Classic,324,32:37,25,,,,https://gol.gg/tournament/tournament-stats/LPL%20Spring%202024/,,,
LEC Spring Season 2024,Classic,46,32:22,27,,,,https://gol.gg/tournament/tournament-stats/LEC%20Spring%20Season%202024/,,,
LEC Spring Playoffs 2024,Classic,42,30:27,31,,,,https://gol.gg/tournament/tournament-stats/LEC%20Spring%20Playoffs%202024/,,,
LPL Spring Playoffs 2024,Classic,51,33:12,,,,,https://gol.gg/tournament/tournament-stats/LPL%20Spring%20Playoffs%202024/,,,
LCS Spring 2024,Classic,57,33:22,,,,,https://gol.gg/tournament/tournament-stats/LCS%20Spring%202024/,,,
LCS Spring Playoffs 2024,Classic,30,31:58,,,,,https://gol.gg/tournament/tournament-stats/LCS%20Spring%20Playoffs%202024/,,,
LCK Spring 2024,Classic,210,32:38,,,,,https://gol.gg/tournament/tournament-stats/LCK%20Spring%202024/,,,
LCK Spring Playoffs 2024,Classic,32,35:24,28,,,,https://gol.gg/tournament/tournament-stats/LCK%20Spring%20Playoffs%202024/,,,
MSI 2024,Classic,78,30:58,29,,,,https://gol.gg/tournament/tournament-stats/MSI%202024/,,,
LPL Summer Placements 2024,Classic,130,32:10,27,,,,https://gol.gg/tournament/tournament-stats/LPL%20Summer%20Placements%202024/,,,
LPL Summer Season 2024,Classic,152,32:57,,,,,https://gol.gg/tournament/tournament-stats/LPL%20Summer%20Season%202024/,,,
