month,event_name,event_id,teams,prize,link
"September 2025
1 - 50 of 206",FISSURE Playground 2,8064,16,"$1,250,000",https://www.hltv.org/events/8064/fissure-playground-2
"September 2025
1 - 50 of 206",BLAST Open London 2025 Finals,7912,6,"$330,000",https://www.hltv.org/events/7912/blast-open-london-2025-finals
"September 2025
1 - 50 of 206",BLAST Open London 2025,7907,16,LAN Finals spots,https://www.hltv.org/events/7907/blast-open-london-2025
August 2025,Esports World Cup 2025,8039,16,"$1,250,000",https://www.hltv.org/events/8039/esports-world-cup-2025
August 2025,BLAST Bounty 2025 Season 2,7906,32,LAN Finals spots,https://www.hltv.org/events/7906/blast-bounty-2025-season-2
August 2025,IEM Cologne 2025,8038,16,"$1,250,000",https://www.hltv.org/events/8038/iem-cologne-2025
July 2025,IEM Cologne 2025 Stage 1,8230,16,Stage 2 spots,https://www.hltv.org/events/8230/iem-cologne-2025-stage-1
June 2025,BLAST.tv Austin Major 2025,7902,16,"$1,250,000",https://www.hltv.org/events/7902/blasttv-austin-major-2025
June 2025,BLAST.tv Austin Major 2025 Stage 2,8437,16,Stage 3 spots,https://www.hltv.org/events/8437/blasttv-austin-major-2025-stage-2
May 2025,IEM Dallas 2025,8037,16,"$1,000,000",https://www.hltv.org/events/8037/iem-dallas-2025
May 2025,BLAST Rivals 2025 Season 1,7905,8,"$350,000",https://www.hltv.org/events/7905/blast-rivals-2025-season-1
April 2025,IEM Melbourne 2025,8036,16,"$1,000,000",https://www.hltv.org/events/8036/iem-melbourne-2025
April 2025,PGL Bucharest 2025,8044,16,"$1,250,000",https://www.hltv.org/events/8044/pgl-bucharest-2025
March 2025,BLAST Open Lisbon 2025,7904,16,"$400,000",https://www.hltv.org/events/7904/blast-open-lisbon-2025
February 2025,PGL Cluj-Napoca 2025,8043,16,"$1,250,000",https://www.hltv.org/events/8043/pgl-cluj-napoca-2025
February 2025,IEM Katowice 2025,8034,16,"$1,250,000",https://www.hltv.org/events/8034/iem-katowice-2025
January 2025,BLAST Bounty 2025 Season 1,7903,32,LAN Finals spots,https://www.hltv.org/events/7903/blast-bounty-2025-season-1
December 2024,Perfect World Shanghai Major 2024,7524,16,"$1,250,000",https://www.hltv.org/events/7524/perfect-world-shanghai-major-2024
November 2024,Perfect World Shanghai Major 2024 Europe RMR A,7864,16,PW Shanghai Major spots,https://www.hltv.org/events/7864/perfect-world-shanghai-major-2024-europe-rmr-a
November 2024,BLAST Premier World Final 2024,7557,8,"$1,000,000",https://www.hltv.org/events/7557/blast-premier-world-final-2024
October 2024,IEM Rio 2024,7439,16,"$250,000",https://www.hltv.org/events/7439/iem-rio-2024
September 2024,BLAST Premier Fall Final 2024,7556,8,"$425,000",https://www.hltv.org/events/7556/blast-premier-fall-final-2024
September 2024,ESL Pro League Season 20,7441,32,"$750,000",https://www.hltv.org/events/7441/esl-pro-league-season-20
August 2024,BLAST Premier Fall Showdown 2024,7555,16,"$135,000",https://www.hltv.org/events/7555/blast-premier-fall-showdown-2024
August 2024,IEM Cologne 2024,7436,16,"$1,000,000",https://www.hltv.org/events/7436/iem-cologne-2024
August 2024,BLAST Premier Fall Groups 2024,7554,16,"$190,000",https://www.hltv.org/events/7554/blast-premier-fall-groups-2024
July 2024,Esports World Cup 2024,7732,15,"$1,000,000",https://www.hltv.org/events/7732/esports-world-cup-2024
June 2024,BLAST Premier Spring Final 2024,7485,8,"$425,000",https://www.hltv.org/events/7485/blast-premier-spring-final-2024
June 2024,IEM Dallas 2024,7438,16,"$250,000",https://www.hltv.org/events/7438/iem-dallas-2024
May 2024,ESL Pro League Season 19,7440,32,"$750,000",https://www.hltv.org/events/7440/esl-pro-league-season-19
April 2024,IEM Chengdu 2024,7437,16,"$250,000",https://www.hltv.org/events/7437/iem-chengdu-2024
March 2024,PGL CS2 Major Copenhagen 2024,7148,16,"$1,250,000",https://www.hltv.org/events/7148/pgl-cs2-major-copenhagen-2024
February 2024,PGL CS2 Major Copenhagen 2024 Europe RMR A,7259,16,PGL Major Copenhagen spots,https://www.hltv.org/events/7259/pgl-cs2-major-copenhagen-2024-europe-rmr-a
February 2024,IEM Katowice 2024,7435,16,"$1,000,000",https://www.hltv.org/events/7435/iem-katowice-2024
January 2024,BLAST Premier Spring Groups 2024,7552,16,"$190,000",https://www.hltv.org/events/7552/blast-premier-spring-groups-2024
December 2023,BLAST Premier World Final 2023,6976,8,"$1,000,000",https://www.hltv.org/events/6976/blast-premier-world-final-2023
November 2023,BLAST Premier Fall Final 2023,6975,8,"$425,000",https://www.hltv.org/events/6975/blast-premier-fall-final-2023
November 2023,CS Asia Championships 2023,7365,8,"$500,000",https://www.hltv.org/events/7365/cs-asia-championships-2023
November 2023,Thunderpick World Championship 2023,7289,16,"$500,000",https://www.hltv.org/events/7289/thunderpick-world-championship-2023
October 2023,IEM Sydney 2023,6865,16,"$250,000",https://www.hltv.org/events/6865/iem-sydney-2023
October 2023,ESL Pro League Season 18,6863,32,"$850,000",https://www.hltv.org/events/6863/esl-pro-league-season-18
August 2023,Gamers8 2023,7128,16,"$1,000,000",https://www.hltv.org/events/7128/gamers8-2023
August 2023,IEM Cologne 2023,6811,16,"$1,000,000",https://www.hltv.org/events/6811/iem-cologne-2023
July 2023,BLAST Premier Fall Groups 2023,6973,12,"$177,500",https://www.hltv.org/events/6973/blast-premier-fall-groups-2023
July 2023,SteelSeries CS2 Legends vs Champions 2023,7299,2,"$10,000",https://www.hltv.org/events/7299/steelseries-cs2-legends-vs-champions-2023
June 2023,BLAST Premier Spring Final 2023,6972,8,"$425,000",https://www.hltv.org/events/6972/blast-premier-spring-final-2023
June 2023,IEM Dallas 2023,6861,16,"$250,000",https://www.hltv.org/events/6861/iem-dallas-2023
May 2023,BLAST.tv Paris Major 2023,6793,16,"$1,250,000",https://www.hltv.org/events/6793/blasttv-paris-major-2023
May 2023,BLAST.tv Paris Major 2023 Challengers Stage,6794,16,8 spots in Legends Stage,https://www.hltv.org/events/6794/blasttv-paris-major-2023-challengers-stage
April 2023,IEM Rio 2023,6864,16,"$250,000",https://www.hltv.org/events/6864/iem-rio-2023
