team1,team2,score,event,match_url
LAG,BOSS,1-2,ESL Challenger League Season 50 North America Cup 3,https://www.hltv.org/matches/2386625/lag-vs-boss-esl-challenger-league-season-50-north-america-cup-3
ex-Chicken Coop,Take Flyte,2-0,ESL Challenger League Season 50 North America Cup 3,https://www.hltv.org/matches/2386626/ex-chicken-coop-vs-take-flyte-esl-challenger-league-season-50-north-america-cup-3
regain,Mythic,2-0,ESL Challenger League Season 50 North America Cup 3,https://www.hltv.org/matches/2386623/regain-vs-mythic-esl-challenger-league-season-50-north-america-cup-3
Lotus fe,FlyQuest RED,0-2,ESL Impact League Season 8 North America,https://www.hltv.org/matches/2386300/lotus-fe-vs-flyquest-red-esl-impact-league-season-8-north-america
Shimmer,Nocturnal,2-0,ESL Impact League Season 8 North America,https://www.hltv.org/matches/2386301/shimmer-vs-nocturnal-esl-impact-league-season-8-north-america
FULL SEND,TSG,0-1,ESL Challenger League Season 50 North America Cup 3,https://www.hltv.org/matches/2386624/full-send-vs-tsg-esl-challenger-league-season-50-north-america-cup-3
2GAME,LP,2-1,ESL Challenger League Season 50 South America Cup 3,https://www.hltv.org/matches/2386594/2game-vs-lp-esl-challenger-league-season-50-south-america-cup-3
KRÜ,FOLHA AMARELA,0-2,CCT Season 3 South America Series 5,https://www.hltv.org/matches/2386683/kr-vs-folha-amarela-cct-season-3-south-america-series-5
Gaimin Gladiators,Tropa do KinGui,2-0,ESL Challenger League Season 50 South America Cup 3,https://www.hltv.org/matches/2386593/gaimin-gladiators-vs-tropa-do-kingui-esl-challenger-league-season-50-south-america-cup-3
FURIA fe,Four Magic,2-0,ESL Impact League Season 8 South America,https://www.hltv.org/matches/2386296/furia-fe-vs-four-magic-esl-impact-league-season-8-south-america
Sharks,Procyon,0-2,ESL Challenger League Season 50 South America Cup 3,https://www.hltv.org/matches/2386596/sharks-vs-procyon-esl-challenger-league-season-50-south-america-cup-3
Atrix,CAPIVARAS,2-0,ESL Impact League Season 8 South America,https://www.hltv.org/matches/2386297/atrix-vs-capivaras-esl-impact-league-season-8-south-america
MANA,Phantom,3-2,T-Esports Championship Season 4,https://www.hltv.org/matches/2386766/mana-vs-phantom-t-esports-championship-season-4
ShindeN,KRÜ,1-0,ESL Challenger League Season 50 South America Cup 3,https://www.hltv.org/matches/2386595/shinden-vs-kr-esl-challenger-league-season-50-south-america-cup-3
CYBERSHOKE,Monte,1-2,ESL Challenger League Season 50 Europe Cup 3,https://www.hltv.org/matches/2386547/cybershoke-vs-monte-esl-challenger-league-season-50-europe-cup-3
Yawara,MIBR Academy,2-0,CCT Season 3 South America Series 5,https://www.hltv.org/matches/2386682/yawara-vs-mibr-academy-cct-season-3-south-america-series-5
FAVBET,EYEBALLERS,2-1,ESL Challenger League Season 50 Europe Cup 3,https://www.hltv.org/matches/2386548/favbet-vs-eyeballers-esl-challenger-league-season-50-europe-cup-3
