id,tournament_id,season_id,home_team_id,home_team_name,away_team_id,away_team_name,home_team_score,away_team_score,start_time
110834,68482,,38955,FURIA,39475,CR4ZY,2,0,2019-09-14T18:30:00+00:00
110835,68482,,39475,CR4ZY,38309,SJ,2,1,2019-09-14T13:30:00+00:00
110847,68482,,38955,FURIA,38831,Cloud9,2,0,2019-09-14T09:00:00+00:00
110834,,12201,38955,FURIA,39475,CR4ZY,2,0,2019-09-14T18:30:00+00:00
110835,,12201,39475,CR4ZY,38309,SJ,2,1,2019-09-14T13:30:00+00:00
110847,,12201,38955,FURIA,38831,Cloud9,2,0,2019-09-14T09:00:00+00:00
137191,71654,,38862,MOUZ,38483,FaZe,0,2,2023-11-12T13:15:00+00:00
136360,71295,,2301,TYLOO,2626,Lynn Vision,1.0,2.0,2023-11-08T12:15:00+00:00
141572,71295,,38496,ENCE,38462,Astralis,1.0,2.0,2023-11-08T08:35:00+00:00
248166,71295,,38951,Virtus.pro,61652,Legacy,,,2025-10-14T03:00:00+00:00
248170,71295,,2626,Lynn Vision,2890,MIBR,,,2025-10-14T04:00:00+00:00
248232,71295,,38718,GamerLegion,38828,Liquid,,,2025-10-14T04:00:00+00:00
248233,71295,,295600,3DMAX,296362,The Huns Esports,,,2025-10-14T03:00:00+00:00
136580,71298,,39484,Wings Up,3142,NiP,0.0,2.0,2023-11-09T13:15:00+00:00
141499,71298,,38862,MOUZ,38483,FaZe,1.0,2.0,2023-11-09T09:20:00+00:00
248167,71298,,39752,paiN,38749,Fnatic,,,2025-10-14T05:00:00+00:00
248168,71298,,2301,TYLOO,41003,Fluxo,,,2025-10-14T05:00:00+00:00
248169,71298,,38960,Heroic,38793,B8,,,2025-10-14T06:00:00+00:00
248234,71298,,38483,FaZe,400836,FUT Esports,,,2025-10-14T06:00:00+00:00
108979,68249,,38377,G2,40280,Evil Geniuses,1,2,2019-11-21T06:00:00+00:00
108980,68249,,2301,TYLOO,2890,MIBR,2,0,2019-11-21T03:00:00+00:00
108999,68249,,40280,Evil Geniuses,2890,MIBR,0,2,2019-11-20T05:45:00+00:00
109000,68249,,38377,G2,2301,TYLOO,0,2,2019-11-20T03:00:00+00:00
108897,68225,,38496,ENCE,2890,MIBR,2,1,2019-11-24T05:00:00+00:00
108898,68225,,2301,TYLOO,38862,MOUZ,1,2,2019-11-24T08:50:00+00:00
108900,68225,,38496,ENCE,38862,MOUZ,0,2,2019-11-24T13:30:00+00:00
108934,68225,,2890,MIBR,38474,AVANGAR,2,1,2019-11-23T05:00:00+00:00
108935,68225,,40280,Evil Geniuses,38862,MOUZ,0,2,2019-11-23T05:00:00+00:00
109466,68225,,41849,5POWER,39700,ViCi,0,2,2019-11-03T06:00:00+00:00
109472,68225,,42196,EHOME,39700,ViCi,1,3,2019-11-03T09:10:00+00:00
109500,68225,,40244,D7G,39598,Invictus,0,2,2019-11-02T03:00:00+00:00
109501,68225,,41849,5POWER,2626,Lynn Vision,2,0,2019-11-02T05:15:00+00:00
109502,68225,,39598,Invictus,41849,5POWER,1,2,2019-11-02T10:10:00+00:00
109503,68225,,39700,ViCi,42196,EHOME,0,2,2019-11-02T07:50:00+00:00
109535,68225,,41849,5POWER,40244,D7G,2,0,2019-11-01T03:00:00+00:00
109537,68225,,2626,Lynn Vision,39598,Invictus,1,2,2019-11-01T05:10:00+00:00
109538,68225,,39700,ViCi,272359,Brave of Warriors,2,0,2019-11-01T03:00:00+00:00
109539,68225,,42196,EHOME,40021,Aster,2,0,2019-11-01T05:10:00+00:00
109540,68225,,39700,ViCi,41849,5POWER,2,0,2019-11-01T09:00:00+00:00
109541,68225,,272359,Brave of Warriors,40244,D7G,0,2,2019-11-01T07:50:00+00:00
109542,68225,,2626,Lynn Vision,40021,Aster,2,0,2019-11-01T10:40:00+00:00
109543,68225,,39598,Invictus,42196,EHOME,0,2,2019-11-01T11:20:00+00:00
108957,68245,,39700,ViCi,38474,AVANGAR,1,2,2019-11-21T12:45:00+00:00
108981,68245,,38496,ENCE,38862,MOUZ,2,1,2019-11-21T08:40:00+00:00
109001,68245,,38474,AVANGAR,38862,MOUZ,0,2,2019-11-20T10:45:00+00:00
109002,68245,,38496,ENCE,39700,ViCi,2,0,2019-11-20T08:25:00+00:00
243996,102999,,42162,BetBoom Team,38374,Sashi Esport,1,0,2025-08-10T16:00:00+00:00
244002,102999,,39186,OG,38570,Sangal,0,0,2025-08-10T16:00:00+00:00
244003,102999,,42074,Passion UA,38433,1WIN,1,0,2025-08-10T16:00:00+00:00
244007,102999,,38690,BIG,38526,EYEBALLERS,1,0,2025-08-10T16:00:00+00:00
244009,102999,,38478,ECSTATIC,38570,Sangal,1,0,2025-08-10T16:20:00+00:00
244010,102999,,38773,Nemiga,42074,Passion UA,0,1,2025-08-10T17:00:00+00:00
244011,102999,,333956,Team Next Level,38690,BIG,0,1,2025-08-10T17:00:00+00:00
244012,102999,,400836,FUT Esports,42162,BetBoom Team,1,0,2025-08-10T17:00:00+00:00
244020,102999,,38960,Heroic,42074,Passion UA,2,1,2025-08-11T14:00:00+00:00
244027,102999,,38718,GamerLegion,38690,BIG,2,1,2025-08-11T14:00:00+00:00
244029,102999,,3142,NIP,400836,FUT Esports,1,2,2025-08-11T14:00:00+00:00
244042,102999,,38749,Fnatic,38478,ECSTATIC,2,0,2025-08-11T14:00:00+00:00
243988,102998,,320733,AMKAL ESPORTS,38570,Sangal,0,1,2025-08-10T13:00:00+00:00
243989,102998,,38433,1WIN,379355,BASEMENT BOYS,1,0,2025-08-10T14:00:00+00:00
243990,102998,,379176,Inner Circle Esports,38374,Sashi Esport,0,1,2025-08-10T14:00:00+00:00
243991,102998,,40019,HOTU,38526,EYEBALLERS,0,1,2025-08-10T14:00:00+00:00
109466,,13183,41849,5POWER,39700,ViCi,0,2,2019-11-03T06:00:00+00:00
109472,,13183,42196,EHOME,39700,ViCi,1,3,2019-11-03T09:10:00+00:00
109500,,13183,40244,D7G,39598,Invictus,0,2,2019-11-02T03:00:00+00:00
109501,,13183,41849,5POWER,2626,Lynn Vision,2,0,2019-11-02T05:15:00+00:00
109502,,13183,39598,Invictus,41849,5POWER,1,2,2019-11-02T10:10:00+00:00
