time,player,team,score,HomeGoals,AwayGoals,match_id
90+2,Marin Jurina,MTK Budapest,0:1,0,1,0
 29,Márk Kovácsréti,Nyíregyháza,1:0,1,0,1
 55,Péter Beke,Nyíregyháza,2:0,2,0,1
 78,Matija Krivokapić,Győr,2:1,2,1,1
 55,Lamin Colley,Puskás Akadémia,0:1,0,1,3
 58,Matija Ljujić,Újpest,1:1,1,1,3
 60,Lamin Colley,Puskás Akadémia,1:2,1,2,3
 40,Marko Rakonjac,Diósgyőr,1:0,1,0,4
 47,Dániel Böde,Paks,1:1,1,1,4
 86,Bright Edomwonyi,Diósgyőr,2:2,2,2,4
 55,Brandon Domingues,Debrecen,0:1,0,1,5
 60,Donát Bárány,Debrecen,0:2,0,2,5
 85,Dognimani Silue,Debrecen,0:3,0,3,5
 1,Nikola Serafimov,Vidi,1:0,1,0,6
 20,Franchu Feuillassier,Diósgyőr,1:1,1,1,6
 75,Bence Babos,Vidi,2:1,2,1,6
90+4,Mátyás Katona,Vidi,3:1,3,1,6
 22,Adama Traoré,Ferencváros,1:0,1,0,7
 24,Ilia Beriashvili,MTK Budapest,1:0,1,0,8
 77,Zoltán Stieber,MTK Budapest,2:0,2,0,8
 81,Matija Ljujić,Újpest,1:1,1,1,9
90+2,József Windecker,Paks,2:1,2,1,9
 5,Jakub Plšek,Puskás Akadémia,1:0,1,0,10
 66,Máté Sajbán,Zalaegerszeg,1:1,1,1,10
 90,Zsolt Nagy,Puskás Akadémia,2:1,2,1,10
 19,Brandon Domingues,Debrecen,0:1,0,1,11
45+2,Levente Vágó,Kecskemét,1:1,1,1,11
90+3,Mohamed Ali Ben Romdhane,Ferencváros,0:2,0,2,12
 21,Balázs Bakti,Zalaegerszeg,1:0,1,0,13
 62,Gergely Mim,Zalaegerszeg,2:0,2,0,13
 68,Dániel Németh,Zalaegerszeg,3:0,3,0,13
 83,Bence Ötvös,Paks,3:1,3,1,13
 2,Nenad Lukić,Győr,1:0,1,0,14
 24,Matija Ljujić,Újpest,1:0,1,0,15
 42,Fran Brodić,Újpest,2:0,2,0,15
45+2,João Nunes,Újpest,3:0,3,0,15
 53,Mátyás Tajti,Újpest,4:0,4,0,15
 90,Patrik Kovács,Vidi,4:1,4,1,15
 3,György Komáromi,Puskás Akadémia,1:0,1,0,16
 35,Jonathan Levi,Puskás Akadémia,2:0,2,0,16
 64,Péter Beke,Nyíregyháza,2:1,2,1,16
 9,Tamás Nikitscher,Kecskemét,1:0,1,0,17
45+3,Tamás Nikitscher,Kecskemét,2:0,2,0,17
 90,Mamady Diarra,Győr,2:1,2,1,17
 30,Bozhidar Chorbadzhiyski,Diósgyőr,0:1,0,1,18
90+2,Tosin Kehinde,Ferencváros,1:0,1,0,19
 54,Csanad Denes,Zalaegerszeg,0:1,0,1,20
90+5,Patrik Kovács,Vidi,1:1,1,1,20
 5,Ákos Kinyik,Paks,1:0,1,0,21
 16,Olivér Tamás,Nyíregyháza,1:1,1,1,21
 44,Erik Silye,Paks,2:1,2,1,21
 51,Jonathan Levi,Puskás Akadémia,1:0,1,0,22
 20,Barnabás Bese,Újpest,1:0,1,0,23
 29,Matija Ljujić,Újpest,2:0,2,0,23
 74,Elton Acolatse,Diósgyőr,1:0,1,0,24
 5,Márton Eppel,Nyíregyháza,1:0,1,0,25
 40,Márk Kovácsréti,Nyíregyháza,2:0,2,0,25
 45,Nejc Gradišar,Vidi,2:1,2,1,25
 88,Slobodan Babić,Nyíregyháza,3:3,3,3,25
45+1,Nejc Gradišar,Vidi,1:0,1,0,26
 5,Csanad Denes,Zalaegerszeg,0:1,0,1,27
 65,János Ferenczi,Debrecen,2:1,2,1,27
90+6,Brandon Domingues,Debrecen,3:1,3,1,27
 30,Levente Katona,Kecskemét,1:0,1,0,29
 34,Márk Mucsányi,Újpest,1:1,1,1,29
 64,Fran Brodić,Újpest,1:2,1,2,29
 76,Matija Ljujić,Újpest,1:3,1,3,29
 15,György Komáromi,Puskás Akadémia,0:1,0,1,30
 60,József Windecker,Paks,2:1,2,1,30
 18,Stefan Gartenmann,Ferencváros,1:0,1,0,31
 65,Márk Kovácsréti,Nyíregyháza,2:1,2,1,31
 25,Barnabás Varga,Ferencváros,1:1,1,1,32
 44,Raul Bicalho,Ferencváros,1:2,1,2,32
 80,Saldanha,Ferencváros,1:3,1,3,32
 23,Máté Sajbán,Zalaegerszeg,1:0,1,0,33
 34,Dániel Lukács,Kecskemét,1:1,1,1,33
 69,Dániel Csóka,Zalaegerszeg,2:1,2,1,33
 8,Jorgo Pellumbi,Debrecen,0:1,0,1,35
 23,Barnabás Nagy,Nyíregyháza,1:1,1,1,35
 36,Jaroslav Navrátil,Nyíregyháza,2:1,2,1,35
 65,Jaroslav Navrátil,Nyíregyháza,3:1,3,1,35
 12,Lamin Colley,Puskás Akadémia,1:0,1,0,36
 62,Urho Nissilä,Puskás Akadémia,2:0,2,0,36
 78,Jonathan Levi,Puskás Akadémia,3:0,3,0,36
 9,Nadhir Benbouali,Győr,1:0,1,0,37
 27,Nadhir Benbouali,Győr,2:0,2,0,37
 30,Bence Ötvös,Paks,2:1,2,1,37
 10,Marko Rakonjac,Diósgyőr,1:0,1,0,39
 54,Gergely Mim,Zalaegerszeg,1:1,1,1,39
 68,Csaba Szatmári,Diósgyőr,2:1,2,1,39
 27,Márk Kovácsréti,Nyíregyháza,0:1,0,1,40
 42,Jaroslav Navrátil,Nyíregyháza,0:2,0,2,40
 33,Marin Jurina,MTK Budapest,0:1,0,1,41
 41,Dominik Kocsis,Debrecen,1:1,1,1,41
 59,István Bognár,MTK Budapest,1:2,1,2,41
 76,Tamás Szűcs,Debrecen,2:2,2,2,41
 85,Viktor Hey,MTK Budapest,2:3,2,3,41
 45,Filip Holender,Vidi,1:0,1,0,42
90+6,József Windecker,Paks,1:2,1,2,42
 65,Saldanha,Ferencváros,1:0,1,0,43
 77,Saldanha,Ferencváros,2:0,2,0,43
 82,Saldanha,Ferencváros,3:0,3,0,43
 89,Wojciech Golla,Puskás Akadémia,1:0,1,0,44
 9,Daniel Štefulj,Győr,1:0,1,0,45
 14,Željko Gavrić,Győr,2:0,2,0,45
90+3,Deian Boldor,Győr,3:1,3,1,45
