Date,Home,Away,HomeGoals,AwayGoals,Match_URL,HomePoints,AwayPoints,HomePointsDropped,AwayPointsDropped
2024-07-26,Zalaegerszeg,MTK Budapest,0,1,https://fbref.com/en/matches/0cdc87df/Zalaegerszeg-MTK-Budapest-July-26-2024-NB-I,0,3,0.0,0.0
2024-07-26,Nyíregyháza,Győr,2,1,https://fbref.com/en/matches/1f41c2ee/Nyiregyhaza-Gyor-July-26-2024-NB-I,3,0,0.0,0.0
2024-07-28,Kecskemét,Vidi,0,0,https://fbref.com/en/matches/bc147a5d/Kecskemet-Vidi-July-28-2024-NB-I,1,1,0.0,0.0
2024-07-28,Újpest,Puskás,1,2,https://fbref.com/en/matches/80b64b25/Ujpest-Puskas-Akademia-July-28-2024-NB-I,0,3,0.0,0.0
2024-07-28,Diósgyőr,Paks,2,2,https://fbref.com/en/matches/bd360595/Diosgyor-Paks-July-28-2024-NB-I,1,1,2.0,0.0
2024-08-02,Győr,Debrecen,0,3,https://fbref.com/en/matches/efa35b80/Gyor-Debrecen-August-2-2024-NB-I,0,3,0.0,0.0
2024-08-03,Vidi,Diósgyőr,3,1,https://fbref.com/en/matches/0a281ac3/Vidi-Diosgyor-August-3-2024-NB-I,3,0,0.0,0.0
2024-08-03,Ferencváros,Kecskemét,1,0,https://fbref.com/en/matches/bca17781/Ferencvaros-Kecskemet-August-3-2024-NB-I,3,0,0.0,0.0
2024-08-03,MTK Budapest,Nyíregyháza,3,0,https://fbref.com/en/matches/7954d2f2/MTK-Budapest-Nyiregyhaza-August-3-2024-NB-I,3,0,0.0,0.0
2024-08-04,Paks,Újpest,2,1,https://fbref.com/en/matches/1cbc1957/Paks-Ujpest-August-4-2024-NB-I,3,0,0.0,0.0
2024-08-04,Puskás,Zalaegerszeg,2,1,https://fbref.com/en/matches/6e7402a6/Puskas-Akademia-Zalaegerszeg-August-4-2024-NB-I,3,0,0.0,0.0
2024-08-09,Kecskemét,Debrecen,1,1,https://fbref.com/en/matches/5314a6d0/Kecskemet-Debrecen-August-9-2024-NB-I,1,1,0.0,2.0
2024-08-10,Diósgyőr,Ferencváros,0,2,https://fbref.com/en/matches/3ecc2022/Diosgyor-Ferencvaros-August-10-2024-NB-I,0,3,0.0,0.0
2024-08-10,Zalaegerszeg,Paks,3,1,https://fbref.com/en/matches/2d681856/Zalaegerszeg-Paks-August-10-2024-NB-I,3,0,0.0,0.0
2024-08-11,Győr,MTK Budapest,1,2,https://fbref.com/en/matches/87c7e246/Gyor-MTK-Budapest-August-11-2024-NB-I,0,3,3.0,0.0
2024-08-11,Újpest,Vidi,4,1,https://fbref.com/en/matches/836cbff7/Ujpest-Vidi-August-11-2024-NB-I,3,0,0.0,0.0
2024-08-11,Puskás,Nyíregyháza,3,1,https://fbref.com/en/matches/22e0214a/Puskas-Akademia-Nyiregyhaza-August-11-2024-NB-I,3,0,0.0,0.0
2024-08-16,Kecskemét,Győr,2,1,https://fbref.com/en/matches/89ddb9a5/Kecskemet-Gyor-August-16-2024-NB-I,3,0,0.0,0.0
2024-08-17,Debrecen,Diósgyőr,0,1,https://fbref.com/en/matches/732bf698/Debrecen-Diosgyor-August-17-2024-NB-I,0,3,0.0,0.0
2024-08-17,Ferencváros,Újpest,1,0,https://fbref.com/en/matches/6c2bfad0/Ferencvaros-Ujpest-August-17-2024-NB-I,3,0,0.0,0.0
2024-08-18,Vidi,Zalaegerszeg,1,1,https://fbref.com/en/matches/f9626470/Vidi-Zalaegerszeg-August-18-2024-NB-I,1,1,0.0,2.0
2024-08-18,Paks,Nyíregyháza,2,1,https://fbref.com/en/matches/280e9620/Paks-Nyiregyhaza-August-18-2024-NB-I,3,0,0.0,0.0
2024-08-18,Puskás,MTK Budapest,1,0,https://fbref.com/en/matches/4d5b8e70/Puskas-Akademia-MTK-Budapest-August-18-2024-NB-I,3,0,0.0,0.0
2024-08-23,Újpest,Debrecen,3,0,https://fbref.com/en/matches/e8180b07/Ujpest-Debrecen-August-23-2024-NB-I,3,0,0.0,0.0
2024-08-24,Diósgyőr,Kecskemét,1,0,https://fbref.com/en/matches/825467f0/Diosgyor-Kecskemet-August-24-2024-NB-I,3,0,0.0,0.0
2024-08-25,Nyíregyháza,Vidi,3,3,https://fbref.com/en/matches/d9e2789f/Nyiregyhaza-Vidi-August-25-2024-NB-I,1,1,2.0,0.0
2024-08-30,Vidi,MTK Budapest,1,0,https://fbref.com/en/matches/7eca0aee/Vidi-MTK-Budapest-August-30-2024-NB-I,3,0,0.0,0.0
2024-08-31,Debrecen,Zalaegerszeg,3,1,https://fbref.com/en/matches/6e0c71fb/Debrecen-Zalaegerszeg-August-31-2024-NB-I,3,0,0.0,3.0
2024-08-31,Diósgyőr,Győr,0,0,https://fbref.com/en/matches/b9540c49/Diosgyor-Gyor-August-31-2024-NB-I,1,1,0.0,0.0
2024-09-01,Kecskemét,Újpest,1,3,https://fbref.com/en/matches/ad276efc/Kecskemet-Ujpest-September-1-2024-NB-I,0,3,3.0,0.0
2024-09-01,Paks,Puskás,2,1,https://fbref.com/en/matches/4c336ddc/Paks-Puskas-Akademia-September-1-2024-NB-I,3,0,0.0,3.0
2024-09-01,Ferencváros,Nyíregyháza,2,1,https://fbref.com/en/matches/91f0edf7/Ferencvaros-Nyiregyhaza-September-1-2024-NB-I,3,0,0.0,0.0
2024-09-20,MTK Budapest,Ferencváros,1,3,https://fbref.com/en/matches/2f47c3bf/MTK-Budapest-Ferencvaros-September-20-2024-NB-I,0,3,0.0,0.0
2024-09-21,Zalaegerszeg,Kecskemét,2,1,https://fbref.com/en/matches/b84b6d1b/Zalaegerszeg-Kecskemet-September-21-2024-NB-I,3,0,0.0,0.0
