event_id,time,added_time,type,class,is_home,player_name,player_id,home_score,away_score,description
14561756,90.0,999.0,period,,,,,3.0,1.0,
14561756,80.0,,goal,regular,True,Viktor Sejben,602640.0,3.0,1.0,
14561756,69.0,,goal,regular,False,Jasmin Mesanovic,115286.0,2.0,1.0,
14561756,54.0,,goal,regular,True,Zsolt Tar,94558.0,2.0,0.0,
14561756,48.0,,goal,penalty,True,Levente Doncsecz,1155544.0,1.0,0.0,
14561756,45.0,999.0,period,,,,,0.0,0.0,
14561729,90.0,999.0,period,,,,,1.0,4.0,
14561729,83.0,,goal,regular,True,,,1.0,4.0,
14561729,55.0,,goal,regular,False,Emil Horváth,1147968.0,0.0,4.0,
14561729,47.0,,goal,regular,False,Bence Pataki,1393244.0,0.0,3.0,
14561729,45.0,999.0,period,,,,,0.0,2.0,
14561729,35.0,,goal,regular,False,Emil Horváth,1147968.0,0.0,2.0,
14561729,12.0,,goal,regular,False,Myke,785945.0,0.0,1.0,
14561750,999.0,999.0,period,,,,,2.0,0.0,
14561750,,,penaltyShootout,missed,False,,,2.0,0.0,
14561750,,,penaltyShootout,scored,True,,,2.0,0.0,Scored
14561750,,,penaltyShootout,missed,False,,,1.0,0.0,
14561750,,,penaltyShootout,missed,True,,,1.0,0.0,
14561750,,,penaltyShootout,missed,False,,,1.0,0.0,
14561750,,,penaltyShootout,scored,True,,,1.0,0.0,Scored
14561750,,,penaltyShootout,missed,False,,,0.0,0.0,
14561750,120.0,999.0,period,,,,,2.0,2.0,
14561750,90.0,999.0,period,,,,,2.0,2.0,
14561750,90.0,,goal,regular,False,Oleksandr Kuchynskyi,1982302.0,2.0,2.0,
14561750,83.0,,goal,regular,True,,,2.0,1.0,
14561750,75.0,,goal,regular,False,Richárd Gál,1982041.0,1.0,1.0,
14561750,73.0,,card,red,False,Georgii Kamyshanov,1549185.0,,,
14561750,45.0,999.0,period,,,,,1.0,0.0,
14561750,25.0,,goal,regular,True,,,1.0,0.0,
14561730,90.0,999.0,period,,,,,0.0,1.0,
14561730,90.0,8.0,goal,regular,False,Blessing Eleke,780246.0,0.0,1.0,
14561730,45.0,999.0,period,,,,,0.0,0.0,
14561741,90.0,999.0,period,,,,,0.0,15.0,
14561741,86.0,,goal,regular,False,Benjámin Gólik,1990882.0,0.0,15.0,
14561741,84.0,,goal,regular,False,Yusuf Bamidele,1020116.0,0.0,14.0,
14561741,75.0,,goal,regular,False,Benjámin Gólik,1990882.0,0.0,13.0,
14561741,73.0,,goal,regular,False,Mohammad Abu Fani,836849.0,0.0,12.0,
14561741,70.0,,goal,regular,False,Yusuf Bamidele,1020116.0,0.0,11.0,
14561741,69.0,,goal,regular,False,Stefan Gartenmann,803671.0,0.0,10.0,
14561741,66.0,,goal,regular,False,Daniel Arzani,822589.0,0.0,9.0,
14561741,63.0,,goal,regular,False,Benjámin Gólik,1990882.0,0.0,8.0,
14561741,60.0,,goal,regular,False,Mohammad Abu Fani,836849.0,0.0,7.0,
14561741,56.0,,goal,regular,False,Yusuf Bamidele,1020116.0,0.0,6.0,
14561741,52.0,,goal,regular,False,Daniel Arzani,822589.0,0.0,5.0,
14561741,45.0,999.0,period,,,,,0.0,4.0,
14561741,42.0,,goal,regular,False,Daniel Arzani,822589.0,0.0,4.0,
14561741,38.0,,goal,regular,False,Jonathan Levi,858203.0,0.0,3.0,
14561741,30.0,,goal,regular,False,Yusuf Bamidele,1020116.0,0.0,2.0,
14561741,15.0,,goal,regular,False,Cebrail Makreckis,991090.0,0.0,1.0,
14561733,999.0,999.0,period,,,,,4.0,2.0,
14561733,120.0,999.0,period,,,,,0.0,0.0,
14561733,90.0,999.0,period,,,,,0.0,0.0,
14561733,45.0,999.0,period,,,,,0.0,0.0,
14561751,90.0,999.0,period,,,,,2.0,4.0,
14561751,83.0,,goal,regular,True,Benedek Mátrai-Zsurzs,1805647.0,2.0,4.0,
14561751,79.0,,goal,regular,False,Máté Kovalovszki,916675.0,1.0,4.0,
14561751,67.0,,goal,regular,False,Tamás Szekszárdi,237104.0,1.0,3.0,
14561751,63.0,,goal,regular,False,Zsolt Pap,1398664.0,1.0,2.0,
14561751,45.0,999.0,period,,,,,1.0,1.0,
14561751,32.0,,goal,regular,True,Attila Levente Vidovics,2053640.0,1.0,1.0,
14561751,20.0,,goal,regular,False,Tamás Szekszárdi,237104.0,0.0,1.0,
14561758,90.0,999.0,period,,,,,0.0,1.0,
14561758,90.0,3.0,goal,regular,False,Aurél Farkas,893901.0,0.0,1.0,
14561758,45.0,999.0,period,,,,,0.0,0.0,
14561731,90.0,999.0,period,,,,,0.0,3.0,
14561731,70.0,,goal,regular,False,Ahmed Nadhir Benbouali,1177807.0,0.0,3.0,
14561731,55.0,,goal,regular,False,Željko Gavrić,879647.0,0.0,2.0,
14561731,46.0,,goal,regular,False,Szabolcs Schön,910050.0,0.0,1.0,
14561731,45.0,999.0,period,,,,,0.0,0.0,
14561738,90.0,999.0,period,,,,,2.0,5.0,
14561738,90.0,1.0,goal,regular,False,Zoltán Dávid Pácsa,1398713.0,2.0,5.0,
14561738,89.0,,goal,regular,False,Milán Rácz,1425479.0,2.0,4.0,
14561738,66.0,,goal,regular,False,Zsolt Huszárik,227578.0,2.0,3.0,
14561738,45.0,999.0,period,,,,,2.0,2.0,
14561738,36.0,,goal,penalty,False,Ádám Tóth,1522767.0,2.0,2.0,
14561738,11.0,,goal,regular,False,Tamás István Seregy,1478996.0,2.0,1.0,
14561738,10.0,,goal,regular,True,Csákvári Zsolt,1492590.0,2.0,0.0,
14561738,8.0,,goal,regular,True,Gabor Potyi,803308.0,1.0,0.0,
14561740,90.0,999.0,period,,,,,2.0,0.0,
14561740,90.0,3.0,goal,regular,True,Zalán Keresztes,1023471.0,2.0,0.0,
14561740,45.0,999.0,period,,,,,1.0,0.0,
14561740,33.0,,goal,regular,True,Milán Ángyán,2063207.0,1.0,0.0,
14561752,90.0,999.0,period,,,,,3.0,0.0,
14561752,72.0,,goal,regular,True,Roland Varga,75998.0,3.0,0.0,
14561752,60.0,,goal,regular,True,Csaba Spandler,227462.0,2.0,0.0,
14561752,45.0,999.0,period,,,,,1.0,0.0,
14561752,5.0,,goal,penalty,True,Roland Varga,75998.0,1.0,0.0,
14561732,90.0,999.0,period,,,,,1.0,7.0,
14561732,81.0,,goal,regular,False,Istvan Bognar,112826.0,1.0,7.0,
14561732,66.0,,goal,ownGoal,False,Bence Fiáth,1518919.0,1.0,6.0,
14561732,65.0,,goal,regular,False,Krisztián Németh,37097.0,1.0,5.0,
