round,home_team,home_url,away_team,away_url,result,match_url,home_league,away_league
First Round,Komlói BSK,https://www.transfermarkt.com/komloi-banyasz-sk/startseite/verein/30899/saison_id/2025,Majosi SE,https://www.transfermarkt.com/majosi-se/startseite/verein/59528/saison_id/2025,1:3,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728347,Unknown,Unknown
First Round,Sárrétudvari,https://www.transfermarkt.com/sarretudvari-kse/startseite/verein/61771/saison_id/2025,Hódmezövásárhely FC,https://www.transfermarkt.com/hodmezovasarhely-fc/startseite/verein/30022/saison_id/2025,1:4,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728333,Unknown,Unknown
First Round,Mezőtúr,https://www.transfermarkt.com/mafc-mezotur/startseite/verein/62813/saison_id/2025,Martfű,https://www.transfermarkt.com/martfui-lse/startseite/verein/84993/saison_id/2025,0:3,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728334,Unknown,Unknown
First Round,Szolnok,https://www.transfermarkt.com/szolnoki-mav-fc/startseite/verein/5399/saison_id/2025,Jamina SE,https://www.transfermarkt.com/jamina-se/startseite/verein/30799/saison_id/2025,3:1,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728335,Unknown,Unknown
First Round,Solti FC,https://www.transfermarkt.com/solti-fc/startseite/verein/34531/saison_id/2025,Rákóczifalva,https://www.transfermarkt.com/rakoczifalva-se/startseite/verein/84995/saison_id/2025,1:6,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728336,Unknown,Unknown
First Round,Mezőberény,https://www.transfermarkt.com/mezoberenyi-fc/startseite/verein/34574/saison_id/2025,Sándorfalva,https://www.transfermarkt.com/sandorfalvi-sk/startseite/verein/58609/saison_id/2025,0:3,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728337,Unknown,Unknown
First Round,Tihany,https://www.transfermarkt.com/tihanyi-fc/startseite/verein/84632/saison_id/2025,Haladás MÁV,https://www.transfermarkt.com/szombathelyi-haladas-ii/startseite/verein/33494/saison_id/2025,1:6,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728338,Unknown,Unknown
First Round,Vecsés,https://www.transfermarkt.com/vecsesi-fc-1911/startseite/verein/21959/saison_id/2025,III. Kerület,https://www.transfermarkt.com/iii-kerulet-tve-budapest/startseite/verein/26308/saison_id/2025,1:2,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728302,Unknown,Unknown
First Round,Tatai AC,https://www.transfermarkt.com/tatai-ac/startseite/verein/56167/saison_id/2025,Koppánymonostor,https://www.transfermarkt.com/koppanymonostori-se/startseite/verein/110986/saison_id/2025,2:3,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728340,Unknown,Unknown
First Round,Devecser SE,https://www.transfermarkt.com/devecser-se/startseite/verein/59285/saison_id/2025,Bicskei TC,https://www.transfermarkt.com/bicskei-tc/startseite/verein/30809/saison_id/2025,1:10,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728341,Unknown,Unknown
First Round,Bőny SE,https://www.transfermarkt.com/bony-se/startseite/verein/66432/saison_id/2025,Ujperinti,https://www.transfermarkt.com/ujperinti-se/startseite/verein/90294/saison_id/2025,3:2,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728342,Unknown,Unknown
First Round,Sárvár FC,https://www.transfermarkt.com/sarvar-fc/startseite/verein/26382/saison_id/2025,Zalalövő,https://www.transfermarkt.com/zalalovoi-tk/startseite/verein/94062/saison_id/2025,5:3AET,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728343,Unknown,Unknown
First Round,Balatonfüredi FC,https://www.transfermarkt.com/balatonfuredi-fc/startseite/verein/29922/saison_id/2025,Tatabánya,https://www.transfermarkt.com/tatabanyai-sc/startseite/verein/3395/saison_id/2025,2:3AET,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728344,Unknown,Unknown
First Round,Balatonalmádi,https://www.transfermarkt.com/balatonalmadi-se/startseite/verein/59286/saison_id/2025,Körmendi FC,https://www.transfermarkt.com/kormendi-fc/startseite/verein/26381/saison_id/2025,5:0,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728345,Unknown,Unknown
First Round,Móri SE,https://www.transfermarkt.com/mor-se/startseite/verein/27775/saison_id/2025,Úrkút SK,https://www.transfermarkt.com/urkut-sk/startseite/verein/62449/saison_id/2025,4:0,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728346,Unknown,Unknown
