match_id,home_team,away_team,home_score,away_score,status,extra_time,penalties,winner_code,start_timestamp,season
16079853,Ferencváros TC,Zalaegerszegi TE,1,0,AET,False,False,1,1778342400,Magyar Kupa 25/26
13829083,Ferencváros TC,Paksi FC,1,1,AP,False,False,2,1747242000,Magyar Kupa 24/25
12282003,Paksi FC,Ferencváros TC,2,0,AET,False,False,1,1715794200,Magyar Kupa 23/24
11193495,Budafoki MTE,Zalaegerszegi TE,0,2,AET,False,False,2,1683135000,Magyar Kupa 22/23
10266960,Ferencváros TC,Paksi FC,3,0,Ended,False,False,1,1652290200,Magyar Kupa 21/22
9479581,Videoton FC Fehérvár,Újpest,0,1,AET,False,False,2,1620064800,Magyar Kupa 20/21
8673672,Budapest Honvéd FC,Mezőkövesd Zsóry,2,1,Ended,False,False,1,1591207200,Magyar Kupa 19/20
8203350,Budapest Honvéd FC,Videoton FC Fehérvár,1,2,Ended,False,False,2,1558805400,Magyar Kupa 18/19
7801730,Puskás Akadémia,Újpest,2,2,AP,False,False,2,1527098400,Magyar Kupa 17/18
7417800,Vasas,Ferencváros TC,1,1,AP,False,False,2,1496250000,Magyar Kupa 16/17
7054776,Újpest,Ferencváros TC,0,1,Ended,False,False,2,1462645800,Magyar Kupa 15/16
6743411,Videoton FC Fehérvár,Ferencváros TC,0,4,Ended,False,False,2,1432144800,Magyar Kupa 14/15
5458644,Újpest,Diósgyőri VTK,1,1,AP,False,False,1,1401037200,Magyar Kupa 13/14
3847625,Debreceni VSC,ETO FC Győr,2,1,Ended,False,False,1,1369245600,Magyar Kupa 12/13
2609030,MTK Budapest,Debreceni VSC,3,3,Ended,False,False,3,1335888000,Magyar Kupa 11/12
1737374,Kecskemét TE,Videoton FC Fehérvár,3,2,Ended,False,False,1,1305651600,Magyar Kupa 10/11
1362187,Debreceni VSC,Zalaegerszegi TE,3,2,Ended,False,False,1,1274893200,Magyar Kupa 09/10
