time,added_time,type,text,is_home,player_name,player_in,player_out,incident_class,description,home_score,away_score,match_id,season
120.0,999.0,period,ET,,,,,,,1.0,0.0,16079853,Magyar Kupa 25/26
114.0,,card,,True,Mohammad Abu Fani,,,yellow,,,,16079853,Magyar Kupa 25/26
111.0,,goal,,True,Toon Raemaekers,,,regular,,1.0,0.0,16079853,Magyar Kupa 25/26
110.0,,substitution,,False,,Lucas Alfonso,Bence Kiss,regular,,,,16079853,Magyar Kupa 25/26
106.0,,substitution,,True,,Krisztián Lisztes,Lenny Joseph,regular,,,,16079853,Magyar Kupa 25/26
100.0,,card,,False,Norbert Szendrei,,,yellow,,,,16079853,Magyar Kupa 25/26
98.0,,substitution,,True,,Barnabás Nagy,Callum O'Dowda,regular,,,,16079853,Magyar Kupa 25/26
96.0,,card,,False,Guilherme Luiz Teixeira,,,yellow,,,,16079853,Magyar Kupa 25/26
95.0,,inGamePenalty,,True,Yusuf Bamidele,,,missed,,,,16079853,Magyar Kupa 25/26
91.0,,substitution,,True,,Marius Corbu,Philippe Rommens,regular,,,,16079853,Magyar Kupa 25/26
91.0,,substitution,,False,,David López,András Csonka,regular,,,,16079853,Magyar Kupa 25/26
90.0,999.0,period,FT,,,,,,,0.0,0.0,16079853,Magyar Kupa 25/26
90.0,,substitution,,False,,Guilherme Luiz Teixeira,João Victor,regular,,,,16079853,Magyar Kupa 25/26
87.0,,card,,True,Gábor Szalai,,,yellow,,,,16079853,Magyar Kupa 25/26
79.0,,substitution,,True,,Mohammad Abu Fani,Kristoffer Zachariassen,regular,,,,16079853,Magyar Kupa 25/26
79.0,,substitution,,True,,Gábor Szalai,Cadu,regular,,,,16079853,Magyar Kupa 25/26
63.0,,substitution,,True,,Yusuf Bamidele,Zsombor Gruber,regular,,,,16079853,Magyar Kupa 25/26
63.0,,substitution,,False,,Daniel Alves,Maxsuell Alegria,regular,,,,16079853,Magyar Kupa 25/26
45.0,999.0,period,HT,,,,,,,0.0,0.0,16079853,Magyar Kupa 25/26
999.0,999.0,period,PEN,,,,,,,3.0,4.0,13829083,Magyar Kupa 24/25
,,penaltyShootout,,False,Bálint Vécsei,,,scored,Scored,3.0,4.0,13829083,Magyar Kupa 24/25
,,penaltyShootout,,True,Ibrahim Cissé,,,scored,Scored,3.0,3.0,13829083,Magyar Kupa 24/25
,,penaltyShootout,,False,Gergő Gyurkits,,,scored,Scored,2.0,3.0,13829083,Magyar Kupa 24/25
,,penaltyShootout,,True,Raul Gustavo,,,scored,Scored,2.0,2.0,13829083,Magyar Kupa 24/25
,,penaltyShootout,,False,Balázs Balogh,,,missed,,1.0,2.0,13829083,Magyar Kupa 24/25
,,penaltyShootout,,True,Lenny Joseph,,,missed,,1.0,2.0,13829083,Magyar Kupa 24/25
,,penaltyShootout,,False,Martin Ádám,,,scored,Scored,1.0,2.0,13829083,Magyar Kupa 24/25
,,penaltyShootout,,True,Kristoffer Zachariassen,,,scored,Scored,1.0,1.0,13829083,Magyar Kupa 24/25
,,penaltyShootout,,False,József Windecker,,,scored,Scored,0.0,1.0,13829083,Magyar Kupa 24/25
,,penaltyShootout,,True,Aleksandar Pešić,,,missed,,0.0,0.0,13829083,Magyar Kupa 24/25
120.0,999.0,period,ET,,,,,,,1.0,1.0,13829083,Magyar Kupa 24/25
118.0,,card,,True,Gábor Szalai,,,yellow,,,,13829083,Magyar Kupa 24/25
107.0,,card,,True,Alex Tóth,,,yellow,,,,13829083,Magyar Kupa 24/25
106.0,,substitution,,False,,Gergő Gyurkits,János Szabó,regular,,,,13829083,Magyar Kupa 24/25
105.0,1.0,card,,False,Ákos Kinyik,,,yellow,,,,13829083,Magyar Kupa 24/25
105.0,0.0,injuryTime,,,,,,,,,,13829083,Magyar Kupa 24/25
99.0,,substitution,,True,,Raul Gustavo,Habib Maïga,regular,,,,13829083,Magyar Kupa 24/25
96.0,,card,,False,Martin Ádám,,,yellow,,,,13829083,Magyar Kupa 24/25
91.0,,substitution,,False,,Martin Ádám,Kristóf Hinora,regular,,,,13829083,Magyar Kupa 24/25
90.0,999.0,period,FT,,,,,,,1.0,1.0,13829083,Magyar Kupa 24/25
90.0,3.0,goal,,True,Lenny Joseph,,,regular,,1.0,1.0,13829083,Magyar Kupa 24/25
