Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,GM,Tckl,Int,PsInA3rd,Passes in the Final Third,HighTOEndGoal,HighTOEndShot,HighTurnoversOP,HighTurnovers,PPDA,Sequences,Seq9+Pass,AvgSeqPass,DirectSpeed,Pass%,PsCmp,PsAtt,BgChncCrtd,BgChnc,TchsA3%,TchsA3,TouchOpBox,FldTilt,Poss%,xGOT,xG Diff,xG,Goal,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
1,4vofb84dzb5fyc81n2ssws6ah,659,Mexico,Mexico,MEX,Mexico,#009933,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,12,8,19,56,1,4,7,8,11.62,112,18,4.9,1.04,89.8%,467,520,2,2,18.9%,129,20,65.5%,60.7%,1.28,1.38,1.46,2,659,1,MEX vs RSA,true,false,true,false,false,2026-06-11,4tcpns1nwyc0jtpucgzj9dp90,xmip8t9f2kefltjkraxzsxl9,522,522,Mexico,South Africa,RSA,2,0,Played,W 2-0,2608241,MEX vs RSA (2026-06-11)
1,xmip8t9f2kefltjkraxzsxl9,522,South Africa,South Africa,RSA,South Africa,#FFFF00,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,14,7,71,18,0,0,4,4,19.00,105,6,3.4,1.12,81.4%,272,334,0,0,9.3%,44,2,34.5%,39.3%,0.13,-1.38,0.07,0,522,1,MEX vs RSA,false,true,false,false,true,2026-06-11,4tcpns1nwyc0jtpucgzj9dp90,4vofb84dzb5fyc81n2ssws6ah,659,659,South Africa,Mexico,MEX,0,2,Played,L 0-2,2608241,MEX vs RSA (2026-06-11)
3,1yghbv1c71b37eenutbwnvvq,1041,Korea Republic,Korea Republic,KOR,Korea Rep,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,7,9,62,77,0,2,3,6,12.00,130,22,4.4,0.84,86.7%,469,541,3,4,21.0%,153,24,57.4%,61.5%,2.06,1.47,2.30,2,1041,1,KOR vs CZE,true,false,true,false,false,2026-06-12,9hjlhmip7tn4qgpwr47txpafo,70tnqyqn871jwlk26gtjw7knm,367,367,Korea Republic,Czechia,CZE,2,1,Played,W 2-1,2608242,KOR vs CZE (2026-06-12)
3,eg7vduna0h3vis1wd47s41za7,597,Canada,Canada,CAN,Canada,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,23,4,36,98,1,2,6,10,8.56,181,8,2.5,1.97,73.6%,310,421,1,2,33.5%,219,37,68.2%,60.7%,0.75,0.27,1.23,1,597,1,CAN vs BIH,true,false,false,true,false,2026-06-12,y1ow9ht5baxn64i01hq9moes,o5iztj2zl6b0v6ed9q5m7p1k,537,537,Canada,Bosnia-Herzegovina,BIH,1,1,Played,T 1-1,2608243,CAN vs BIH (2026-06-12)
3,70tnqyqn871jwlk26gtjw7knm,367,Czechia,Czechia,CZE,Czechia,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,9,6,104,55,0,1,6,7,13.50,135,3,2.6,1.09,70.3%,230,327,1,1,21.6%,102,12,42.6%,38.5%,2.07,-1.47,0.83,1,367,1,KOR vs CZE,false,true,false,false,true,2026-06-12,9hjlhmip7tn4qgpwr47txpafo,1yghbv1c71b37eenutbwnvvq,1041,1041,Czechia,Korea Republic,KOR,1,2,Played,L 1-2,2608242,KOR vs CZE (2026-06-12)
3,o5iztj2zl6b0v6ed9q5m7p1k,537,Bosnia-Herzegovina,Bosnia-Herzegovina,BIH,Bosnia,#0000FF,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,20,11,115,28,0,2,6,8,8.47,154,1,1.9,1.70,63.5%,172,271,1,2,13.3%,70,15,31.8%,39.3%,1.00,-0.27,0.96,1,537,1,CAN vs BIH,false,true,false,true,false,2026-06-12,y1ow9ht5baxn64i01hq9moes,eg7vduna0h3vis1wd47s41za7,597,597,Bosnia-Herzegovina,Canada,CAN,1,1,Played,T 1-1,2608243,CAN vs BIH (2026-06-12)
7,ea68amhsn28ijs7bzjuzeqrz6,1873,Qatar,Qatar,QAT,Qatar,#990000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,14,11,187,16,0,1,0,5,34.67,113,6,2.6,1.14,71.9%,200,278,0,1,11.2%,50,8,19.2%,32.5%,0.46,-2.59,0.60,1,1873,1,QAT vs SUI,true,false,false,true,false,2026-06-13,2lzhf44ic9g2dj0l29fji2xw4,339wxbt07ltnva7hop6m5o477,497,497,Qatar,Switzerland,SUI,1,1,Played,T 1-1,2608244,QAT vs SUI (2026-06-13)
7,9vh2u1p4ppm597tjfahst2m3n,596,United States,United States,USA,United States,#000099,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,9,9,20,122,2,5,17,20,8.74,164,22,3.8,1.12,85.1%,509,598,3,4,32.6%,264,54,80.5%,65.0%,2.54,0.89,1.42,4,596,1,USA vs PAR,true,false,true,false,false,2026-06-13,49wa9ymnt0trv2mjruak556ok,3cwjdmekfdouwg990mqdq9fh0,835,835,United States,Paraguay,PAR,4,1,Played,W 4-1,2608247,USA vs PAR (2026-06-13)
7,339wxbt07ltnva7hop6m5o477,497,Switzerland,Switzerland,SUI,Switzerland,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,8,7,24,152,0,4,9,17,11.18,148,24,4.2,1.35,91.5%,527,576,5,6,41.4%,322,43,80.8%,67.5%,2.53,2.59,3.20,1,497,1,QAT vs SUI,false,true,false,true,false,2026-06-13,2lzhf44ic9g2dj0l29fji2xw4,ea68amhsn28ijs7bzjuzeqrz6,1873,1873,Switzerland,Qatar,QAT,1,1,Played,T 1-1,2608244,QAT vs SUI (2026-06-13)
7,ajab3nmpoltsoeqcuoyi4pwzx,614,Brazil,Brazil,BRA,Brazil,#FFFF00,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,23,5,117,46,0,4,8,12,8.05,129,20,4.2,1.15,87.4%,449,514,0,1,17.8%,126,22,39.4%,51.5%,1.38,-0.11,1.26,1,614,1,BRA vs MAR,true,false,false,true,false,2026-06-13,ar8b186wqraa80u0vpi2e4nis,avggs3u2b5cu8i1dnzknhth52,1057,1057,Brazil,Morocco,MAR,1,1,Played,T 1-1,2608245,BRA vs MAR (2026-06-13)
