date,home_team,away_team,home_odds,away_odds,Home_Abbr,Away_Abbr
2026-03-21,ZTE,Újpest,2.37,3.1,ZTE,Újpest
2026-03-21,Everton,Chelsea,3.3,2.26,Everton,Chelsea
2026-03-21,Fulham,Burnley,1.54,6.0,Fulham,Burnley
2026-03-21,Leeds,Brentford,2.48,2.85,Leeds,Brentford
2026-03-21,Sevilla,Valencia,2.34,3.35,Sevilla,Valencia
2026-03-21,Espanyol,Getafe,2.48,3.45,Espanyol,Getafe
2026-03-21,Osasuna,Girona,2.08,3.65,Osasuna,Girona
2026-03-21,Levante,Oviedo,2.23,3.45,Levante,Oviedo
2026-03-21,Juventus,Sassuolo,1.31,9.0,Juventus,Sassuolo
2026-03-21,Milan,Torino,1.39,8.5,Milan,Torino
2026-03-21,Parma,Cremonese,2.22,3.7,Parma,Cremonese
2026-03-21,Bayern München,Union Berlin,1.16,15.0,Bayern München,Union Berlin
2026-03-21,Dortmund,Hamburg,1.42,7.0,Dortmund,Hamburg
2026-03-21,Heidenheim,Leverkusen,5.25,1.57,Heidenheim,Leverkusen
2026-03-21,Wolfsburg,Bremen,2.43,2.8,Wolfsburg,Bremen
2026-03-21,1. Köln,Mönchengladbach,2.32,3.15,1. Köln,Mönchengladbach
2026-03-21,Nice,Paris SG,6.5,1.49,Nice,Paris SG
