event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
254826323,Corowa (AUS) 7th Mar,R7 1600m CL2,07-03-2026 05:50,84182205,9. Freud,0,48.98938642,29.2914,24.5466,55.00,50.00,1.00,1001.00,263.09,216.67,46.42
254858836,Melton (AUS) 7th Mar,R3 2240m Pace M,07-03-2026 08:37,37290402,8. Montana Pride,0,10.50000000,9.8101,8.2279,1.00,1001.00,1.00,1001.00,954.49,704.68,124.24
254829002,Gold Coast (AUS) 7th Mar,R1 1000m Hcap,07-03-2026 03:07,95919389,1. Marathia,0,5.00681275,4.2525,4.0465,5.20,3.20,1.00,1001.00,18992.06,17284.44,1707.62
254831262,Hawkesbury (AUS) 7th Mar,R8 1400m CL5,07-03-2026 06:40,95022968,11. Lady Yarrow,0,266.47763814,133.8135,104.3028,290.00,120.00,260.00,150.00,622.33,477.43,144.90
254831247,Hawkesbury (AUS) 7th Mar,R3 2000m Mdn,07-03-2026 03:35,93917946,10. Willie Or Wong He,0,5.10000000,4.4960,4.2155,5.40,4.00,5.80,3.00,10390.94,8895.42,1495.52
254780548,Randwick (AUS) 7th Mar,R8 1600m Grp1,07-03-2026 05:35,88651292,8. Dusty Bay,0,570.00000000,435.7840,363.6286,1000.00,290.00,390.00,100.00,671.47,539.39,132.08
254780530,Randwick (AUS) 7th Mar,R6 1600m Grp3,07-03-2026 04:25,76246837,5. Unleeshing,0,4.03119846,3.0180,2.6798,4.40,3.60,3.50,3.20,68227.68,53253.54,14974.14
254776514,Flemington (AUS) 7th Mar,R6 1400m Grp2,07-03-2026 04:05,95880775,11. Refuse To Curtsy,0,16.94914182,11.4132,10.3912,29.60,12.50,340.00,75.00,18246.33,16129.03,2117.30
254873028,Narrogin (AUS) 7th Mar,R4 2242m Pace M,07-03-2026 11:25,63132698,9. Jackie Daniels,0,4.10000000,3.6380,4.9326,3.80,3.50,1.00,1001.00,37.98,2086.27,316.85
254858864,Albion Park (AUS) 7th Mar,R4 2138m Trot M,07-03-2026 09:21,61641603,1. Darcys Fireball,0,120.24318363,86.0929,50.2432,120.00,65.00,1.00,1001.00,223.04,118.97,44.66
254858839,Melton (AUS) 7th Mar,R4 2240m Trot M,07-03-2026 09:10,83985251,6. Kyvalley Maven,0,2.36847804,2.3921,1.9677,2.40,2.22,1.00,1001.00,6241.25,3858.99,1179.57
254831084,Toowoomba (AUS) 7th Mar,R5 1100m Mdn,07-03-2026 08:42,95919753,12. Magic Moz,1,14.23118255,7.4936,5.1121,16.00,13.00,1.00,1001.00,5916.10,3636.97,2279.13
254831259,Hawkesbury (AUS) 7th Mar,R7 1800m Hcap,07-03-2026 06:00,95918968,1. Autumn Winter,0,29.00000000,17.4531,15.4638,30.00,16.00,1.00,1001.00,2042.71,1737.35,305.36
254822617,Gunnedah (AUS) 7th Mar,R7 1000m Hcap,07-03-2026 06:09,73526760,8. Martindale Dancer,0,5.02774752,5.7935,2.8577,5.80,5.80,1.00,1001.00,1543.81,381.07,370.17
254873031,Narrogin (AUS) 7th Mar,R5 2242m Pace M,07-03-2026 11:53,39232244,10. The Wildcard,0,7.80000000,8.7428,1.0000,8.60,8.40,1.00,1001.00,0.00,896.84,412.45
254858830,Melton (AUS) 7th Mar,R1 2240m Pace M,07-03-2026 07:25,85815288,2. King Saint,0,80.00000000,38.3576,30.6739,120.00,75.00,1.00,1001.00,183.79,141.09,42.70
