event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
254726022,Marseille (FRA) 4th Mar,To Be Placed,04-03-2026 18:15,25771885,Saskatoon,0,1.72776935,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254726039,Le Mans (FRA) 4th Mar,To Be Placed,04-03-2026 14:22,50429312,Kumran,0,2.91434407,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254725893,Marseille (FRA) 4th Mar,To Be Placed,04-03-2026 16:42,92602525,Goldy Filly,0,39.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254726032,Le Mans (FRA) 4th Mar,To Be Placed,04-03-2026 12:27,5469572,Valloire,0,7.80000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254726024,Marseille (FRA) 4th Mar,To Be Placed,04-03-2026 18:45,81226235,Stupefiante,0,3.07281756,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254726024,Marseille (FRA) 4th Mar,To Be Placed,04-03-2026 18:45,70171442,Cayssie Ma Star,1,2.91000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254726030,Le Mans (FRA) 4th Mar,To Be Placed,04-03-2026 11:55,92602535,Varesi,1,2.43000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254726039,Le Mans (FRA) 4th Mar,To Be Placed,04-03-2026 14:22,50816435,Pluie Daraize,0,7.33259400,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254726030,Le Mans (FRA) 4th Mar,To Be Placed,04-03-2026 11:55,6825039,City Slicker,1,1.62000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254726024,Marseille (FRA) 4th Mar,To Be Placed,04-03-2026 18:45,49899825,Stunning Hero,0,16.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254726039,Le Mans (FRA) 4th Mar,To Be Placed,04-03-2026 14:22,35511724,Hetre Rouge,0,4.39506803,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254725891,Marseille (FRA) 4th Mar,To Be Placed,04-03-2026 15:32,36999030,Illois,0,38.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254726041,Le Mans (FRA) 4th Mar,To Be Placed,04-03-2026 14:57,27125892,Santo,0,4.14368024,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254726037,Le Mans (FRA) 4th Mar,To Be Placed,04-03-2026 13:47,40720473,Lunaticos,0,2.38000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254726032,Le Mans (FRA) 4th Mar,To Be Placed,04-03-2026 12:27,95820134,Nesryn,0,3.02500000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254726039,Le Mans (FRA) 4th Mar,To Be Placed,04-03-2026 14:22,33789747,Singel Malt,0,3.04000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254726019,Marseille (FRA) 4th Mar,To Be Placed,04-03-2026 17:45,8481033,Astrea,0,4.80000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254726037,Le Mans (FRA) 4th Mar,To Be Placed,04-03-2026 13:47,76213030,Steady Success,0,3.59045075,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
254726019,Marseille (FRA) 4th Mar,To Be Placed,04-03-2026 17:45,4366056,Tchikita,0,3.91844002,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
