event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
254200430,Chantilly (FRA) 19th Feb,6f Hcap,19-02-2026 13:12,42658097,Laura Trezy,0,8.56703845,9.9776,10.4999,9.40,9.40,1.00,1001.00,8.56,283.37,220.59
254200430,Chantilly (FRA) 19th Feb,6f Hcap,19-02-2026 13:12,25928901,Palimero,0,7.10130955,6.9366,6.1076,1.00,1001.00,1.00,1001.00,10.74,203.12,331.85
254200427,Chantilly (FRA) 19th Feb,7f Hcap,19-02-2026 11:52,88781595,Bihotz Basc,0,112.18978845,68.9418,1.0000,75.00,60.00,1.00,1001.00,0.00,74.76,39.16
254200439,Chantilly (FRA) 19th Feb,6f Hcap,19-02-2026 14:22,73377775,Borcano,0,100.18639907,31.7025,1.0000,110.00,95.00,1.00,1001.00,0.00,70.26,33.13
254200437,Chantilly (FRA) 19th Feb,6f Hcap,19-02-2026 13:47,69068058,Audeladesetoiles,0,100.00000000,52.3021,1.0000,55.00,55.00,1.00,1001.00,0.00,47.42,43.60
254200439,Chantilly (FRA) 19th Feb,6f Hcap,19-02-2026 14:22,75281342,Miss Yorkshire,0,40.00000000,19.5123,15.9999,46.00,32.00,1.00,1001.00,10.00,195.53,43.67
254200439,Chantilly (FRA) 19th Feb,6f Hcap,19-02-2026 14:22,46496102,Itaewon,0,6.57377383,6.0928,9.9999,10.50,10.00,1.00,1001.00,6.00,1045.47,273.20
254200424,Chantilly (FRA) 19th Feb,1m1f Stks,19-02-2026 11:17,95282112,Grande Baigneuse,1,3.77093426,3.3438,3.7712,3.38,3.38,1.00,1001.00,313.48,2907.34,721.19
254200441,Chantilly (FRA) 19th Feb,6f Hcap,19-02-2026 14:57,880533,Vega,0,9.56270645,5.7518,1.0000,1.00,1001.00,1.00,1001.00,0.00,679.29,185.71
254200437,Chantilly (FRA) 19th Feb,6f Hcap,19-02-2026 13:47,42102579,Thunderheart,0,6.27143133,7.2166,6.5999,7.40,7.40,1.00,1001.00,8.00,590.41,319.31
254200441,Chantilly (FRA) 19th Feb,6f Hcap,19-02-2026 14:57,47241839,Irishkamaya,0,20.34175647,10.3284,1.0000,17.50,16.00,1.00,1001.00,0.00,567.94,168.18
254200421,Chantilly (FRA) 19th Feb,1m1f Stks,19-02-2026 10:42,95282106,Nity Galeste,1,17.24571862,12.5206,6.1253,23.00,23.00,1.00,1001.00,707.11,281.34,425.77
254200427,Chantilly (FRA) 19th Feb,7f Hcap,19-02-2026 11:52,13446609,Landed,0,7.24273588,10.4004,1.0000,12.00,10.00,1.00,1001.00,0.00,900.37,195.44
254200437,Chantilly (FRA) 19th Feb,6f Hcap,19-02-2026 13:47,86589811,Kaouasaki,0,93.93998383,42.0687,1.0000,50.00,34.00,1.00,1001.00,0.00,180.78,26.51
254200430,Chantilly (FRA) 19th Feb,6f Hcap,19-02-2026 13:12,73920705,Ganzeville,0,75.00000000,49.4359,1.0000,48.00,48.00,100.00,100.00,0.00,24.97,39.90
254200421,Chantilly (FRA) 19th Feb,1m1f Stks,19-02-2026 10:42,8745361,Sourdeval,0,4.18672142,4.5425,4.2985,5.50,4.00,870.00,870.00,2460.84,2110.57,350.27
254200441,Chantilly (FRA) 19th Feb,6f Hcap,19-02-2026 14:57,57965246,Yoken,0,64.65485427,22.0139,1.0000,65.00,60.00,1.00,1001.00,0.00,123.08,58.46
254200424,Chantilly (FRA) 19th Feb,1m1f Stks,19-02-2026 11:17,3885208,Secret Queen,0,48.87912862,40.9620,46.3840,53.15,48.32,1.00,1001.00,9.64,165.83,6.98
254200437,Chantilly (FRA) 19th Feb,6f Hcap,19-02-2026 13:47,82765413,Peone,0,140.00000000,229.7745,1.0000,370.00,140.00,1.00,1001.00,0.00,24.08,22.36
254200424,Chantilly (FRA) 19th Feb,1m1f Stks,19-02-2026 11:17,95282115,Zenayah,0,212.59260000,123.0814,67.6190,357.54,106.30,340.00,110.00,0.04,27.94,20.78
254200433,Chantilly (FRA) 19th Feb,7f Hcap,19-02-2026 12:27,86161718,Epi,0,14.57746634,17.5460,1.0000,19.50,16.00,1.00,1001.00,0.00,359.73,181.64
254200427,Chantilly (FRA) 19th Feb,7f Hcap,19-02-2026 11:52,89021863,Arken,0,3.87368620,4.3687,4.4999,4.70,4.20,1.00,1001.00,23.70,1833.68,553.22
254200437,Chantilly (FRA) 19th Feb,6f Hcap,19-02-2026 13:47,84779552,Larlequin,0,47.67648046,53.0038,1.0000,1.00,1001.00,1.00,1001.00,0.00,6.30,57.37
254200437,Chantilly (FRA) 19th Feb,6f Hcap,19-02-2026 13:47,69611991,Elenka,0,100.00000000,89.7873,1.0000,130.00,29.00,40.00,40.00,0.00,97.90,52.29
254200433,Chantilly (FRA) 19th Feb,7f Hcap,19-02-2026 12:27,130467,Ocean Star,0,20.63790803,16.3412,1.0000,17.50,15.50,1.00,1001.00,0.00,197.38,115.37
254200430,Chantilly (FRA) 19th Feb,6f Hcap,19-02-2026 13:12,79085098,Zeralda,0,360.00000000,245.8259,1.0000,350.00,180.00,1.00,1001.00,0.00,11.84,16.50
254200441,Chantilly (FRA) 19th Feb,6f Hcap,19-02-2026 14:57,22214460,Speedster,0,6.73567493,5.0526,1.0000,8.60,5.00,1.00,1001.00,0.00,3161.31,369.12
254200421,Chantilly (FRA) 19th Feb,1m1f Stks,19-02-2026 10:42,95282103,New Connection,0,2.50075373,2.3173,2.2971,2.70,2.50,1.00,1001.00,4031.49,3369.94,661.55
254200424,Chantilly (FRA) 19th Feb,1m1f Stks,19-02-2026 11:17,95282108,Dream Darmor,0,105.32854744,88.5613,191.0838,202.93,86.97,1.00,1001.00,2.30,63.38,8.94
