event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
256014263,Limerick 31st Mar,To Be Placed,31-03-2026 18:42,49347440,Spinning Web,0,5.20000000,5.2861,6.1999,1.00,1001.00,440.00,440.00,2.00,397.20,19.98
256014238,Limerick 31st Mar,To Be Placed,31-03-2026 16:10,125449,Rebel Queen,0,3.10000000,3.0836,4.2127,1.00,1001.00,1.00,1001.00,4.70,1125.95,146.36
256014248,Limerick 31st Mar,To Be Placed,31-03-2026 17:10,94654304,Lamiral Fromentin,0,8.47995582,9.7531,10.9998,1.00,1001.00,1.00,1001.00,2.00,446.55,60.40
256014238,Limerick 31st Mar,To Be Placed,31-03-2026 16:10,96891220,Ballyhahill,0,1.51831376,1.5069,1.6099,1.00,1001.00,1.00,1001.00,2.00,1778.35,232.99
256014258,Limerick 31st Mar,To Be Placed,31-03-2026 18:12,23510289,Malbas,0,25.40903584,17.9449,3.5999,1.00,1001.00,1.00,1001.00,2.00,250.16,21.98
256014248,Limerick 31st Mar,To Be Placed,31-03-2026 17:10,78792216,Daisy Fingall,1,4.30000000,3.8567,5.5999,1.00,1001.00,1.00,1001.00,2.00,376.86,145.54
256014268,Limerick 31st Mar,To Be Placed,31-03-2026 19:12,95778914,Shadonagh,0,5.60000000,4.4593,4.6764,4.20,4.20,1.00,1001.00,6.80,1861.87,44.33
256014238,Limerick 31st Mar,To Be Placed,31-03-2026 16:10,82799315,Kashel Spring,0,18.38030639,14.2200,7.3999,1.00,1001.00,1.00,1001.00,2.00,154.45,22.31
256014268,Limerick 31st Mar,To Be Placed,31-03-2026 19:12,84158545,Nells Princess,0,6.20000000,5.2745,3.8899,1.00,1001.00,1.00,1001.00,2.00,1408.44,115.31
256014253,Limerick 31st Mar,To Be Placed,31-03-2026 17:42,50396784,Lovely Reaction,0,6.56116672,6.0270,5.5912,1.00,1001.00,1.00,1001.00,5.14,562.65,71.11
