event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
254795321,Dundalk 6th Mar,1m Mdn,06-03-2026 19:15,13185796,Mooncoin,0,3.15390698,3.4792,6.0028,6.80,2.78,1000.00,2.08,531.70,62251.49,6076.00
254795300,Dundalk 6th Mar,7f Hcap,06-03-2026 17:12,61902978,Una Matata,1,11.00000000,9.5984,11.4868,13.50,11.00,10.50,1.01,343.08,6186.24,14084.89
254795321,Dundalk 6th Mar,1m Mdn,06-03-2026 19:15,94994038,Victeix,0,300.00000000,174.0087,24.8303,370.00,27.00,1000.00,170.00,72.02,613.71,73.61
254795295,Dundalk 6th Mar,7f Claim Stks,06-03-2026 16:37,83995694,Princess Sioux,0,8.20000000,7.2811,8.7774,8.40,6.00,1000.00,8.80,391.56,9350.67,2111.32
254795300,Dundalk 6th Mar,7f Hcap,06-03-2026 17:12,85725324,Battle Borne,0,17.22943893,13.7161,14.3998,18.00,13.50,980.00,28.00,222.24,4187.00,470.30
254795311,Dundalk 6th Mar,2m Hcap,06-03-2026 18:15,53458295,Minella Mate,0,4.70000000,4.3741,4.3261,5.40,4.60,950.00,21.00,163.43,18482.97,3726.65
254795316,Dundalk 6th Mar,1m4f Hcap,06-03-2026 18:45,21843935,Rushford,0,205.89218358,182.4132,40.5272,350.00,75.00,950.00,100.00,4.61,534.59,157.72
254795305,Dundalk 6th Mar,6f Hcap,06-03-2026 17:45,48651446,Hasiyna,0,24.54819751,17.4719,14.2970,26.00,14.00,400.00,13.50,143.28,4122.09,762.76
254795311,Dundalk 6th Mar,2m Hcap,06-03-2026 18:15,82866829,Louies Folly,0,41.19216574,21.9065,16.6266,42.00,15.00,950.00,27.00,120.24,4871.75,520.17
254795332,Dundalk 6th Mar,1m Stks,06-03-2026 20:15,28663454,Final Voyage,0,9.00000000,7.5963,12.5295,12.50,8.00,150.00,6.20,111.06,12124.37,2663.33
254795311,Dundalk 6th Mar,2m Hcap,06-03-2026 18:15,81323066,Echinacea,0,18.50000000,13.5008,11.5291,21.00,12.50,110.00,4.10,48.89,5828.95,4849.61
254795300,Dundalk 6th Mar,7f Hcap,06-03-2026 17:12,27049845,Notforalongtime,0,40.00000000,30.2598,22.8463,42.00,18.50,950.00,50.00,392.02,3304.59,457.22
254795326,Dundalk 6th Mar,1m Hcap,06-03-2026 19:45,25396987,Manhattan Dandy,0,28.00000000,21.9100,18.0214,30.00,17.94,1000.00,13.00,24.00,2751.36,935.34
254795326,Dundalk 6th Mar,1m Hcap,06-03-2026 19:45,74861699,Desert Of The Sea,0,5.70000000,5.0857,7.7403,7.40,5.30,950.00,5.20,70.80,23282.13,3673.99
254795332,Dundalk 6th Mar,1m Stks,06-03-2026 20:15,40791244,Spicy Margarita,0,12.00000000,9.5864,8.1207,15.00,8.00,1000.00,9.40,89.39,8921.92,1475.90
254795326,Dundalk 6th Mar,1m Hcap,06-03-2026 19:45,87347078,Vocology,0,90.00000000,63.1185,233.9327,436.45,60.00,950.00,75.00,4.00,1533.56,296.40
254795326,Dundalk 6th Mar,1m Hcap,06-03-2026 19:45,59331238,Bella Colombia,1,10.00000000,9.3650,16.9964,15.00,8.60,8.80,1.01,23.62,7167.69,8382.55
