event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
255998326,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 15:45,74774220,Romilly,1,1.76827525,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
255998298,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 14:35,8799761,Coppola,1,5.17831166,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
255998300,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 15:10,1198796,Bobs Your Uncle,1,2.90260910,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
255998326,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 15:45,36930759,Spy Story,0,5.48658950,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
255998286,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 11:05,3887610,Secret Life,0,8.80000000,1.0000,1.3550,1.00,1001.00,1.00,1001.00,52.96,0.00,0.00
255998286,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 11:05,94737124,Viking Lass,1,1.12787903,1.0000,1.1117,1.00,1001.00,1.00,1001.00,3659.65,0.00,0.00
255998326,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 15:45,92049532,Duchess Zahra,0,3.85520611,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
255998286,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 11:05,96885128,Alice B Toklas,1,6.40000000,1.0000,1.5810,1.00,1001.00,1.00,1001.00,21.34,0.00,0.00
255998296,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 14:00,66761021,Gold De Grace,1,8.02697733,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
255998288,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 11:40,41200975,Life In Colour,0,1.90495455,1.0000,1.9087,1.00,1001.00,1.00,1001.00,1130.74,0.00,0.00
255998288,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 11:40,92242085,Mfulathela,0,28.66106000,1.0000,15.6758,1.00,1001.00,1.00,1001.00,26.38,0.00,0.00
255998296,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 14:00,85054939,Six Of All,0,2.20000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
255998290,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 12:15,85813415,Comic Artist,0,1.53165153,1.0000,1.6309,1.00,1001.00,1.00,1001.00,258.06,0.00,0.00
255998326,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 15:45,13331382,Kotinos,0,2.03607840,1.0000,2.6999,1.00,1001.00,1.00,1001.00,103.86,0.00,0.00
255998290,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 12:15,72851363,Flying Predator,0,75.00000000,1.0000,115.9998,1.00,1001.00,1.00,1001.00,6.00,0.00,0.00
255998288,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 11:40,95024075,Big John Mac,0,7.60000000,1.0000,5.3820,1.00,1001.00,1.00,1001.00,11.12,0.00,0.00
255998288,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 11:40,96885129,Cats Future,0,14.03057600,1.0000,5.6000,1.00,1001.00,1.00,1001.00,11.60,0.00,0.00
255998288,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 11:40,96219434,Lance Attack,0,8.60000000,1.0000,5.8423,1.00,1001.00,1.00,1001.00,171.98,0.00,0.00
255998326,Vaal (RSA) 31st Mar,To Be Placed,31-03-2026 15:45,82237875,Sergeant Soqrat,0,8.40056000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
