event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
253425485,Turffontein (RSA) 1st Feb,R4 2400m Stks,01-02-2026 11:50,27202109,Battleground,0,12.50000000,12.1372,5.3286,15.50,11.00,1.00,1001.00,4.66,2953.38,210.01
253425491,Turffontein (RSA) 1st Feb,R7 1600m Hcap,01-02-2026 13:35,79563703,Paris Fun,0,6.94916867,6.2804,1.0000,1.00,1001.00,1.00,1001.00,0.00,1176.52,338.76
253425495,Turffontein (RSA) 1st Feb,R9 1400m Hcap,01-02-2026 14:50,13051653,Tintin,1,1.51377939,1.5009,1.7999,1.51,1.49,1.00,1001.00,2.00,3726.19,1408.96
253425483,Turffontein (RSA) 1st Feb,R3 1200m Stks,01-02-2026 11:15,83678546,Chapbook,0,13.00000000,15.8563,26.1580,13.50,13.50,660.00,660.00,24.28,326.46,222.81
253425489,Turffontein (RSA) 1st Feb,R6 1600m Hcap,01-02-2026 13:00,59324,Theatre Of Life,0,272.16815783,161.0557,1.0000,290.00,120.00,200.00,200.00,0.00,215.74,28.08
253425493,Turffontein (RSA) 1st Feb,R8 1400m Hcap,01-02-2026 14:15,46969195,Pretty Analia,0,10.01023724,9.7862,1.0000,11.50,8.80,1.00,1001.00,0.00,3083.16,189.64
253425481,Turffontein (RSA) 1st Feb,R2 1200m Mdn,01-02-2026 10:40,2202020,Space Mission,1,1.61791910,1.5435,1.4842,1.62,1.43,1.00,1001.00,20164.22,17027.54,1727.99
253425485,Turffontein (RSA) 1st Feb,R4 2400m Stks,01-02-2026 11:50,64740824,Douglas Dragon,0,2.12000000,1.9050,2.4299,2.12,1.74,1.87,1.87,12.00,15525.92,3497.52
253425481,Turffontein (RSA) 1st Feb,R2 1200m Mdn,01-02-2026 10:40,84339508,Tigers Captain,0,25.00000000,36.7975,14.4653,42.00,36.00,1.00,1001.00,770.01,276.44,186.43
253425479,Turffontein (RSA) 1st Feb,R1 1200m Mdn,01-02-2026 10:05,93791605,Gimmesumluv,0,21.00000000,18.5020,11.3235,25.00,25.00,1.00,1001.00,502.45,272.24,108.91
253425491,Turffontein (RSA) 1st Feb,R7 1600m Hcap,01-02-2026 13:35,81779351,Say A Wish,0,47.83701221,41.9459,1.0000,55.00,30.00,1.00,1001.00,0.00,118.62,45.25
