event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
254504331,Wolverhampton 27th Feb,1m Hcap,27-02-2026 20:15,88043573,Spirit Of Mara,0,12.00000000,13.3649,13.2925,23.00,10.00,1000.00,12.50,564.50,16244.65,1981.58
254504360,Lingfield 27th Feb,6f Hcap,27-02-2026 15:12,74010999,Fast Track Harry,1,4.60736464,5.0723,7.6581,8.00,4.40,6.40,1.01,1855.98,41916.30,23413.86
254504351,Lingfield 27th Feb,7f Hcap,27-02-2026 14:42,154449,Cartwheel,0,92.90395404,83.0255,69.9521,150.00,60.00,1000.00,90.00,161.72,3411.64,439.62
254504337,Lingfield 27th Feb,1m2f Hcap,27-02-2026 13:42,69400785,Muy Muy Loco,0,4.63051338,3.8245,3.9392,4.80,3.60,1000.00,4.00,4481.72,63658.78,10954.68
254504242,Newbury 27th Feb,3m Hcap Hrd,27-02-2026 16:43,5968974,Benign Dictator,0,12.99318911,12.7465,11.1858,16.50,11.17,700.00,17.50,336.70,13530.91,3767.78
254504253,Doncaster 27th Feb,2m3f Hcap Hrd,27-02-2026 13:50,54186817,Camarrate,0,15.47856602,15.6828,16.8340,21.00,13.00,980.00,9.40,524.17,7733.00,3135.61
254504325,Wolverhampton 27th Feb,1m4f Hcap,27-02-2026 19:45,50670960,Market House,0,4.41635656,3.7233,4.4356,5.20,3.40,1000.00,3.40,1265.72,75729.39,13498.86
254504259,Doncaster 27th Feb,3m Nov Hrd,27-02-2026 14:50,67572956,Tormund Giantsbane,1,3.05000000,2.8608,3.0643,4.00,2.38,3.40,1.01,3927.71,63873.74,84988.39
254504253,Doncaster 27th Feb,2m3f Hcap Hrd,27-02-2026 13:50,82866866,Ryebridge,0,8.09161292,9.7817,12.5961,13.50,7.60,1000.00,7.60,901.27,12230.78,4825.22
254504278,Doncaster 27th Feb,2m3f Hcap Chs,27-02-2026 16:30,36527159,Line Of Descent,0,5.62393007,5.1247,4.9297,6.00,4.50,1000.00,4.00,1748.69,29842.81,11565.83
254504325,Wolverhampton 27th Feb,1m4f Hcap,27-02-2026 19:45,49632096,Intinso,0,18.65484939,19.8448,23.3187,34.00,17.50,1000.00,20.00,152.08,9245.22,1792.25
254504312,Wolverhampton 27th Feb,6f Hcap,27-02-2026 18:45,87390474,Elashgar,1,13.41729024,11.0903,8.5748,13.50,7.60,25.00,1.01,380.30,9052.16,13100.30
254504305,Wolverhampton 27th Feb,7f Mdn Stks,27-02-2026 18:15,86754166,Miss Lady Grace,1,7.21522618,6.1887,4.2055,8.36,4.77,6.20,1.01,460.84,33728.38,24345.60
254504298,Wolverhampton 27th Feb,7f Hcap,27-02-2026 17:45,12387515,Ultramarine,0,14.00000000,9.4760,8.7982,14.00,6.80,1000.00,10.00,2926.03,33369.56,1565.95
254504292,Wolverhampton 27th Feb,1m Hcap,27-02-2026 17:13,53776954,Rainwater,0,5.71286344,3.9529,5.8328,6.40,5.20,1000.00,5.40,632.31,28512.63,7561.07
254504374,Lingfield 27th Feb,1m2f Hcap,27-02-2026 16:20,60703430,Dukes Command,0,8.00000000,6.4972,6.4636,8.00,5.40,530.00,7.40,1321.79,29138.48,3868.75
254504344,Lingfield 27th Feb,6f Hcap,27-02-2026 14:12,83686686,U S S Charleston,0,55.00000000,40.7356,39.6416,65.00,34.00,1000.00,23.00,196.70,3787.52,841.99
254504305,Wolverhampton 27th Feb,7f Mdn Stks,27-02-2026 18:15,95589343,Kakirra,0,149.90216734,77.5418,26.3643,165.35,12.16,1000.00,190.00,192.78,2635.01,173.19
254504285,Doncaster 27th Feb,3m Hcap Chs,27-02-2026 17:05,37243340,Autonomous Cloud,0,4.34992623,3.8835,4.6172,7.40,3.50,1000.00,4.10,1622.89,61833.89,13418.26
254504265,Doncaster 27th Feb,2m Hcap Hrd,27-02-2026 15:22,36676175,Parramount,0,11.88705332,12.9923,17.9658,18.59,10.50,930.00,6.20,700.82,16435.28,7433.58
254504351,Lingfield 27th Feb,7f Hcap,27-02-2026 14:42,70113667,Bear Rock,0,13.02044283,12.0731,14.4776,18.50,11.50,1000.00,27.00,470.52,13413.71,1048.95
254504367,Lingfield 27th Feb,2m Hcap,27-02-2026 15:45,46556,Anniversary,0,3.16055433,3.4048,4.0215,4.87,3.18,1000.00,2.86,1264.48,52883.07,11076.26
254504312,Wolverhampton 27th Feb,6f Hcap,27-02-2026 18:45,85871557,Trucial Pearl,0,4.29218181,5.9654,8.7607,8.20,4.70,230.00,4.80,695.36,36941.34,12789.02
254504242,Newbury 27th Feb,3m Hcap Hrd,27-02-2026 16:43,62072121,Big City Roller,0,25.12573428,13.8575,9.8626,26.00,11.62,1000.00,19.50,932.72,8999.25,1776.71
254504344,Lingfield 27th Feb,6f Hcap,27-02-2026 14:12,84280099,Rogue Supremacy,0,12.40395351,11.5618,20.0073,22.00,11.50,1000.00,14.00,333.22,11789.37,1803.80
254504292,Wolverhampton 27th Feb,1m Hcap,27-02-2026 17:13,59240050,Redhot Whisper,0,114.49909039,70.7773,73.0498,150.00,60.00,220.00,60.00,43.14,1461.36,382.61
254504211,Newbury 27th Feb,2m4f Hcap Hrd,27-02-2026 14:00,59895561,El Curamach,0,62.73586324,59.2568,32.4334,100.00,21.00,1000.00,8.40,349.21,2320.26,3895.12
254504235,Newbury 27th Feb,2m Hcap Chs,27-02-2026 16:08,39801358,Kotmask,0,9.38393864,8.8320,7.0716,11.00,5.67,1000.00,2.02,1606.02,23971.11,19824.13
254504381,Lingfield 27th Feb,1m Hcap,27-02-2026 16:53,57419597,North View,0,7.97674713,8.6740,10.8714,12.00,7.60,1000.00,5.60,398.32,15201.15,2787.65
254504253,Doncaster 27th Feb,2m3f Hcap Hrd,27-02-2026 13:50,63444666,Tigga Time,0,12.53378119,13.7246,12.0994,17.00,11.50,1000.00,13.00,903.19,7156.14,1627.08
254504331,Wolverhampton 27th Feb,1m Hcap,27-02-2026 20:15,40550551,Inherent Resolve,0,3.69115304,3.5760,4.0062,4.10,3.05,1000.00,1.54,986.74,56816.54,18881.28
254504242,Newbury 27th Feb,3m Hcap Hrd,27-02-2026 16:43,27541409,Call Me Legend,0,3.90281834,3.5006,3.6388,4.20,3.58,1000.00,4.00,1263.34,53995.38,15763.02
254504298,Wolverhampton 27th Feb,7f Hcap,27-02-2026 17:45,8831952,Abduction,0,19.85145238,19.4904,17.2233,28.00,15.00,470.00,17.50,809.64,8363.38,1134.48
254504351,Lingfield 27th Feb,7f Hcap,27-02-2026 14:42,48412533,Powdering,0,8.67602241,6.7477,8.4901,10.00,7.40,860.00,2.04,665.90,28638.35,13282.88
254504298,Wolverhampton 27th Feb,7f Hcap,27-02-2026 17:45,76268931,Trouble Man,0,33.88012999,23.8206,32.3403,38.00,24.00,40.00,6.00,93.16,5297.28,3007.03
