Date,home_team,away_team,home_odds,away_odds,event_id,home_team_mapped,away_team_mapped
2025-03-16,Team Vitality,MOUZ,1.26,3.7,8292,Vitality,MOUZ
2025-03-15,Team Vitality,The Mongolz,1.27,3.66,8292,Vitality,The MongolZ
2025-03-15,MOUZ,Team Spirit,2.96,1.37,8292,MOUZ,Spirit
2025-03-14,NaVi,The Mongolz,1.47,2.65,8292,Natus Vincere,The MongolZ
2025-03-14,Team Vitality,Team Liquid,1.2,4.35,8292,Vitality,Liquid
2025-03-13,MOUZ,G2 Esports,1.68,2.16,8292,MOUZ,G2
2025-03-13,Eternal Fire,Team Spirit,3.71,1.26,8292,Eternal Fire,Spirit
2025-03-11,G2 Esports,GamerLegion,1.21,4.22,8292,G2,GamerLegion
2025-03-11,FALCONS,Eternal Fire,2.27,1.61,8292,Falcons,Eternal Fire
2025-03-11,Team Liquid,3DMAX,1.45,2.68,8292,Liquid,3DMAX
2025-03-10,FALCONS,FURIA,1.5,2.55,8292,Falcons,FURIA
2025-03-10,G2 Esports,NaVi,2.15,1.68,8292,G2,Natus Vincere
2025-03-10,Eternal Fire,paiN Gaming,1.31,3.3,8292,Eternal Fire,paiN
2025-03-10,MOUZ,Team Liquid,1.72,2.08,8292,MOUZ,Liquid
2025-03-10,sAw,GamerLegion,2.19,1.65,8292,SAW,GamerLegion
2025-03-10,The Mongolz,3DMAX,1.48,2.63,8292,The MongolZ,3DMAX
2025-03-09,FURIA,MIBR,1.62,2.27,8292,FURIA,MIBR
2025-03-09,Team Liquid,Eternal Fire,1.97,1.8,8292,Liquid,Eternal Fire
2025-03-09,paiN Gaming,NaVi,4.46,1.21,8292,paiN,Natus Vincere
2025-03-09,Team Vitality,MOUZ,1.41,2.88,8292,Vitality,MOUZ
2025-03-09,G2 Esports,sAw,1.19,4.75,8292,G2,SAW
2025-03-09,Team Spirit,The Mongolz,1.28,3.73,8292,Spirit,The MongolZ
2025-03-09,FALCONS,3DMAX,1.54,2.48,8292,Falcons,3DMAX
2025-03-09,GamerLegion,TyLoo,1.6,2.32,8292,GamerLegion,TYLOO
2025-03-08,Team Spirit,sAw,1.09,6.77,8292,Spirit,SAW
2025-03-08,Team Liquid,FURIA,1.42,2.86,8292,Liquid,FURIA
2025-03-08,Team Vitality,3DMAX,1.21,4.33,8292,Vitality,3DMAX
2025-03-08,MOUZ,FALCONS,1.65,2.2,8292,MOUZ,Falcons
2025-03-08,G2 Esports,The Mongolz,1.74,2.03,8292,G2,The MongolZ
2025-03-08,GamerLegion,paiN Gaming,1.89,1.9,8292,GamerLegion,paiN
2025-03-08,Eternal Fire,MIBR,1.38,3.03,8292,Eternal Fire,MIBR
2025-03-08,NaVi,TyLoo,1.1,6.73,8292,Natus Vincere,TYLOO
2025-03-07,G2 Esports,paiN Gaming,1.28,3.73,8292,G2,paiN
2025-03-07,FALCONS,Team Liquid,1.77,2.04,8292,Falcons,Liquid
2025-03-07,MOUZ,FURIA,1.34,3.22,8292,MOUZ,FURIA
2025-03-07,NaVi,sAw,1.07,7.68,8292,Natus Vincere,SAW
2025-03-07,Eternal Fire,3DMAX,1.49,2.58,8292,Eternal Fire,3DMAX
2025-03-07,The Mongolz,GamerLegion,1.36,3.14,8292,The MongolZ,GamerLegion
2025-03-07,Team Spirit,TyLoo,1.04,10.29,8292,Spirit,TYLOO
2025-03-07,Team Vitality,MIBR,1.07,8.01,8292,Vitality,MIBR
2025-03-05,FlyQuest,TyLoo,1.96,1.8,8292,FlyQuest,TYLOO
2025-03-04,FURIA,NRG Esports,1.48,2.57,8292,FURIA,NRG
2025-03-04,3DMAX,M80,1.54,2.42,8292,3DMAX,M80
2025-03-04,paiN Gaming,Lynn Vision,1.19,4.4,8292,paiN,Lynn Vision
2025-03-04,Eternal Fire,FlyQuest,1.16,4.78,8292,Eternal Fire,FlyQuest
2025-03-04,Heroic,Nemiga Gaming,1.3,3.41,8292,HEROIC,Nemiga
2025-03-04,MIBR,TyLoo,1.79,1.97,8292,MIBR,TYLOO
2025-03-03,FlyQuest,paiN Gaming,3.1,1.35,8292,FlyQuest,paiN
2025-03-03,Eternal Fire,NRG Esports,1.18,4.62,8292,Eternal Fire,NRG
2025-03-03,FURIA,MIBR,1.41,2.77,8292,FURIA,MIBR
2025-03-03,M80,sAw,1.56,2.35,8292,M80,SAW
2025-03-03,GamerLegion,TyLoo,1.6,2.25,8292,GamerLegion,TYLOO
2025-03-03,Nemiga Gaming,Mindfreak,1.03,10.0,8292,Nemiga,Mindfreak
2025-03-03,Heroic,3DMAX,1.64,2.22,8292,HEROIC,3DMAX
2025-03-03,Lynn Vision,Housebets,1.08,7.0,8292,Lynn Vision,Housebets
2025-03-02,GamerLegion,MIBR,1.69,2.13,8292,GamerLegion,MIBR
2025-03-02,paiN Gaming,M80,1.47,2.64,8292,paiN,M80
2025-03-02,FURIA,sAw,1.37,3.03,8292,FURIA,SAW
2025-03-02,Nemiga Gaming,NRG Esports,1.74,2.06,8292,Nemiga,NRG
2025-03-02,Eternal Fire,TyLoo,1.08,7.08,8292,Eternal Fire,TYLOO
2025-03-02,Heroic,Housebets,1.0,13.0,8292,HEROIC,Housebets
2025-03-02,3DMAX,Mindfreak,1.01,12.33,8292,3DMAX,Mindfreak
2025-03-02,FlyQuest,Lynn Vision,1.41,2.8,8292,FlyQuest,Lynn Vision
2025-03-01,GamerLegion,NRG Esports,1.37,3.01,8292,GamerLegion,NRG
2025-03-01,FURIA,Lynn Vision,1.21,4.31,8292,FURIA,Lynn Vision
2025-03-01,MIBR,Nemiga Gaming,1.68,2.14,8292,MIBR,Nemiga
2025-03-01,3DMAX,TyLoo,1.08,7.34,8292,3DMAX,TYLOO
2025-03-01,Heroic,sAw,1.2,4.35,8292,HEROIC,SAW
2025-03-01,Eternal Fire,Mindfreak,1.0,13.0,8292,Eternal Fire,Mindfreak
2025-03-01,M80,FlyQuest,1.67,2.16,8292,M80,FlyQuest
2025-09-07,Team Vitality,G2 Esports,1.31,3.15,7907,Vitality,G2
2025-09-06,FURIA,G2 Esports,1.7,2.1,7907,FURIA,G2
2025-09-06,Team Vitality,MOUZ,1.46,2.62,7907,Vitality,MOUZ
2025-09-05,FaZe Clan,G2 Esports,1.96,1.8,7907,FaZe,G2
2025-09-05,MOUZ,M80,1.23,3.93,7907,MOUZ,M80
2025-09-01,Team Spirit,G2 Esports,1.26,3.57,7907,Spirit,G2
2025-09-01,MOUZ,FURIA,1.59,2.3,7907,MOUZ,FURIA
2025-09-01,Fnatic,M80,1.83,1.92,7907,fnatic,M80
2025-09-01,Team Vitality,FaZe Clan,1.24,3.73,7907,Vitality,FaZe
2025-08-31,FlyQuest,G2 Esports,3.35,1.3,7907,FlyQuest,G2
2025-08-31,Team Liquid,Team Spirit,4.81,1.16,7907,Liquid,Spirit
2025-08-31,M80,NaVi,3.32,1.3,7907,M80,Natus Vincere
2025-08-31,Fnatic,GamerLegion,2.36,1.54,7907,fnatic,GamerLegion
2025-08-30,FURIA,Team Spirit,3.93,1.23,7907,FURIA,Spirit
2025-08-30,MOUZ,G2 Esports,1.38,2.91,7907,MOUZ,G2
2025-08-30,FlyQuest,Legacy,2.71,1.43,7907,FlyQuest,Legacy
2025-08-30,Imperial,Team Liquid,2.32,1.58,7907,Imperial,Liquid
2025-08-29,NaVi,FaZe Clan,1.49,2.56,7907,Natus Vincere,FaZe
2025-08-29,Team Vitality,GamerLegion,1.15,4.96,7907,Vitality,GamerLegion
2025-08-29,M80,Virtus.pro,2.25,1.6,7907,M80,Virtus.pro
2025-08-29,ECSTATIC,Fnatic,2.0,1.76,7907,ECSTATIC,fnatic
2025-08-28,FURIA,Legacy,1.53,2.4,7907,FURIA,Legacy
2025-08-28,FlyQuest,Team Spirit,7.49,1.05,7907,FlyQuest,Spirit
2025-08-28,Team Liquid,G2 Esports,2.12,1.67,7907,Liquid,G2
2025-08-28,MOUZ,Imperial,1.09,5.9,7907,MOUZ,Imperial
2025-08-27,NaVi,Fnatic,1.22,3.87,7907,Natus Vincere,fnatic
2025-08-27,ECSTATIC,FaZe Clan,3.42,1.29,7907,ECSTATIC,FaZe
2025-08-27,Virtus.pro,GamerLegion,1.74,2.01,7907,Virtus.pro,GamerLegion
2025-08-27,Team Vitality,M80,1.04,8.62,7907,Vitality,M80
2025-03-30,Team Vitality,MOUZ,1.22,3.96,7907,Vitality,MOUZ
2025-03-29,Team Vitality,Team Spirit,1.63,2.23,7907,Vitality,Spirit
2025-03-29,Eternal Fire,MOUZ,2.5,1.52,7907,Eternal Fire,MOUZ
2025-03-28,Team Spirit,NaVi,1.37,3.01,7907,Spirit,Natus Vincere
2025-03-28,MOUZ,G2 Esports,1.54,2.41,7907,MOUZ,G2
2025-03-24,The Mongolz,G2 Esports,1.64,2.22,7907,The MongolZ,G2
2025-03-24,Eternal Fire,NaVi,2.06,1.71,7907,Eternal Fire,Natus Vincere
2025-03-24,Virtus.pro,Team Spirit,5.5,1.13,7907,Virtus.pro,Spirit
2025-03-24,MOUZ,Team Vitality,4.58,1.18,7907,MOUZ,Vitality
2025-03-23,M80,G2 Esports,4.54,1.19,7907,M80,G2
2025-03-23,Team Liquid,The Mongolz,2.49,1.52,7907,Liquid,The MongolZ
2025-03-23,FaZe Clan,Team Spirit,3.63,1.27,7907,FaZe,Spirit
2025-03-23,FALCONS,Virtus.pro,1.71,2.1,7907,Falcons,Virtus.pro
2025-03-22,The Mongolz,NaVi,2.16,1.67,7907,The MongolZ,Natus Vincere
2025-03-22,G2 Esports,Eternal Fire,2.08,1.71,7907,G2,Eternal Fire
2025-03-22,M80,FURIA,2.49,1.51,7907,M80,FURIA
2025-03-22,Imperial,Team Liquid,3.94,1.24,7907,Imperial,Liquid
2025-03-21,Team Vitality,Virtus.pro,1.1,6.45,7907,Vitality,Virtus.pro
2025-03-21,Team Spirit,MOUZ,1.41,2.85,7907,Spirit,MOUZ
2025-03-21,Astralis,FaZe Clan,2.22,1.63,7907,Astralis,FaZe
2025-03-21,The Huns,FALCONS,11.75,1.03,7907,The Huns,Falcons
2025-03-20,NaVi,FURIA,1.23,3.9,7907,Natus Vincere,FURIA
2025-03-20,The Mongolz,M80,1.18,4.51,7907,The MongolZ,M80
2025-03-20,Eternal Fire,Team Liquid,1.71,2.09,7907,Eternal Fire,Liquid
2025-03-20,G2 Esports,Imperial,1.15,5.04,7907,G2,Imperial
2025-03-19,FaZe Clan,Virtus.pro,1.46,2.65,7907,FaZe,Virtus.pro
2025-03-19,Team Vitality,Astralis,1.14,5.13,7907,Vitality,Astralis
2025-03-19,MOUZ,FALCONS,1.48,2.58,7907,MOUZ,Falcons
2025-03-19,Team Spirit,The Huns,1.02,11.65,7907,Spirit,The Huns
2025-08-03,MOUZ,Team Spirit,1.93,1.79,8038,MOUZ,Spirit
2025-08-02,Team Vitality,MOUZ,1.23,4.03,8038,Vitality,MOUZ
2025-08-02,Team Spirit,NaVi,1.36,2.97,8038,Spirit,Natus Vincere
2025-08-01,MOUZ,FURIA,1.35,2.96,8038,MOUZ,FURIA
2025-08-01,The Mongolz,NaVi,1.63,2.19,8038,The MongolZ,Natus Vincere
2025-07-29,FURIA,G2 Esports,1.85,1.87,8038,FURIA,G2
2025-07-29,FaZe Clan,NaVi,1.85,1.88,8038,FaZe,Natus Vincere
2025-07-29,The Mongolz,Team Vitality,3.84,1.25,8038,The MongolZ,Vitality
2025-07-29,MOUZ,Team Spirit,1.88,1.84,8038,MOUZ,Spirit
2025-07-29,FaZe Clan,Aurora,1.5,2.44,8038,FaZe,Aurora
2025-07-29,Ninjas in Pyjamas,NaVi,2.65,1.44,8038,Ninjas in Pyjamas,Natus Vincere
2025-07-28,3DMAX,G2 Esports,2.87,1.38,8038,3DMAX,G2
2025-07-28,FALCONS,FURIA,1.33,3.15,8038,Falcons,FURIA
2025-07-28,Aurora,Team Spirit,4.69,1.16,8038,Aurora,Spirit
2025-07-28,FaZe Clan,Team Liquid,1.48,2.55,8038,FaZe,Liquid
2025-07-28,NaVi,MOUZ,2.65,1.44,8038,Natus Vincere,MOUZ
2025-07-28,Ninjas in Pyjamas,Heroic,1.66,2.12,8038,Ninjas in Pyjamas,HEROIC
2025-07-27,G2 Esports,Team Vitality,6.37,1.11,8038,G2,Vitality
2025-07-27,FURIA,Astralis,1.9,1.82,8038,FURIA,Astralis
2025-07-27,FALCONS,The Mongolz,1.5,2.45,8038,Falcons,The MongolZ
2025-07-27,GamerLegion,3DMAX,1.59,2.24,8038,GamerLegion,3DMAX
2025-07-27,MOUZ,Team Liquid,1.22,3.92,8038,MOUZ,Liquid
2025-07-27,Team Spirit,Heroic,1.13,5.34,8038,Spirit,HEROIC
2025-07-26,Aurora,Ninjas in Pyjamas,1.88,1.85,8038,Aurora,Ninjas in Pyjamas
2025-07-26,NaVi,FaZe Clan,1.82,1.92,8038,Natus Vincere,FaZe
2025-07-26,The Mongolz,3DMAX,1.29,3.37,8038,The MongolZ,3DMAX
2025-07-26,Team Vitality,Astralis,1.12,6.12,8038,Vitality,Astralis
2025-07-26,FALCONS,GamerLegion,1.17,4.54,8038,Falcons,GamerLegion
2025-07-26,G2 Esports,FURIA,1.89,1.84,8038,G2,FURIA
2025-07-25,3DMAX,TyLoo,2.04,1.74,8038,3DMAX,TYLOO
2025-07-25,Astralis,paiN Gaming,1.49,2.52,8038,Astralis,paiN
2025-07-25,FlyQuest,Team Liquid,2.87,1.39,8038,FlyQuest,Liquid
2025-07-25,Virtus.pro,Heroic,2.02,1.75,8038,Virtus.pro,HEROIC
2025-07-25,Astralis,FURIA,1.67,2.15,8038,Astralis,FURIA
2025-07-25,BIG,paiN Gaming,2.21,1.63,8038,BIG,paiN
2025-07-24,FaZe Clan,Team Liquid,1.63,2.23,8038,FaZe,Liquid
2025-07-24,MIBR,Heroic,2.9,1.39,8038,MIBR,HEROIC
2025-07-24,3DMAX,Ninjas in Pyjamas,2.23,1.63,8038,3DMAX,Ninjas in Pyjamas
2025-07-24,B8,FlyQuest,1.64,2.2,8038,B8,FlyQuest
2025-07-24,GamerLegion,Virtus.pro,2.04,1.71,8038,GamerLegion,Virtus.pro
2025-07-24,compLexity Gaming,TyLoo,2.32,1.57,8038,Complexity,TYLOO
2025-07-23,Team Liquid,paiN Gaming,1.58,2.29,8038,Liquid,paiN
