name,edge_min_pct,bets,hit_rate_pct,total_pnl,roi_on_staked_pct,bank_growth_pct,final_bank,bankrupt
A. Flat (1000 Ft),5.0,91,16.48,-3425,-3.44,-3.43,96574,False
B. Full Kelly,5.0,91,16.48,6641,1.14,6.64,106641,False
C. Half Kelly,5.0,91,16.48,22960,8.55,22.96,122960,False
D. Quarter Kelly,5.0,91,16.48,16646,13.69,16.65,116646,False
E. Prop. Edge (50%),5.0,91,16.48,-78584,-6.1,-78.58,21415,False
A. Flat (1000 Ft),10.0,70,17.14,750,0.96,0.75,100750,False
B. Full Kelly,10.0,70,17.14,13547,2.44,13.55,113547,False
C. Half Kelly,10.0,70,17.14,26550,10.55,26.55,126550,False
D. Quarter Kelly,10.0,70,17.14,18253,16.14,18.25,118253,False
E. Prop. Edge (50%),10.0,70,17.14,-74295,-5.69,-74.3,25704,False
A. Flat (1000 Ft),15.0,53,22.64,19523,30.67,19.52,119523,False
B. Full Kelly,15.0,53,22.64,70351,11.69,70.35,170351,False
C. Half Kelly,15.0,53,22.64,54806,22.12,54.81,154806,False
D. Quarter Kelly,15.0,53,22.64,30743,28.98,30.74,130743,False
E. Prop. Edge (50%),15.0,53,22.64,-24370,-1.41,-24.37,75629,False
A. Flat (1000 Ft),20.0,37,18.92,3628,9.48,3.63,103628,False
B. Full Kelly,20.0,37,18.92,10178,3.07,10.18,110178,False
C. Half Kelly,20.0,37,18.92,22510,13.32,22.51,122510,False
D. Quarter Kelly,20.0,37,18.92,15818,19.52,15.82,115818,False
E. Prop. Edge (50%),20.0,37,18.92,-65037,-12.67,-65.04,34962,False
