edge_min_pct,max_odds,kelly,bets,growth_pct,final_bank,bankrupt
0.0,6.0,Full,38,94.02,194020,False
0.0,6.0,Half,38,48.19,148188,False
0.0,6.0,Quarter,38,23.89,123889,False
0.0,8.0,Full,108,6.95,106954,False
0.0,8.0,Half,108,22.81,122814,False
0.0,8.0,Quarter,108,16.16,116160,False
0.0,12.0,Full,332,-100.0,0,True
0.0,12.0,Half,348,-79.24,20757,False
0.0,12.0,Quarter,348,-43.54,56455,False
0.0,99.0,Full,116,-100.0,0,True
0.0,99.0,Half,329,-100.0,0,True
0.0,99.0,Quarter,616,-100.0,0,True
5.0,6.0,Full,30,92.54,192537,False
5.0,6.0,Half,30,47.74,147739,False
5.0,6.0,Quarter,30,23.71,123711,False
5.0,8.0,Full,91,6.64,106644,False
5.0,8.0,Half,91,22.96,122956,False
5.0,8.0,Quarter,91,16.65,116649,False
5.0,12.0,Full,295,-100.0,0,True
5.0,12.0,Half,304,-77.45,22551,False
5.0,12.0,Quarter,304,-40.22,59783,False
5.0,99.0,Full,109,-100.0,0,True
5.0,99.0,Half,318,-100.0,0,True
5.0,99.0,Quarter,605,-100.0,0,True
10.0,6.0,Full,19,100.86,200859,False
10.0,6.0,Half,19,50.65,150645,False
10.0,6.0,Quarter,19,24.87,124872,False
10.0,8.0,Full,70,13.55,113546,False
10.0,8.0,Half,70,26.55,126550,False
10.0,8.0,Quarter,70,18.25,118254,False
10.0,12.0,Full,254,-99.75,248,False
10.0,12.0,Half,254,-73.46,26536,False
10.0,12.0,Quarter,254,-35.21,64788,False
10.0,99.0,Full,103,-100.0,0,True
10.0,99.0,Half,307,-100.0,0,True
10.0,99.0,Quarter,578,-100.0,0,True
15.0,6.0,Full,12,145.64,245637,False
15.0,6.0,Half,12,66.47,166472,False
15.0,6.0,Quarter,12,31.24,131240,False
15.0,8.0,Full,53,70.35,170351,False
15.0,8.0,Half,53,54.81,154807,False
15.0,8.0,Quarter,53,30.75,130750,False
15.0,12.0,Full,224,-97.08,2920,False
15.0,12.0,Half,224,-64.32,35682,False
15.0,12.0,Quarter,224,-24.91,75091,False
15.0,99.0,Full,114,-100.0,0,True
15.0,99.0,Half,299,-100.0,0,True
15.0,99.0,Quarter,563,-100.0,0,True
20.0,6.0,Full,9,92.19,192187,False
20.0,6.0,Half,9,46.39,146387,False
20.0,6.0,Quarter,9,22.87,122872,False
20.0,8.0,Full,37,10.18,110184,False
20.0,8.0,Half,37,22.51,122510,False
20.0,8.0,Quarter,37,15.82,115815,False
20.0,12.0,Full,188,-96.88,3120,False
20.0,12.0,Half,188,-65.04,34956,False
20.0,12.0,Quarter,188,-26.02,73982,False
20.0,99.0,Full,90,-100.0,0,True
20.0,99.0,Half,278,-100.0,0,True
20.0,99.0,Quarter,537,-100.0,0,True
