margin_pct,max_odds,bets,pnl,roi,hit_rate,avg_odds
5.0,6.0,6,-3000.0,-50.0,16.666666666666664,3.766666666666666
5.0,8.0,9,-6000.0,-66.66666666666666,11.11111111111111,5.055555555555555
5.0,12.0,12,-9000.0,-75.0,8.333333333333332,6.141666666666667
5.0,99.0,12,-9000.0,-75.0,8.333333333333332,6.141666666666667
10.0,6.0,6,-3000.0,-50.0,16.666666666666664,3.766666666666666
10.0,8.0,7,-4000.0,-57.14285714285714,14.285714285714285,4.271428571428571
10.0,12.0,10,-7000.0,-70.0,10.0,5.8100000000000005
10.0,99.0,10,-7000.0,-70.0,10.0,5.8100000000000005
15.0,6.0,3,-3000.0,-100.0,0.0,4.366666666666667
15.0,8.0,4,-4000.0,-100.0,0.0,5.1000000000000005
15.0,12.0,5,-5000.0,-100.0,0.0,5.799999999999999
15.0,99.0,5,-5000.0,-100.0,0.0,5.799999999999999
20.0,6.0,2,-2000.0,-100.0,0.0,4.800000000000001
20.0,8.0,3,-3000.0,-100.0,0.0,5.633333333333333
20.0,12.0,3,-3000.0,-100.0,0.0,5.633333333333333
20.0,99.0,3,-3000.0,-100.0,0.0,5.633333333333333
