Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Match Report,player_id
2023-08-12,Sat,Premier League,Matchweek 1,Away,L 1–4,Luton Town,Brighton,Y*,CB,90,0,0,0,0,0,0,0,0,34,2,1,2,0.0,0.0,0.0,0,0,13,20,65.0,2,16,0,1,0,Match Report,37118440
2023-08-25,Fri,Premier League,Matchweek 3,Away,L 0–3,Luton Town,Chelsea,Y*,CB,90,0,0,0,0,0,0,1,0,39,1,0,3,0.0,0.0,0.0,1,0,18,27,66.7,3,21,0,0,0,Match Report,37118440
2023-08-29,Tue,EFL Cup,Second round,Home,W 3–2,Luton Town,Gillingham,Y*,CB,45,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,Match Report,37118440
2023-09-16,Sat,Premier League,Matchweek 5,Away,L 0–1,Luton Town,Fulham,Y*,CB,90,0,0,0,0,1,0,0,0,38,2,2,0,0.2,0.2,0.0,1,0,20,30,66.7,3,23,0,1,1,Match Report,37118440
2023-09-23,Sat,Premier League,Matchweek 6,Home,D 1–1,Luton Town,Wolves,Y*,CB,90,0,0,0,0,0,0,0,0,67,2,1,0,0.0,0.0,0.0,3,0,47,59,79.7,13,42,3,0,0,Match Report,37118440
2023-09-30,Sat,Premier League,Matchweek 7,Away,W 2–1,Luton Town,Everton,Y*,CB,55,1,0,0,0,2,1,0,0,22,0,0,3,0.5,0.5,0.0,0,0,9,14,64.3,0,9,0,0,0,Match Report,37118440
2023-10-03,Tue,Premier League,Matchweek 2,Home,L 1–2,Luton Town,Burnley,Y*,CB,90,0,0,0,0,2,0,0,0,65,2,2,0,0.1,0.1,0.0,0,0,34,51,66.7,2,28,0,0,0,Match Report,37118440
2023-10-07,Sat,Premier League,Matchweek 8,Home,L 0–1,Luton Town,Tottenham,Y*,CB,80,0,0,0,0,0,0,1,0,25,2,3,0,0.0,0.0,0.0,0,0,11,15,73.3,0,8,0,1,1,Match Report,37118440
2023-10-11,Wed,Friendlies (M),Friendlies (M),Home,W 4–0,wls Wales,gi Gibraltar,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report,37118440
2023-10-15,Sun,UEFA Euro Qualifying,Group stage,Home,W 2–1,wls Wales,hr Croatia,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,37118440
