Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Match Report,player_id
2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Fulham,Y,FW,71,0,0,0,0,4,3,0,0,19,0,0,1,1.3,1.3,0.1,2,0,8,9,88.9,0,9,1,0,0,Match Report,4bcf39f6
2023-08-20,Sun,Premier League,Matchweek 2,Away,L 0–4,Everton,Aston Villa,N,FW,40,0,0,0,0,1,1,0,0,21,0,0,1,0.1,0.1,0.0,1,0,14,17,82.4,0,11,0,0,0,Match Report,4bcf39f6
2023-08-26,Sat,Premier League,Matchweek 3,Home,L 0–1,Everton,Wolves,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,4bcf39f6
2023-08-30,Wed,EFL Cup,Second round,Away,W 2–1,Everton,Doncaster,N,,7,0,1,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report,4bcf39f6
2023-09-16,Sat,Premier League,Matchweek 5,Away,L 0–1,Brentford,Newcastle Utd,N,FW,19,0,0,0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,1,0,0,Match Report,4bcf39f6
2023-10-01,Sun,Premier League,Matchweek 7,Away,D 1–1,Brentford,Nott'ham Forest,N,FW,16,0,0,0,0,3,1,0,0,15,0,0,1,0.3,0.3,0.0,3,0,7,10,70.0,0,10,0,1,0,Match Report,4bcf39f6
2023-10-07,Sat,Premier League,Matchweek 8,Away,L 1–2,Brentford,Manchester Utd,N,FW,21,0,0,0,0,1,1,1,0,5,0,0,0,0.0,0.0,0.0,1,0,2,3,66.7,0,1,0,0,0,Match Report,4bcf39f6
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 3–0,Brentford,Burnley,Y,FW,87,0,1,0,0,4,1,0,0,26,0,0,0,0.8,0.8,0.1,4,3,11,16,68.8,2,13,1,1,0,Match Report,4bcf39f6
2023-10-28,Sat,Premier League,Matchweek 10,Away,W 2–0,Brentford,Chelsea,N,FW,15,0,1,0,0,0,0,1,0,10,0,1,0,0.0,0.0,1.1,2,1,7,9,77.8,1,3,0,0,0,Match Report,4bcf39f6
2023-11-04,Sat,Premier League,Matchweek 11,Home,W 3–2,Brentford,West Ham,Y,FW,90,1,0,0,0,3,1,0,0,36,2,0,1,0.6,0.6,0.0,3,0,19,26,73.1,4,22,2,2,1,Match Report,4bcf39f6
2023-11-12,Sun,Premier League,Matchweek 12,Away,L 0–3,Brentford,Liverpool,N,FW,19,0,0,0,0,1,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,5,0,0,0,Match Report,4bcf39f6
2023-11-25,Sat,Premier League,Matchweek 13,Home,L 0–1,Brentford,Arsenal,N,FW,19,0,0,0,0,2,0,0,0,11,0,0,1,0.5,0.5,0.0,1,0,4,5,80.0,0,7,1,1,0,Match Report,4bcf39f6
2023-12-02,Sat,Premier League,Matchweek 14,Home,W 3–1,Brentford,Luton Town,Y,FW,89,1,0,0,0,4,2,0,0,45,2,0,0,1.0,1.0,0.0,2,0,25,34,73.5,1,26,2,2,2,Match Report,4bcf39f6
2023-12-06,Wed,Premier League,Matchweek 15,Away,L 1–2,Brentford,Brighton,Y,FW,90,0,0,0,0,1,0,0,0,27,0,0,1,0.3,0.3,0.0,3,0,15,22,68.2,2,18,0,1,1,Match Report,4bcf39f6
