Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Match Report,player_id
2023-08-06,Sun,Community Shield,FA Community Shield,Neutral,D 1 (1)–1 (4),Manchester City,Arsenal,Y,DM,90,0,0,0,0,3,1,0,0,,,1,,,,,,,,,,,,,,,Match Report,6434f10d
2023-08-11,Fri,Premier League,Matchweek 1,Away,W 3–0,Manchester City,Burnley,Y,"DM,CB",90,1,1,0,0,4,3,0,0,122,5,0,0,0.5,0.5,0.2,5,1,107,110,97.3,4,84,1,0,0,Match Report,6434f10d
2023-08-16,Wed,Super Cup,UEFA Super Cup,Home,D 1 (5)–1 (4),eng Manchester City,es Sevilla,Y,DM,90,0,1,0,0,3,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,6434f10d
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 1–0,Manchester City,Newcastle Utd,Y,DM,90,0,0,0,0,0,0,0,0,144,3,0,1,0.0,0.0,0.0,3,0,122,135,90.4,6,66,1,3,3,Match Report,6434f10d
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Manchester City,Sheffield Utd,Y,DM,90,1,0,0,0,5,2,0,0,133,3,1,1,0.3,0.3,0.0,7,0,114,119,95.8,12,100,2,3,2,Match Report,6434f10d
2023-09-02,Sat,Premier League,Matchweek 4,Home,W 5–1,Manchester City,Fulham,Y,DM,75,0,0,0,0,0,0,1,0,97,1,1,1,0.0,0.0,0.0,2,1,85,92,92.4,7,63,1,1,1,Match Report,6434f10d
2023-09-08,Fri,UEFA Euro Qualifying,Group stage,Away,W 7–1,es Spain,ge Georgia,Y,CM,71,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report,6434f10d
2023-09-12,Tue,UEFA Euro Qualifying,Group stage,Home,W 6–0,es Spain,cy Cyprus,Y,CM,90,0,1,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report,6434f10d
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Manchester City,West Ham,Y,DM,90,0,0,0,0,5,2,1,0,125,1,1,1,0.2,0.2,0.7,14,1,113,116,97.4,23,109,9,3,2,Match Report,6434f10d
2023-09-19,Tue,Champions Lg,Group stage,Home,W 3–1,eng Manchester City,rs Red Star,Y,DM,82,1,0,0,0,5,2,1,0,112,2,0,0,0.3,0.3,0.0,5,0,92,103,89.3,18,82,6,4,3,Match Report,6434f10d
2023-09-23,Sat,Premier League,Matchweek 6,Home,W 2–0,Manchester City,Nott'ham Forest,Y,DM,45,0,0,0,0,0,0,0,1,81,0,0,0,0.0,0.0,0.0,2,1,75,78,96.2,6,52,1,1,1,Match Report,6434f10d
2023-10-04,Wed,Champions Lg,Group stage,Away,W 3–1,eng Manchester City,de RB Leipzig,Y,DM,90,0,0,0,0,0,0,0,0,122,0,1,0,0.0,0.0,0.0,3,0,107,118,90.7,15,77,2,2,2,Match Report,6434f10d
2023-10-12,Thu,UEFA Euro Qualifying,Group stage,Home,W 2–0,es Spain,sct Scotland,Y,CM,90,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report,6434f10d
2023-10-15,Sun,UEFA Euro Qualifying,Group stage,Away,W 1–0,es Spain,no Norway,Y,CM,90,0,0,0,0,1,0,1,0,,,0,,,,,,,,,,,,,,,Match Report,6434f10d
