Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Match Report,player_id
2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Fulham,Y,"LM,RM",90,0,0,0,0,4,2,0,0,44,1,1,2,0.3,0.3,0.1,11,0,22,30,73.3,4,25,3,4,3,Match Report,6ca5ec4b
2023-08-20,Sun,Premier League,Matchweek 2,Away,L 0–4,Everton,Aston Villa,Y,"LM,RM",50,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.1,1,0,5,12,41.7,0,8,3,0,0,Match Report,6ca5ec4b
2023-09-16,Sat,Premier League,Matchweek 5,Home,W 1–0,Fulham,Luton Town,N,RM,29,0,0,0,0,2,0,0,0,33,1,0,0,0.1,0.1,0.0,3,1,26,31,83.9,3,19,1,1,0,Match Report,6ca5ec4b
2023-09-23,Sat,Premier League,Matchweek 6,Away,D 0–0,Fulham,Crystal Palace,N,LM,16,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,9,11,81.8,3,8,1,0,0,Match Report,6ca5ec4b
2023-09-27,Wed,EFL Cup,Third round,Home,W 2–1,Fulham,Norwich City,Y,FW,90,1,0,0,0,3,1,0,0,,,1,,,,,,,,,,,,,,,Match Report,6ca5ec4b
2023-10-02,Mon,Premier League,Matchweek 7,Home,L 0–2,Fulham,Chelsea,N,RW,37,0,0,0,0,2,0,0,0,29,2,0,0,0.2,0.2,0.1,1,0,15,24,62.5,2,16,3,0,0,Match Report,6ca5ec4b
2023-10-07,Sat,Premier League,Matchweek 8,Home,W 3–1,Fulham,Sheffield Utd,Y,RM,78,0,0,0,0,1,0,0,0,47,1,0,0,0.1,0.1,0.1,4,0,35,42,83.3,6,31,1,0,0,Match Report,6ca5ec4b
2023-10-13,Fri,Friendlies (M),Friendlies (M),Neutral,D 2–2,ng Nigeria,sa Saudi Arabia,Y,CM,77,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report,6ca5ec4b
2023-10-23,Mon,Premier League,Matchweek 9,Away,L 0–2,Fulham,Tottenham,N,AM,45,0,0,0,0,1,0,0,0,28,0,1,1,0.0,0.0,0.2,1,0,22,24,91.7,1,21,0,0,0,Match Report,6ca5ec4b
2023-10-29,Sun,Premier League,Matchweek 10,Away,D 1–1,Fulham,Brighton,Y,"AM,DM,LW",89,0,0,0,0,1,1,0,0,33,1,2,0,0.0,0.0,0.0,3,1,22,23,95.7,5,21,1,6,5,Match Report,6ca5ec4b
