Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Match Report,player_id
2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Fulham,Y,CM,90,0,0,0,0,2,0,0,0,70,6,1,3,0.1,0.1,0.0,4,0,48,57,84.2,2,37,0,0,0,Match Report,72c812f3
2023-08-20,Sun,Premier League,Matchweek 2,Away,L 0–4,Everton,Aston Villa,Y,"DM,CM",45,0,0,0,0,0,0,1,0,17,1,0,0,0.0,0.0,0.0,0,0,12,13,92.3,1,10,0,0,0,Match Report,72c812f3
2023-08-26,Sat,Premier League,Matchweek 3,Home,L 0–1,Everton,Wolves,Y,DM,89,0,0,0,0,0,0,0,0,58,2,1,2,0.0,0.0,0.0,3,0,48,52,92.3,6,45,3,2,2,Match Report,72c812f3
2023-08-30,Wed,EFL Cup,Second round,Away,W 2–1,Everton,Doncaster,N,,45,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,Match Report,72c812f3
2023-09-02,Sat,Premier League,Matchweek 4,Away,D 2–2,Everton,Sheffield Utd,Y,CM,90,0,0,0,0,0,0,0,0,65,3,1,1,0.0,0.0,0.0,1,0,50,57,87.7,7,39,2,2,1,Match Report,72c812f3
2023-09-12,Tue,Friendlies (M),Friendlies (M),Home,L 0–1,sn Senegal,dz Algeria,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report,72c812f3
2023-09-17,Sun,Premier League,Matchweek 5,Home,L 0–1,Everton,Arsenal,Y,CM,90,0,0,0,0,2,1,0,0,26,2,2,0,0.1,0.1,0.1,2,0,14,19,73.7,1,21,3,0,0,Match Report,72c812f3
2023-09-23,Sat,Premier League,Matchweek 6,Away,W 3–1,Everton,Brentford,Y,CM,90,0,0,0,0,1,0,0,0,47,0,0,0,0.0,0.0,0.4,4,1,40,43,93.0,7,34,5,1,1,Match Report,72c812f3
2023-09-27,Wed,EFL Cup,Third round,Away,W 2–1,Everton,Aston Villa,N,,19,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,72c812f3
2023-09-30,Sat,Premier League,Matchweek 7,Home,L 1–2,Everton,Luton Town,Y,CM,45,0,0,0,0,1,0,0,0,50,2,0,0,0.1,0.1,0.0,0,0,36,43,83.7,1,35,0,1,1,Match Report,72c812f3
2023-10-16,Mon,Friendlies (M),Friendlies (M),Neutral,W 1–0,sn Senegal,cm Cameroon,N,,13,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report,72c812f3
2023-10-21,Sat,Premier League,Matchweek 9,Away,L 0–2,Everton,Liverpool,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,72c812f3
2023-10-29,Sun,Premier League,Matchweek 10,Away,W 1–0,Everton,West Ham,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,72c812f3
2023-11-01,Wed,EFL Cup,Fourth round,Home,W 3–0,Everton,Burnley,N,,12,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,72c812f3
2023-11-04,Sat,Premier League,Matchweek 11,Home,D 1–1,Everton,Brighton,Y,CM,90,0,0,0,0,0,0,1,0,22,2,0,1,0.0,0.0,0.0,1,0,11,16,68.8,0,9,1,0,0,Match Report,72c812f3
