Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Match Report,player_id
2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Fulham,Y,CM,90,0,0,0,0,1,1,0,0,38,0,1,1,0.1,0.1,1.1,5,0,27,32,84.4,4,25,2,0,0,Match Report,828657ff
2023-08-20,Sun,Premier League,Matchweek 2,Away,L 0–4,Everton,Aston Villa,Y,"CM,DM",90,0,0,0,0,0,0,0,0,53,1,0,3,0.0,0.0,0.0,0,0,35,42,83.3,5,32,0,0,0,Match Report,828657ff
2023-08-26,Sat,Premier League,Matchweek 3,Home,L 0–1,Everton,Wolves,Y,CM,90,0,0,0,0,1,0,0,0,44,4,1,0,0.1,0.1,0.2,2,0,31,37,83.8,6,26,0,1,1,Match Report,828657ff
2023-08-30,Wed,EFL Cup,Second round,Away,W 2–1,Everton,Doncaster,Y,DM,90,0,0,0,0,2,1,0,0,,,4,,,,,,,,,,,,,,,Match Report,828657ff
2023-09-02,Sat,Premier League,Matchweek 4,Away,D 2–2,Everton,Sheffield Utd,Y,CM,90,0,0,0,0,1,0,0,0,55,2,0,1,0.0,0.0,0.8,3,0,37,47,78.7,6,34,3,0,0,Match Report,828657ff
2023-09-09,Sat,UEFA Euro Qualifying,Group stage,Away,W 1–0,be Belgium,az Azerbaijan,Y,CM,90,0,0,0,0,1,0,0,0,,,1,,,,,,,,,,,,,,,Match Report,828657ff
2023-09-12,Tue,UEFA Euro Qualifying,Group stage,Home,W 5–0,be Belgium,ee Estonia,Y,CM,90,0,0,0,0,1,0,0,0,,,1,,,,,,,,,,,,,,,Match Report,828657ff
2023-09-17,Sun,Premier League,Matchweek 5,Home,L 0–1,Everton,Arsenal,Y,CM,90,0,0,0,0,0,0,0,0,30,2,0,0,0.0,0.0,0.0,3,0,21,26,80.8,2,19,0,0,0,Match Report,828657ff
2023-09-23,Sat,Premier League,Matchweek 6,Away,W 3–1,Everton,Brentford,Y,CM,76,0,0,0,0,2,0,0,0,69,6,1,1,0.1,0.1,0.0,4,0,48,56,85.7,5,33,0,0,0,Match Report,828657ff
2023-09-27,Wed,EFL Cup,Third round,Away,W 2–1,Everton,Aston Villa,Y,DM,78,0,1,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,828657ff
2023-09-30,Sat,Premier League,Matchweek 7,Home,L 1–2,Everton,Luton Town,Y,CM,90,0,0,0,0,3,1,0,0,104,3,1,1,0.5,0.5,0.0,6,0,71,86,82.6,8,49,2,7,2,Match Report,828657ff
2023-10-07,Sat,Premier League,Matchweek 8,Home,W 3–0,Everton,Bournemouth,Y,CM,90,0,0,0,0,3,1,0,0,55,4,0,0,0.2,0.2,0.0,5,0,39,45,86.7,7,29,0,2,0,Match Report,828657ff
2023-10-13,Fri,UEFA Euro Qualifying,Group stage,Away,W 3–2,be Belgium,at Austria,Y,CM,77,0,0,0,0,1,1,2,1,,,0,,,,,,,,,,,,,,,Match Report,828657ff
2023-10-21,Sat,Premier League,Matchweek 9,Away,L 0–2,Everton,Liverpool,Y,CM,79,0,0,0,0,2,0,0,0,27,0,1,0,0.0,0.0,0.0,0,0,12,16,75.0,1,8,0,1,0,Match Report,828657ff
2023-10-29,Sun,Premier League,Matchweek 10,Away,W 1–0,Everton,West Ham,Y,CM,90,0,0,0,0,1,0,0,0,63,6,0,2,0.1,0.1,0.1,2,0,41,47,87.2,5,32,2,3,1,Match Report,828657ff
2023-11-01,Wed,EFL Cup,Fourth round,Home,W 3–0,Everton,Burnley,Y,DM,78,1,0,0,0,3,2,0,0,,,2,,,,,,,,,,,,,,,Match Report,828657ff
2023-11-11,Sat,Premier League,Matchweek 12,Away,W 3–2,Everton,Crystal Palace,Y,CM,45,0,0,0,0,0,0,1,0,21,0,0,0,0.0,0.0,0.0,1,0,20,20,100.0,2,15,0,1,0,Match Report,828657ff
2023-12-10,Sun,Premier League,Matchweek 16,Home,W 2–0,Everton,Chelsea,N,CM,45,0,0,0,0,0,0,0,0,17,2,1,0,0.0,0.0,0.0,2,0,13,14,92.9,1,8,0,1,1,Match Report,828657ff
2023-12-16,Sat,Premier League,Matchweek 17,Away,W 2–0,Everton,Burnley,Y,CM,90,1,0,0,0,1,1,0,0,42,2,0,1,0.3,0.3,0.0,1,0,27,31,87.1,1,18,0,1,1,Match Report,828657ff
2023-12-19,Tue,EFL Cup,Quarter-finals,Home,D 1 (6)–1 (7),Everton,Fulham,Y,DM,120,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,Match Report,828657ff
2023-12-23,Sat,Premier League,Matchweek 18,Away,L 1–2,Everton,Tottenham,Y,DM,78,0,0,0,0,1,0,1,0,34,2,2,1,0.1,0.1,0.0,3,0,22,26,84.6,4,19,1,2,1,Match Report,828657ff
2023-12-27,Wed,Premier League,Matchweek 19,Home,L 1–3,Everton,Manchester City,Y,"DM,CM",90,0,0,0,0,0,0,0,0,46,2,0,1,0.0,0.0,0.0,0,0,28,38,73.7,2,26,1,0,0,Match Report,828657ff
2023-12-30,Sat,Premier League,Matchweek 20,Away,L 0–3,Everton,Wolves,Y,"CM,RM",90,0,0,0,0,1,0,0,0,71,5,1,1,0.0,0.0,0.0,0,0,53,62,85.5,10,30,3,1,0,Match Report,828657ff
2024-01-04,Thu,FA Cup,Third round proper,Away,D 0–0,Everton,Crystal Palace,Y,DM,90,0,0,0,0,2,0,0,0,,,1,,,,,,,,,,,,,,,Match Report,828657ff
2024-01-14,Sun,Premier League,Matchweek 21,Home,D 0–0,Everton,Aston Villa,Y,DM,90,0,0,0,0,1,0,0,0,42,4,1,2,0.0,0.0,0.0,2,0,17,24,70.8,2,21,2,1,0,Match Report,828657ff
2024-01-17,Wed,FA Cup,Third round proper,Home,W 1–0,Everton,Crystal Palace,Y,DM,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,828657ff
2024-01-27,Sat,FA Cup,Fourth round proper,Home,L 1–2,Everton,Luton Town,Y,CM,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,828657ff
2024-02-10,Sat,Premier League,Matchweek 24,Away,L 0–2,Everton,Manchester City,N,"DM,RW",13,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,14,15,93.3,0,9,0,0,0,Match Report,828657ff
2024-02-19,Mon,Premier League,Matchweek 25,Home,D 1–1,Everton,Crystal Palace,N,CM,25,1,0,0,0,2,1,0,0,33,3,0,0,0.2,0.2,0.0,0,0,20,26,76.9,3,14,0,0,0,Match Report,828657ff
2024-02-24,Sat,Premier League,Matchweek 26,Away,D 1–1,Everton,Brighton,N,CM,42,0,0,0,0,0,0,1,0,24,2,1,0,0.0,0.0,0.0,1,0,14,17,82.4,0,13,1,0,0,Match Report,828657ff
2024-03-02,Sat,Premier League,Matchweek 27,Home,L 1–3,Everton,West Ham,Y,CM,90,0,0,0,0,2,0,0,0,70,2,0,1,0.0,0.0,0.1,5,0,50,57,87.7,5,28,0,1,1,Match Report,828657ff
2024-03-09,Sat,Premier League,Matchweek 28,Away,L 0–2,Everton,Manchester Utd,Y,CM,90,0,0,0,0,2,1,1,0,56,2,2,1,0.1,0.1,0.1,5,0,42,47,89.4,9,38,1,0,0,Match Report,828657ff
2024-03-23,Sat,Friendlies (M),Friendlies (M),Away,D 0–0,be Belgium,ie Rep. of Ireland,N,,27,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report,828657ff
2024-03-26,Tue,Friendlies (M),Friendlies (M),Away,D 2–2,be Belgium,eng England,Y,DM,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report,828657ff
2024-03-30,Sat,Premier League,Matchweek 30,Away,L 1–2,Everton,Bournemouth,Y,CM,78,0,0,0,0,1,0,1,0,55,2,1,1,0.0,0.0,0.0,1,0,38,48,79.2,8,21,0,2,2,Match Report,828657ff
2024-04-02,Tue,Premier League,Matchweek 31,Away,D 1–1,Everton,Newcastle Utd,Y,CM,60,0,0,0,0,0,0,0,0,50,2,1,2,0.0,0.0,0.1,1,0,38,41,92.7,4,27,1,0,0,Match Report,828657ff
2024-04-15,Mon,Premier League,Matchweek 33,Away,L 0–6,Everton,Chelsea,Y,CM,45,0,0,0,0,1,0,0,0,23,1,0,0,0.0,0.0,0.0,1,0,17,21,81.0,1,14,0,0,0,Match Report,828657ff
2024-04-21,Sun,Premier League,Matchweek 34,Home,W 2–0,Everton,Nott'ham Forest,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,828657ff
2024-04-24,Wed,Premier League,Matchweek 29,Home,W 2–0,Everton,Liverpool,N,CM,16,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,0,0,0,0,Match Report,828657ff
