Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Match Report,player_id
2023-08-12,Sat,Premier League,Matchweek 1,Home,W 4–1,Brighton,Luton Town,Y,DM,90,0,0,0,0,3,1,0,0,95,2,2,2,0.5,0.5,0.6,8,0,67,79,84.8,8,59,0,1,1,Match Report,8aec0537
2023-08-19,Sat,Premier League,Matchweek 2,Away,W 4–1,Brighton,Wolves,Y,DM,80,0,0,0,0,0,0,1,0,70,0,1,1,0.0,0.0,0.2,3,0,58,66,87.9,7,37,1,1,1,Match Report,8aec0537
2023-08-26,Sat,Premier League,Matchweek 3,Home,L 1–3,Brighton,West Ham,Y,DM,90,1,0,0,0,5,4,0,0,131,1,0,2,0.2,0.2,0.2,12,1,102,122,83.6,26,92,4,1,1,Match Report,8aec0537
2023-09-02,Sat,Premier League,Matchweek 4,Home,W 3–1,Brighton,Newcastle Utd,Y,"DM,RM",88,0,0,0,0,0,0,0,0,71,3,2,3,0.0,0.0,0.1,2,0,49,58,84.5,4,38,2,3,2,Match Report,8aec0537
2023-09-09,Sat,Friendlies (M),Friendlies (M),Home,L 1–4,de Germany,jp Japan,N,,27,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report,8aec0537
2023-09-12,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,de Germany,fr France,N,,66,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report,8aec0537
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Brighton,Manchester Utd,Y,DM,90,1,0,0,0,2,2,0,0,112,1,0,3,0.3,0.3,0.0,2,1,99,101,98.0,5,74,2,2,1,Match Report,8aec0537
2023-09-21,Thu,Europa Lg,Group stage,Home,L 2–3,eng Brighton,gr AEK Athens,Y*,DM,90,0,0,0,0,2,2,0,0,93,2,0,0,0.1,0.1,0.3,4,1,72,86,83.7,6,66,0,0,0,Match Report,8aec0537
2023-10-05,Thu,Europa Lg,Group stage,Away,D 2–2,eng Brighton,fr Marseille,Y,"DM,CM",90,1,0,0,0,1,1,1,0,46,1,0,1,0.4,0.4,0.2,8,0,32,40,80.0,3,29,0,0,0,Match Report,8aec0537
2023-10-08,Sun,Premier League,Matchweek 8,Home,D 2–2,Brighton,Liverpool,Y,DM,90,0,0,0,0,2,0,0,0,72,0,0,1,0.1,0.1,0.0,6,0,56,65,86.2,2,45,1,0,0,Match Report,8aec0537
