Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Match Report,player_id
2023-08-12,Sat,Premier League,Matchweek 1,Away,W 1–0,Fulham,Everton,Y,CB,90,0,0,0,0,0,0,0,0,91,1,0,2,0.0,0.0,0.0,0,0,73,80,91.3,4,72,2,0,0,Match Report,a712ca2b
2023-08-19,Sat,Premier League,Matchweek 2,Home,L 0–3,Fulham,Brentford,Y,CB,90,0,0,0,0,2,0,0,0,84,1,0,1,0.1,0.1,0.0,1,0,69,78,88.5,4,53,0,0,0,Match Report,a712ca2b
2023-08-26,Sat,Premier League,Matchweek 3,Away,D 2–2,Fulham,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,43,0,1,2,0.0,0.0,0.0,0,0,25,28,89.3,2,20,0,0,0,Match Report,a712ca2b
2023-08-29,Tue,EFL Cup,Second round,Home,D 1 (5)–1 (3),Fulham,Tottenham,Y,CB,120,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,Match Report,a712ca2b
2023-09-02,Sat,Premier League,Matchweek 4,Away,L 1–5,Fulham,Manchester City,Y,CB,90,0,0,0,0,0,0,1,0,47,1,2,1,0.0,0.0,0.0,0,0,35,39,89.7,4,27,1,0,0,Match Report,a712ca2b
2023-09-16,Sat,Premier League,Matchweek 5,Home,W 1–0,Fulham,Luton Town,Y,CB,90,0,0,0,0,0,0,1,0,167,1,0,1,0.0,0.0,0.0,1,0,157,164,95.7,13,137,1,0,0,Match Report,a712ca2b
2023-09-23,Sat,Premier League,Matchweek 6,Away,D 0–0,Fulham,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,88,2,1,0,0.0,0.0,0.0,1,0,67,79,84.8,9,59,3,0,0,Match Report,a712ca2b
2023-09-27,Wed,EFL Cup,Third round,Home,W 2–1,Fulham,Norwich City,Y,CB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,a712ca2b
2023-10-02,Mon,Premier League,Matchweek 7,Home,L 0–2,Fulham,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,101,2,1,0,0.0,0.0,0.0,0,0,85,94,90.4,7,72,1,0,0,Match Report,a712ca2b
2023-10-07,Sat,Premier League,Matchweek 8,Home,W 3–1,Fulham,Sheffield Utd,Y,CB,70,0,0,0,0,1,1,0,0,56,3,2,1,0.0,0.0,0.0,0,0,35,44,79.5,2,37,1,0,0,Match Report,a712ca2b
2023-12-16,Sat,Premier League,Matchweek 17,Away,L 0–3,Fulham,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,36,2,0,2,0.0,0.0,0.0,0,0,22,24,91.7,2,10,0,0,0,Match Report,a712ca2b
2023-12-19,Tue,EFL Cup,Quarter-finals,Away,D 1 (7)–1 (6),Fulham,Everton,N,,34,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,a712ca2b
2023-12-23,Sat,Premier League,Matchweek 18,Home,L 0–2,Fulham,Burnley,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,a712ca2b
2023-12-26,Tue,Premier League,Matchweek 19,Away,L 0–3,Fulham,Bournemouth,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,a712ca2b
2023-12-31,Sun,Premier League,Matchweek 20,Home,W 2–1,Fulham,Arsenal,N,LW,11,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,Match Report,a712ca2b
2024-01-05,Fri,FA Cup,Third round proper,Home,W 1–0,Fulham,Rotherham Utd,Y,CB,90,0,0,0,0,1,0,0,0,,,1,,,,,,,,,,,,,,,Match Report,a712ca2b
2024-01-10,Wed,EFL Cup,Semi-finals,Away,L 1–2,Fulham,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,Match Report,a712ca2b
2024-01-13,Sat,Premier League,Matchweek 21,Away,L 0–1,Fulham,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,72,2,4,1,0.0,0.0,0.0,0,0,52,58,89.7,0,47,0,0,0,Match Report,a712ca2b
