Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Match Report,player_id
2023-08-12,Sat,Premier League,Matchweek 1,Away,L 1–2,Nott'ham Forest,Arsenal,Y,RW,70,0,0,0,0,0,0,0,0,26,3,0,1,0.0,0.0,0.0,0,0,11,19,57.9,3,10,2,2,2,Match Report,a816dbfb
2023-08-18,Fri,Premier League,Matchweek 2,Home,W 2–1,Nott'ham Forest,Sheffield Utd,Y,"CM,DM",89,0,0,0,0,2,0,0,0,57,0,2,1,0.1,0.1,0.1,2,0,44,49,89.8,3,30,0,2,0,Match Report,a816dbfb
2023-08-26,Sat,Premier League,Matchweek 3,Away,L 2–3,Nott'ham Forest,Manchester Utd,Y,CM,80,0,0,0,0,1,1,0,0,38,1,3,0,0.0,0.0,0.0,1,0,18,27,66.7,1,20,0,0,0,Match Report,a816dbfb
2023-09-02,Sat,Premier League,Matchweek 4,Away,W 1–0,Nott'ham Forest,Chelsea,Y,AM,44,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,0,0,4,8,50.0,0,5,1,1,1,Match Report,a816dbfb
2023-11-05,Sun,Premier League,Matchweek 11,Home,W 2–0,Nott'ham Forest,Aston Villa,N,FW,9,0,0,0,0,0,0,1,0,3,0,1,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,1,0,Match Report,a816dbfb
2023-11-12,Sun,Premier League,Matchweek 12,Away,L 2–3,Nott'ham Forest,West Ham,N,"LM,CM",45,0,0,0,0,0,0,0,0,23,1,0,1,0.0,0.0,0.0,0,0,17,19,89.5,3,18,1,0,0,Match Report,a816dbfb
2023-11-25,Sat,Premier League,Matchweek 13,Home,L 2–3,Nott'ham Forest,Brighton,Y,CM,61,0,0,0,0,1,0,0,0,25,0,0,0,0.1,0.1,0.0,0,0,15,23,65.2,3,14,1,1,1,Match Report,a816dbfb
2023-12-06,Wed,Premier League,Matchweek 15,Away,L 0–5,Nott'ham Forest,Fulham,N,RW,33,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,0,0,8,8,100.0,1,6,0,0,0,Match Report,a816dbfb
2023-12-09,Sat,Premier League,Matchweek 16,Away,D 1–1,Nott'ham Forest,Wolves,N,CM,28,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,1,0,0,0,Match Report,a816dbfb
2023-12-15,Fri,Premier League,Matchweek 17,Home,L 0–2,Nott'ham Forest,Tottenham,N,"LM,DM",24,0,0,0,0,1,0,0,0,15,0,0,2,0.0,0.0,0.0,1,0,10,12,83.3,4,12,0,0,0,Match Report,a816dbfb
2023-12-23,Sat,Premier League,Matchweek 18,Home,L 2–3,Nott'ham Forest,Bournemouth,N,AM,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Match Report,a816dbfb
2023-12-26,Tue,Premier League,Matchweek 19,Away,W 3–1,Nott'ham Forest,Newcastle Utd,Y,DM,89,0,0,0,0,0,0,0,0,48,1,3,1,0.0,0.0,0.0,1,0,24,35,68.6,2,22,0,0,0,Match Report,a816dbfb
2023-12-30,Sat,Premier League,Matchweek 20,Home,W 2–1,Nott'ham Forest,Manchester Utd,Y,DM,86,0,0,0,0,1,0,0,0,50,3,2,0,0.0,0.0,0.0,2,0,31,38,81.6,4,25,0,1,0,Match Report,a816dbfb
2024-01-07,Sun,FA Cup,Third round proper,Home,D 2–2,Nott'ham Forest,Blackpool,Y,DM,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,a816dbfb
2024-01-17,Wed,FA Cup,Third round proper,Away,W 3–2,Nott'ham Forest,Blackpool,Y,DM,120,1,0,0,0,3,3,1,0,,,0,,,,,,,,,,,,,,,Match Report,a816dbfb
2024-01-20,Sat,Premier League,Matchweek 21,Away,L 2–3,Nott'ham Forest,Brentford,Y,DM,90,1,0,0,0,2,1,1,0,59,1,1,3,0.0,0.0,0.3,3,1,40,48,83.3,6,33,1,1,1,Match Report,a816dbfb
2024-01-26,Fri,FA Cup,Fourth round proper,Away,D 0–0,Nott'ham Forest,Bristol City,Y,AM,90,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,a816dbfb
2024-01-30,Tue,Premier League,Matchweek 22,Home,L 1–2,Nott'ham Forest,Arsenal,Y,DM,90,0,0,0,0,1,0,0,0,47,2,2,5,0.0,0.0,0.0,3,1,18,29,62.1,1,20,0,3,2,Match Report,a816dbfb
2024-02-04,Sun,Premier League,Matchweek 23,Away,D 1–1,Nott'ham Forest,Bournemouth,N,DM,19,0,0,0,0,0,0,0,0,26,1,0,3,0.0,0.0,0.0,0,0,20,23,87.0,2,16,3,0,0,Match Report,a816dbfb
2024-02-07,Wed,FA Cup,Fourth round proper,Home,D 1 (5)–1 (3),Nott'ham Forest,Bristol City,Y,DM,120,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,a816dbfb
2024-02-10,Sat,Premier League,Matchweek 24,Home,L 2–3,Nott'ham Forest,Newcastle Utd,N,DM,13,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,1,0,11,12,91.7,2,9,2,0,0,Match Report,a816dbfb
2024-02-17,Sat,Premier League,Matchweek 25,Home,W 2–0,Nott'ham Forest,West Ham,Y,DM,90,0,0,0,0,4,2,0,0,66,2,0,2,0.3,0.3,0.0,4,0,45,52,86.5,6,44,1,0,0,Match Report,a816dbfb
2024-02-24,Sat,Premier League,Matchweek 26,Away,L 2–4,Nott'ham Forest,Aston Villa,Y,DM,90,0,0,0,0,1,0,0,0,63,2,1,0,0.0,0.0,0.0,2,0,42,46,91.3,6,46,2,5,4,Match Report,a816dbfb
2024-02-28,Wed,FA Cup,Fifth round proper,Home,L 0–1,Nott'ham Forest,Manchester Utd,Y,DM,89,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,a816dbfb
2024-03-02,Sat,Premier League,Matchweek 27,Home,L 0–1,Nott'ham Forest,Liverpool,N,DM,12,0,0,0,0,0,0,1,0,4,2,0,0,0.0,0.0,0.1,1,0,2,2,100.0,1,2,0,0,0,Match Report,a816dbfb
