Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Match Report,player_id
2023-08-12,Sat,Premier League,Matchweek 1,Home,W 4–1,Brighton,Luton Town,Y,RW,73,1,0,0,0,3,2,0,0,44,1,0,0,0.4,0.4,0.0,4,0,24,34,70.6,3,34,1,5,2,Match Report,bb5fbd2b
2023-08-19,Sat,Premier League,Matchweek 2,Away,W 4–1,Brighton,Wolves,Y,RW,90,2,0,0,0,5,4,0,0,47,4,4,1,0.9,0.9,0.1,3,0,18,25,72.0,1,23,2,4,2,Match Report,bb5fbd2b
2023-08-26,Sat,Premier League,Matchweek 3,Home,L 1–3,Brighton,West Ham,Y,RW,71,0,0,0,0,2,0,0,0,53,1,1,1,0.1,0.1,0.1,5,0,38,46,82.6,6,30,1,2,1,Match Report,bb5fbd2b
2023-09-02,Sat,Premier League,Matchweek 4,Home,W 3–1,Brighton,Newcastle Utd,Y,"RW,AM",80,0,0,0,0,1,0,0,0,44,1,2,1,0.0,0.0,0.0,4,0,26,31,83.9,3,30,2,3,1,Match Report,bb5fbd2b
2023-09-21,Thu,Europa Lg,Group stage,Home,L 2–3,eng Brighton,gr AEK Athens,Y,RW,90,0,0,0,0,1,0,0,0,60,4,0,2,0.0,0.0,0.0,5,0,37,50,74.0,5,35,2,3,0,Match Report,bb5fbd2b
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Brighton,Bournemouth,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,bb5fbd2b
2023-09-27,Wed,EFL Cup,Third round,Away,L 0–1,Brighton,Chelsea,N,,45,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report,bb5fbd2b
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–6,Brighton,Aston Villa,Y,"RW,RM",61,0,0,0,0,1,0,0,0,19,4,0,1,0.3,0.3,0.0,1,0,9,12,75.0,4,8,3,0,0,Match Report,bb5fbd2b
2023-10-05,Thu,Europa Lg,Group stage,Away,D 2–2,eng Brighton,fr Marseille,Y,"RW,RM",75,0,0,0,0,1,0,0,0,35,2,0,0,0.1,0.1,0.0,0,0,15,25,60.0,1,24,2,3,1,Match Report,bb5fbd2b
2023-10-08,Sun,Premier League,Matchweek 8,Home,D 2–2,Brighton,Liverpool,Y,LB,90,0,1,0,0,2,0,0,0,81,6,3,0,0.2,0.2,0.6,4,2,53,70,75.7,6,45,3,4,2,Match Report,bb5fbd2b
2023-10-21,Sat,Premier League,Matchweek 9,Away,L 1–2,Brighton,Manchester City,Y,LB,89,0,0,0,0,0,0,1,0,48,2,1,1,0.0,0.0,0.1,1,0,35,43,81.4,1,28,2,0,0,Match Report,bb5fbd2b
