Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Match Report,player_id
2023-08-12,Sat,Premier League,Matchweek 1,Away,L 1–4,Luton Town,Brighton,Y,CM,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.0,21.0,90.5,0.0,13.0,0.0,0.0,0.0,Match Report,de5b5570
2023-08-25,Fri,Premier League,Matchweek 3,Away,L 0–3,Luton Town,Chelsea,Y,CM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,33.0,37.0,89.2,3.0,26.0,0.0,0.0,0.0,Match Report,de5b5570
2023-08-29,Tue,EFL Cup,Second round,Home,W 3–2,Luton Town,Gillingham,N,,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,Match Report,de5b5570
2023-09-01,Fri,Premier League,Matchweek 4,Home,L 1–2,Luton Town,West Ham,Y,CM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,69.0,2.0,2.0,2.0,0.0,0.0,0.2,2.0,0.0,48.0,56.0,85.7,6.0,29.0,0.0,1.0,0.0,Match Report,de5b5570
2023-09-16,Sat,Premier League,Matchweek 5,Away,L 0–1,Luton Town,Fulham,Y,CM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,85.0,0.0,11.0,0.0,0.0,0.0,Match Report,de5b5570
2023-09-23,Sat,Premier League,Matchweek 6,Home,D 1–1,Luton Town,Wolves,Y,CM,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,6.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,41.0,51.0,80.4,4.0,31.0,0.0,1.0,1.0,Match Report,de5b5570
2023-09-30,Sat,Premier League,Matchweek 7,Away,W 2–1,Luton Town,Everton,Y,CM,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,6.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,23.0,31.0,74.2,5.0,15.0,0.0,3.0,1.0,Match Report,de5b5570
2023-10-03,Tue,Premier League,Matchweek 2,Home,L 1–2,Luton Town,Burnley,Y,CM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,5.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,31.0,36.0,86.1,5.0,16.0,0.0,0.0,0.0,Match Report,de5b5570
2023-10-07,Sat,Premier League,Matchweek 8,Home,L 0–1,Luton Town,Tottenham,Y,CM,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,5.0,0.0,3.0,0.0,0.0,0.1,1.0,0.0,25.0,32.0,78.1,4.0,20.0,0.0,2.0,1.0,Match Report,de5b5570
2023-10-21,Sat,Premier League,Matchweek 9,Away,D 2–2,Luton Town,Nott'ham Forest,Y,CM,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,43.0,48.0,89.6,5.0,15.0,0.0,0.0,0.0,Match Report,de5b5570
2023-10-29,Sun,Premier League,Matchweek 10,Away,L 1–3,Luton Town,Aston Villa,Y,CM,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,27.0,85.2,0.0,17.0,0.0,0.0,0.0,Match Report,de5b5570
2023-11-05,Sun,Premier League,Matchweek 11,Home,D 1–1,Luton Town,Liverpool,Y,CM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,22.0,72.7,1.0,8.0,1.0,0.0,0.0,Match Report,de5b5570
2023-11-11,Sat,Premier League,Matchweek 12,Away,L 0–1,Luton Town,Manchester Utd,Y,CM,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,90.9,2.0,11.0,0.0,3.0,0.0,Match Report,de5b5570
2023-11-15,Wed,WCQ,First round,Away,D 0–0,zw Zimbabwe,rw Rwanda,Y*,DM,90.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,Match Report,de5b5570
2023-11-19,Sun,WCQ,First round,Neutral,D 1–1,zw Zimbabwe,ng Nigeria,Y*,DM,90.0,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,Match Report,de5b5570
2023-12-10,Sun,Premier League,Matchweek 16,Home,L 1–2,Luton Town,Manchester City,Y,CM,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,85.0,1.0,12.0,0.0,0.0,0.0,Match Report,de5b5570
