Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Match Report,player_id
2023-08-12,Sat,Premier League,Matchweek 1,Home,W 4–1,Brighton,Luton Town,Y,AM,87,1,0,1,1,3,1,0,0,49,2,0,0,1.3,0.6,0.0,4,1,24,30,80.0,4,38,3,5,0,Match Report,e8832875
2023-08-19,Sat,Premier League,Matchweek 2,Away,W 4–1,Brighton,Wolves,N,"AM,FW",34,0,0,0,0,1,0,1,0,22,2,0,1,0.2,0.2,0.0,2,0,9,10,90.0,0,11,1,3,1,Match Report,e8832875
2023-08-26,Sat,Premier League,Matchweek 3,Home,L 1–3,Brighton,West Ham,N,AM,31,0,0,0,0,2,0,0,0,37,1,0,1,0.1,0.1,0.1,1,0,21,29,72.4,4,26,4,0,0,Match Report,e8832875
2023-09-02,Sat,Premier League,Matchweek 4,Home,W 3–1,Brighton,Newcastle Utd,Y,AM,76,0,0,0,0,2,0,0,0,32,0,2,0,0.2,0.2,0.1,3,0,16,20,80.0,1,29,3,3,1,Match Report,e8832875
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Brighton,Manchester Utd,N,FW,27,1,0,0,0,1,1,0,0,26,2,1,0,0.1,0.1,0.3,3,0,17,20,85.0,2,16,2,1,0,Match Report,e8832875
2023-09-21,Thu,Europa Lg,Group stage,Home,L 2–3,eng Brighton,gr AEK Athens,Y,FW,81,2,0,2,2,1,1,0,0,40,0,0,0,1.9,0.3,0.1,3,2,20,28,71.4,1,27,2,5,2,Match Report,e8832875
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Brighton,Bournemouth,N,AM,28,0,0,0,0,1,0,0,0,17,1,0,0,0.1,0.1,0.1,2,0,9,9,100.0,2,12,1,5,4,Match Report,e8832875
2023-09-27,Wed,EFL Cup,Third round,Away,L 0–1,Brighton,Chelsea,Y,FW,90,0,0,0,0,3,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,e8832875
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–6,Brighton,Aston Villa,N,FW,45,0,1,0,0,1,0,0,0,28,0,0,0,0.0,0.0,0.5,6,2,20,26,76.9,2,22,2,4,3,Match Report,e8832875
2023-10-05,Thu,Europa Lg,Group stage,Away,D 2–2,eng Brighton,fr Marseille,N,FW,25,1,0,1,1,0,0,0,0,11,0,0,1,0.8,0.0,0.2,2,0,4,6,66.7,1,8,2,2,0,Match Report,e8832875
2023-10-08,Sun,Premier League,Matchweek 8,Home,D 2–2,Brighton,Liverpool,Y,"AM,FW",88,0,0,0,0,2,0,0,0,28,1,0,0,0.6,0.6,0.2,4,0,15,18,83.3,2,19,1,3,0,Match Report,e8832875
2023-10-21,Sat,Premier League,Matchweek 9,Away,L 1–2,Brighton,Manchester City,Y,"AM,FW",65,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,1,10,1,2,2,Match Report,e8832875
