name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,bigChanceMissed,shotOffTarget,blockedScoringAttempt,hitWoodwork,totalClearance,interceptionWon,totalTackle,wonTackle,fouls,onTargetScoringAttempt,unsuccessfulTouch,outfielderBlock,accurateCross,wonContest,wasFouled,totalOffside,bigChanceCreated,dispossessed,punches,goals
Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7467,M,jpickford1,138530,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762998400,"{'value': 16100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان بيكفورد', 'hi': 'जॉर्डन पिकफोर्ड', 'bn': 'জর্ডান পিকফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'hi': 'जे. पिकफोर्ड', 'bn': 'জে.পিকফোর্ড'}}",33.0,21.0,20.0,9.0,13.0,15.0,8.0,18.0,3.0,1.0,1.0,90.0,36.0,6.7,12.0,0.0,0.0,0.0131578,1.0,"{'original': 6.7, 'alternative': 6.5}",0,0.1177,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Patterson,patterson-nathan,N. Patterson,D,2,189,576,M,,1020141,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1003190400,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باترسون، ناثان', 'hi': 'पैटरसन, नाथन', 'bn': 'প্যাটারসন, নাথান'}, 'shortNameTranslation': {'ar': 'ن. باترسون', 'hi': 'एन. पैटरसन', 'bn': 'এন. প্যাটারসন'}}",39.0,22.0,7.0,1.0,5.0,8.0,17.0,33.0,2.0,,,90.0,70.0,6.5,25.0,0.3088,0.0,0.0121954,,"{'original': 6.5, 'alternative': 6.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Nathan,Patterson,2.0,2.0,1.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,
Michael Keane,michael-keane,M. Keane,D,5,188,1521,M,,110846,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,726710400,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل كين', 'hi': 'माइकल कीन', 'bn': 'মাইকেল কিন'}, 'shortNameTranslation': {'ar': 'م. كين', 'hi': 'एम. कीन', 'bn': 'এম. কিন'}}",52.0,46.0,7.0,5.0,30.0,31.0,16.0,21.0,6.0,,,90.0,62.0,7.3,7.0,0.0428,0.1073,0.0157,,"{'original': 7.3, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,4.0,1.0,4.0,3.0,,,,,,,3.0,2.0,2.0,1.0,,2.0,1.0,,,,,,,,,
James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2332,M,,145188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,722131200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس تاركوفسكي', 'hi': 'जेम्स टार्कोव्स्की', 'bn': 'জেমস তারকোভস্কি'}, 'shortNameTranslation': {'ar': 'ج. تاركوفسكي', 'hi': 'जे. टार्कोव्स्की', 'bn': 'জে. তারকোভস্কি'}}",36.0,27.0,10.0,4.0,17.0,17.0,10.0,19.0,3.0,,,90.0,46.0,6.9,9.0,0.0407,0.0,0.0316661,,"{'original': 6.9, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,2.0,2.0,5.0,2.0,1.0,,,1.0,,,3.0,4.0,,,3.0,,,1.0,,,,,,,,
Ashley Young,ashley-young,A. Young,D,15,180,1765,M,,10589,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,489715200,"{'value': 440000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آشلي يونغ', 'hi': 'एश्ले यंग', 'bn': 'অ্যাশলে ইয়াং'}, 'shortNameTranslation': {'ar': 'آ. يونغ', 'hi': 'एक यंग', 'bn': 'এ. ইয়াং'}}",31.0,22.0,8.0,1.0,11.0,12.0,13.0,25.0,3.0,,,90.0,56.0,6.6,17.0,0.0,0.0,0.0983086,,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,6.0,,2.0,3.0,4.0,,2.0,,,,,3.0,,1.0,1.0,2.0,,,,2.0,1.0,,,,,,
James Garner,james-garner,J. Garner,M,37,182,2524,M,,927361,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,984441600,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس غارنر', 'hi': 'जेम्स गार्नर', 'bn': 'জেমস গার্নার'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'hi': 'जे. गार्नर', 'bn': 'জে. গার্নার'}}",28.0,22.0,1.0,1.0,6.0,8.0,17.0,27.0,6.0,,,83.0,48.0,7.3,15.0,0.0,0.0,0.00759156,1.0,"{'original': 7.3, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,,,2.0,7.0,1.0,4.0,,,,,,1.0,1.0,1.0,,,2.0,,1.0,3.0,3.0,1.0,,,,
Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,17031,M,iganagueye,106337,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,622771200,"{'value': 970000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدريسا غاي', 'hi': 'इद्रिसा गुये', 'bn': 'ইদ্রিসা গুইয়ে'}, 'shortNameTranslation': {'ar': 'إ. غاي', 'hi': 'आई. गुये', 'bn': 'আই. গুইয়ে'}}",53.0,47.0,1.0,1.0,26.0,26.0,21.0,29.0,15.0,,,90.0,72.0,7.1,10.0,0.0578,0.0,0.0318173,1.0,"{'original': 7.1, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,2.0,,5.0,6.0,1.0,,,,2.0,,2.0,1.0,6.0,2.0,2.0,,1.0,,,,,,,,,
Amadou Onana,amadou-onana,A. Onana,M,24,195,6827,M,its_onana,923973,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,997920000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أمادو أونانا', 'hi': 'अमादौ ओनाना', 'bn': 'আমাদৌ ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",31.0,27.0,3.0,3.0,7.0,7.0,20.0,24.0,4.0,,,90.0,40.0,7.7,6.0,0.0546,0.0546,0.378906,3.0,"{'original': 7.7, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,1.0,6.0,3.0,1.0,,,,,,1.0,1.0,,,3.0,1.0,1.0,,,,2.0,,2.0,,,
Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,7053,M,alexanderiwobi,352770,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,831081600,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس إيووبي', 'hi': 'एलेक्स इवोबी', 'bn': 'অ্যালেক্স ইওবি'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'hi': 'ए. इवोबी', 'bn': 'এ. ইওবি'}}",22.0,19.0,6.0,4.0,5.0,5.0,16.0,23.0,5.0,,,90.0,48.0,7.6,14.0,0.3208,0.3972,0.279266,3.0,"{'original': 7.6, 'alternative': 7.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,6.0,,,2.0,4.0,,4.0,,1.0,1.0,,,1.0,1.0,,,2.0,3.0,,2.0,3.0,,2.0,,1.0,,
Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1300,M,,96535,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,725846400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عبدالله دوكوري', 'hi': 'अब्दुलाये डौकोरे', 'bn': 'আবদুলায়ে ডকোরে'}, 'shortNameTranslation': {'ar': 'ع. دوكوري', 'hi': 'ए. डौकोरे', 'bn': 'এ. ডকোরে'}}",26.0,22.0,,,6.0,8.0,16.0,19.0,3.0,,,90.0,37.0,6.8,8.0,0.5644,0.8356,0.105027,3.0,"{'original': 6.8, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,2.0,1.0,4.0,1.0,,2.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,
