name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateLongBalls,accurateOppositionHalfPasses,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,wonContest,bigChanceCreated,totalClearance,interceptionWon,unsuccessfulTouch,wasFouled,fouls,keyPass,aerialWon,goalAssist,aerialLost,shotOffTarget,outfielderBlock,totalTackle,wonTackle,totalOffside,bigChanceMissed,onTargetScoringAttempt,goals,dispossessed,blockedScoringAttempt,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,lastManTackle,errorLeadToAGoal,clearanceOffLine
Nick Pope,,,nick-pope,N. Pope,G,1,198,4568,M,npope29,162653,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,703641600,"{'value': 6700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيك بوب', 'hi': 'निक पोप', 'bn': 'নিক পোপ'}, 'shortNameTranslation': {'ar': 'ن. بوب', 'hi': 'एन. पोप', 'bn': 'এন. পোপ'}}",17.0,11.0,6.0,11.0,12.0,5.0,6.0,3.0,5.0,90.0,28.0,7.3,6.0,0.0,0.0,5.388e-05,"{'original': 7.3, 'alternative': 7.4}",0,0.8484,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8611,M,ktrippier2,69256,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,653702400,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيران تريبيير', 'hi': 'किरन ट्रिप्पियर', 'bn': 'কাইরান ট্রিপিয়ার'}, 'shortNameTranslation': {'ar': 'ك. تريبيير', 'hi': 'के.ट्रिप्पियर', 'bn': 'কে. ট্রিপিয়ার'}}",68.0,58.0,7.0,36.0,41.0,34.0,9.0,,,90.0,93.0,7.6,16.0,0.0,0.0,0.263533,"{'original': 7.6, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,4.0,25.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,
Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3205,M,,101882,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,693187200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيان شار', 'hi': 'फेबियन शार', 'bn': 'ফ্যাবিয়ান শার'}, 'shortNameTranslation': {'ar': 'ف. شار', 'hi': 'एफ. शार', 'bn': 'এফ. শার'}}",49.0,43.0,10.0,34.0,34.0,15.0,3.0,,,90.0,57.0,6.8,6.0,0.0,0.0,0.00213702,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,9.0,,,,1.0,,,,,5.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,
Sven Botman,,,sven-botman,S. Botman,D,4,193,3367,M,,910046,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,947635200,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفين بوتمان', 'hi': 'स्वेन बोटमैन', 'bn': 'সোভেন বটম্যান'}, 'shortNameTranslation': {'ar': 'س. بوتمان', 'hi': 'एस. बोटमैन', 'bn': 'এস. বটম্যান'}}",67.0,62.0,3.0,53.0,56.0,11.0,4.0,,,90.0,77.0,7.4,5.0,0.0702,0.0,0.250601,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,9.0,,,3.0,3.0,1.0,,,1.0,4.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,
Dan Burn,,,dan-burn,D. Burn,D,33,201,4399,M,,99090,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,705369600,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دان بيرن', 'hi': 'डैन बर्न', 'bn': 'ড্যান বার্ন'}, 'shortNameTranslation': {'ar': 'د. بيرن', 'hi': 'डी. बर्न', 'bn': 'ডি বার্ন'}}",67.0,53.0,3.0,37.0,44.0,23.0,2.0,,,90.0,88.0,7.0,17.0,0.158,0.0,0.00574111,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,16.0,,,3.0,5.0,2.0,,,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,
Sandro Tonali,,,sandro-tonali,S. Tonali,M,8,181,14020,M,sandrotonali,892673,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,957744000,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندرو تونالي', 'hi': 'सैंड्रो टोनाली', 'bn': 'সান্দ্রো টোনালি'}, 'shortNameTranslation': {'ar': 'س. تونالي', 'hi': 'एस. टोनाली', 'bn': 'এস. টোনালি'}}",54.0,48.0,5.0,26.0,26.0,30.0,5.0,,,89.0,66.0,7.5,9.0,0.6342,1.5785,0.103737,"{'original': 7.5, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,23.0,2.0,1.0,4.0,3.0,2.0,,,,,1.0,2.0,1.0,2.0,2.0,1.0,,,,,1.0,1.0,,1.0,2.0,1.0,,,,,,,,
Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31656,M,BrunoGuimarães,866469,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,879638400,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو غيماريش', 'hi': 'ब्रूनो गीमरेस', 'bn': 'ব্রুনো গুইমারেস'}, 'shortNameTranslation': {'ar': 'ب. غيمارايش', 'hi': 'बी. गीमरेस', 'bn': 'বি. গুইমারেস'}}",47.0,38.0,4.0,24.0,26.0,21.0,8.0,,,85.0,62.0,6.7,14.0,0.0921,0.2468,0.0259131,"{'original': 6.7, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,14.0,,,5.0,5.0,1.0,2.0,1.0,,,,2.0,3.0,1.0,,,,,,1.0,1.0,,,,1.0,,2.0,1.0,,,,,,
Joelinton,,,joelinton,Joelinton,M,7,186,9814,M,joelinton34,560128,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,839980800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويلينتون', 'hi': 'जोलिंटन', 'bn': 'জোলিন্টন'}, 'shortNameTranslation': {'ar': 'جولينتون', 'hi': 'जोएलिंटन', 'bn': 'জোলিন্টন'}}",40.0,36.0,,20.0,20.0,20.0,7.0,,,90.0,48.0,7.0,5.0,0.1162,0.0,0.156292,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,16.0,,,3.0,5.0,,,,,,,,,2.0,,1.0,,1.0,,,4.0,3.0,,1.0,1.0,,,,,,,,,
Miguel Almirón,,,miguel-almiron,M. Almirón,M,10,174,8455,M,miguel_almiron,333373,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,760838400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",32.0,31.0,1.0,12.0,12.0,20.0,4.0,,,86.0,42.0,7.4,4.0,0.0545,0.0241,0.0747241,"{'original': 7.4, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,19.0,,,4.0,3.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,2.0,,,1.0,,,2.0,2.0,,,1.0,,1.0,,,,,,,
Alexander Isak,,,alexander-isak,A. Isak,F,9,193,101689,M,AlexIsak,823941,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,937872000,"{'value': 124000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألكسندر إيزاك', 'hi': 'अलेक्जेंडर इसाक', 'bn': 'আলেকজান্ডার ইসাক'}, 'shortNameTranslation': {'ar': 'أ. إيزاك', 'hi': 'ए. इसाक', 'bn': 'এ. ইসাক'}}",16.0,12.0,1.0,4.0,5.0,11.0,1.0,,,68.0,26.0,8.0,8.0,0.7724,1.1664,0.018101,"{'original': 8, 'alternative': 7.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,8.0,,,4.0,2.0,,3.0,1.0,,,,2.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,3.0,2.0,,,,,,,,
