name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,duelLost,duelWon,dispossessed,totalContest,wonContest,blockedScoringAttempt,totalClearance,totalTackle,wonTackle,wasFouled,fouls,keyPass,aerialLost,aerialWon,challengeLost,interceptionWon,outfielderBlock,unsuccessfulTouch,firstName,lastName,goalAssist,totalCross,accurateCross,bigChanceCreated,penaltyWon,bigChanceMissed,onTargetScoringAttempt,sofascoreId,shotOffTarget,goals,totalOffside,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
Mark Flekken,mark-flekken,M. Flekken,G,1,194,2871,M,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",28.0,19.0,16.0,7.0,14.0,18.0,5.0,10.0,9.0,2.0,4.0,4.0,90.0,38.0,7.1,9.0,0.0,0.0,0.00204068,"{'original': 7.1, 'alternative': 6.7}",0,-0.8911,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Hickey,hickey-aaron,A. Hickey,D,2,185,849,M,966869,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1023667200,"{'value': 16500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هيكي، آرون', 'hi': 'हिक्की, आरोन', 'bn': 'হিকি, অ্যারন'}, 'shortNameTranslation': {'ar': 'آ. هيكي', 'hi': 'ए. हिक्की', 'bn': 'এ. হিকি'}}",25.0,22.0,1.0,1.0,17.0,18.0,5.0,7.0,4.0,,,,72.0,37.0,6.7,4.0,0.0318,0.0,0.0825992,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Nathan Collins,nathan-collins,N. Collins,D,22,193,1469,M,958916,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,988588800,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان كولينز', 'hi': 'नाथन कोलिन्स', 'bn': 'নাথান কলিন্স'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'hi': 'एन. कोलिन्स', 'bn': 'এন. কলিন্স'}}",42.0,34.0,6.0,3.0,28.0,31.0,6.0,11.0,6.0,,,,90.0,61.0,6.8,9.0,0.0,0.0,0.00857771,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,5.0,,,,,8.0,2.0,2.0,1.0,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,
Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1038,M,855864,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,738633600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",18.0,13.0,3.0,1.0,8.0,10.0,5.0,8.0,2.0,,,,90.0,34.0,6.9,5.0,0.0,0.0,0.00152695,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,6.0,,,,,10.0,3.0,2.0,,,,,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
Kristoffer Ajer,kristoffer-ajer,K. Ajer,D,20,196,1118,M,576384,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,892771200,"{'value': 17300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستوفر آجير', 'hi': 'क्रिस्टोफ़र अजेर', 'bn': 'ক্রিস্টোফার আজের'}, 'shortNameTranslation': {'ar': 'ك. آجير', 'hi': 'के. अजेर', 'bn': 'কে. আজের'}}",21.0,16.0,4.0,1.0,8.0,9.0,8.0,12.0,1.0,,,,84.0,36.0,6.5,8.0,0.0,0.0,0.0119155,"{'original': 6.5, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,3.0,1.0,,,,6.0,,,,1.0,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
Rico Henry,rico-henry,R. Henry,D,3,175,689,M,599128,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,868320000,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريكو هنري', 'hi': 'रिको हेनरी', 'bn': 'রিকো হেনরি'}, 'shortNameTranslation': {'ar': 'ر. هنري', 'hi': 'आर. हेनरी', 'bn': 'আর. হেনরি'}}",29.0,23.0,4.0,3.0,11.0,14.0,13.0,19.0,5.0,,,,90.0,51.0,7.4,14.0,0.0,0.0,0.62137,"{'original': 7.4, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,7.0,2.0,4.0,3.0,,2.0,2.0,,1.0,2.0,3.0,2.0,1.0,,1.0,,2.0,,,1.0,4.0,1.0,2.0,,,,,,,,,,,
Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,973,M,799251,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,820454400,"{'value': 12500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",20.0,11.0,8.0,3.0,6.0,9.0,5.0,13.0,2.0,,,,49.0,37.0,6.6,16.0,0.0,0.0,0.0291826,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,5.0,1.0,1.0,,,,2.0,1.0,3.0,1.0,,,,2.0,,,1.0,,,,2.0,,,1.0,,,,,,,,,,
Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,8776,M,135256,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,763257600,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان نورغارد', 'hi': 'क्रिश्चियन नॉरगार्ड', 'bn': 'ক্রিশ্চিয়ান নরগার্ড'}, 'shortNameTranslation': {'ar': 'ك. نورغارد', 'hi': 'सी. नॉरगार्ड', 'bn': 'সি. নরগার্ড'}}",21.0,19.0,2.0,1.0,14.0,14.0,5.0,7.0,7.0,,,,72.0,38.0,6.3,5.0,0.0,0.0,0.010074,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,3.0,2.0,,1.0,,,2.0,1.0,,,,,1.0,1.0,1.0,2.0,,1.0,,,,,,,,1.0,,,,,,,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1013,M,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",25.0,20.0,6.0,3.0,10.0,15.0,10.0,10.0,4.0,,,,90.0,33.0,6.7,7.0,0.0356,0.391,0.0116511,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,4.0,2.0,,,,2.0,1.0,,1.0,1.0,1.0,,2.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,
Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,89920,M,927083,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,933984000,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان مبيومو', 'hi': 'ब्रायन मबेउमो', 'bn': 'ব্রায়ান এমবেউমো'}, 'shortNameTranslation': {'ar': 'ب. مبيومو', 'hi': 'बी. मबेउमो', 'bn': 'বি. এমবেউমো'}}",28.0,21.0,1.0,,11.0,12.0,11.0,20.0,3.0,,,,90.0,45.0,6.7,17.0,1.4007,1.0769,0.0313982,"{'original': 6.7, 'alternative': 6.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,12.0,3.0,3.0,1.0,,,,,,1.0,3.0,,3.0,2.0,2.0,1.0,,2.0,,,,4.0,1.0,,,1.0,2.0,bryan_m19,1.0,1.0,,,,,
