name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,duelWon,onTargetScoringAttempt,goals,totalTackle,wasFouled,expectedGoals,expectedGoalsOnTarget,keyPass,totalClearance,interceptionWon,totalCross,aerialLost,aerialWon,duelLost,firstName,lastName,accurateCross,challengeLost,blockedScoringAttempt,unsuccessfulTouch,fouls,goalAssist,shotOffTarget,outfielderBlock,dispossessed,totalContest,wonContest,bigChanceMissed,wonTackle,bigChanceCreated,hitWoodwork,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,totalOffside
Ederson,ederson,Ederson,G,31,188,51284,M,Ederson93,254491,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,745545600,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}}",48.0,44.0,6.0,2.0,43.0,44.0,1.0,4.0,2.0,90.0,49.0,6.4,4.0,0.00040836,"{'original': 6.4, 'alternative': 6.3}",0,-0.5168,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,23614,M,manuel_akanji,383560,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,806112000,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل أكانجي', 'hi': 'मैनुअल अकांजी', 'bn': 'ম্যানুয়েল আকানজি'}, 'shortNameTranslation': {'ar': 'م. أكانجي', 'hi': 'एम. अकांजी', 'bn': 'এম. আকানজি'}}",80.0,72.0,4.0,2.0,34.0,35.0,38.0,45.0,6.0,90.0,88.0,7.6,8.0,0.264343,"{'original': 7.6, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,1.0,1.0,2.0,0.0097,0.3755,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Stones,john-stones,J. Stones,D,5,188,22451,M,johnstones5,152077,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,770083200,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ستونز', 'hi': 'जॉन स्टोन्स', 'bn': 'জন স্টোনস'}, 'shortNameTranslation': {'ar': 'ج. ستونز', 'hi': 'जे. स्टोन्स', 'bn': 'জে. স্টোনস'}}",54.0,54.0,1.0,1.0,27.0,27.0,27.0,27.0,2.0,71.0,58.0,6.8,,0.0111926,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Aké,nathan-ake,N. Aké,D,6,180,21377,M,nathanake,149663,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,793065600,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان آكي', 'hi': 'नाथन एके', 'bn': 'নাথান আকে'}, 'shortNameTranslation': {'ar': 'ن. آكي', 'hi': 'एन. एके', 'bn': 'এন. আকে'}}",68.0,64.0,2.0,2.0,30.0,30.0,34.0,39.0,7.0,90.0,83.0,7.9,5.0,0.0348085,"{'original': 7.9, 'alternative': 7.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,1.0,,1.0,0.2799,0.8387,2.0,4.0,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Walker,kyle-walker,K. Walker,D,2,183,28997,M,KyleWalker2,44614,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,643852800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كايل ووكر', 'hi': 'काइल वाकर', 'bn': 'কাইল ওয়াকার'}, 'shortNameTranslation': {'ar': 'ك. ووكر', 'hi': 'के. वाकर', 'bn': 'কে. ওয়াকার'}}",77.0,69.0,5.0,3.0,33.0,34.0,37.0,48.0,9.0,90.0,90.0,6.8,14.0,0.0776422,"{'original': 6.8, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,,,,,0.0279,,,1.0,,5.0,,1.0,3.0,,,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
Rodri,rodri,Rodri,M,16,191,93944,M,Rodri,827606,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,835401600,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}, 'shortNameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}}",99.0,94.0,8.0,8.0,29.0,31.0,65.0,68.0,5.0,71.0,104.0,8.2,5.0,0.120065,"{'original': 8.2, 'alternative': 7.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,,,0.0599,0.1909,2.0,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
Mateo Kovačić,mateo-kovacic,M. Kovačić,M,8,178,34246,M,Kova8,136710,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,768182400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتيو كوفاسيتش', 'hi': 'माटेओ कोवासिक', 'bn': 'মাতেও কোভাসিক'}, 'shortNameTranslation': {'ar': 'م. كوفاسيتش', 'hi': 'एम. कोवासिक', 'bn': 'এম. কোভাসিচ'}}",60.0,57.0,1.0,1.0,23.0,23.0,34.0,37.0,3.0,90.0,70.0,7.0,5.0,0.0894471,"{'original': 7, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,1.0,,1.0,1.0,0.334,0.5498,1.0,1.0,,,,,6.0,,,,,,,4.0,,1.0,,2.0,2.0,2.0,1.0,1.0,,,,,,,,,
Jérémy Doku,jeremy-doku,J. Doku,M,11,173,68596,M,Dokss,934386,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1022457600,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيريمي دوكو', 'hi': 'जेरेमी डोकू', 'bn': 'জেরেমি ডকু'}, 'shortNameTranslation': {'ar': 'ج. دوكو', 'hi': 'जे. डोकू', 'bn': 'জে. ডকু'}}",37.0,35.0,2.0,2.0,8.0,8.0,28.0,32.0,4.0,90.0,57.0,10.0,8.0,0.359525,"{'original': 10, 'alternative': 10}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,1.0,1.0,2.0,,0.1198,0.0856,5.0,,,3.0,,,2.0,,,1.0,,1.0,1.0,,4.0,1.0,,2.0,5.0,5.0,,2.0,1.0,,,,,,,,
Bernardo Silva,bernardo-silva,B. Silva,M,20,173,65986,M,BSilva,331209,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,776476800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرناردو سيلفا', 'hi': 'बर्नार्डो सिल्वा', 'bn': 'বার্নার্ডো সিলভা'}, 'shortNameTranslation': {'ar': 'ب. سيلفا', 'hi': 'बी. सिल्वा', 'bn': 'বি. সিলভা'}}",67.0,62.0,2.0,2.0,15.0,16.0,47.0,53.0,3.0,85.0,77.0,9.4,8.0,0.124258,"{'original': 9.4, 'alternative': 9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,2.0,,,0.4731,0.544,3.0,,1.0,2.0,,,,,,,,,1.0,,,2.0,,,1.0,1.0,,,,,,,,,,,
Julián Alvarez,julian-alvarez,J. Álvarez,F,19,170,228751,M,LaAraña,944656,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,949276800,"{'value': 97000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوليان ألفاريز', 'hi': 'जूलियन अल्वारेज़', 'bn': 'জুলিয়ান আলভারেজ'}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जे. अल्वारेज़', 'bn': 'জে. আলভারেজ'}}",49.0,44.0,1.0,1.0,6.0,7.0,39.0,47.0,1.0,71.0,62.0,7.5,12.0,0.951974,"{'original': 7.5, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,0.0643,,4.0,,,5.0,,,,,,1.0,,1.0,3.0,,,1.0,,,,,,,,,,,,,,,
