name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialWon,duelWon,shotOffTarget,onTargetScoringAttempt,goals,interceptionWon,totalTackle,unsuccessfulTouch,aerialLost,duelLost,challengeLost,outfielderBlock,wasFouled,keyPass,dispossessed,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,wonTackle,firstName,lastName,totalCross,accurateCross,fouls,goalAssist,bigChanceMissed,totalOffside,savedShotsFromInsideTheBox,saves,hitWoodwork
Robert Sánchez,robert-sanchez,R. Sánchez,G,1,197,17613,M,RS1,920546,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,879811200,"{'value': 19900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبرت سانشيز', 'hi': 'रॉबर्ट सांचेज़', 'bn': 'রবার্ট সানচেজ'}, 'shortNameTranslation': {'ar': 'ر. سانشيز', 'hi': 'आर. सांचेज़', 'bn': 'আর. সানচেজ'}}",30.0,24.0,10.0,5.0,21.0,24.0,3.0,6.0,1.0,9.0,2.0,1.0,1.0,90.0,39.0,6.8,6.0,0.0,0.0,0.00025366,"{'original': 6.8, 'alternative': 6.4}",0,-0.2023,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Disasi,axel-disasi,A. Disasi,D,2,190,8850,M,axel_disasi,827243,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,889574400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أكسيل ديساسي', 'hi': 'एक्सल डिसासी', 'bn': 'অ্যাক্সেল ডিসাসি'}, 'shortNameTranslation': {'ar': 'أ. ديساسي', 'hi': 'ए. डिसासी', 'bn': 'এ. ডিসাসি'}}",97.0,89.0,7.0,2.0,63.0,68.0,26.0,29.0,3.0,7.0,,,,90.0,108.0,7.6,10.0,0.4736,0.8555,0.010048,"{'original': 7.6, 'alternative': 7.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Thiago Silva,thiago-silva,T. Silva,D,,181,43819,M,ThiagoSilva,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",118.0,111.0,9.0,8.0,73.0,76.0,38.0,42.0,6.0,10.0,,,,90.0,131.0,7.5,8.0,0.0,0.0,0.0709818,"{'original': 7.5, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,5.0,,,,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
Levi Colwill,levi-colwill,L. Colwill,D,6,187,17567,M,LColwill,996911,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1046217600,"{'value': 55000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليفي كولويل', 'hi': 'लेवी कोलविल', 'bn': 'লেভি কলউইল'}, 'shortNameTranslation': {'ar': 'ل. كولويل', 'hi': 'एल. कोलविल', 'bn': 'এল. কলউইল'}}",68.0,56.0,8.0,3.0,30.0,33.0,26.0,35.0,2.0,6.0,,,,90.0,81.0,7.3,15.0,0.0827,0.0,0.0138897,"{'original': 7.3, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,4.0,,,,1.0,2.0,2.0,,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
Reece James,reece-james,R. James,D,24,180,50164,M,ReeceJ,885908,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,944611200,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس جيمس', 'hi': 'रीस जेम्स', 'bn': 'রিস জেমস'}, 'shortNameTranslation': {'ar': 'ر. جيمس', 'hi': 'आर. जेम्स', 'bn': 'আর. জেমস'}}",51.0,44.0,4.0,3.0,23.0,24.0,24.0,36.0,,5.0,,,,76.0,76.0,7.4,17.0,0.0338,0.0,0.422501,"{'original': 7.4, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,3.0,4.0,1.0,,,,,2.0,2.0,4.0,,,,2.0,2.0,1.0,1.0,2.0,,,,,9.0,3.0,,,,,,,
Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,120510,M,Enzo8,974505,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,979689600,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إنزو فرنانديز', 'hi': 'एन्ज़ो फर्नांडीज़', 'bn': 'এনজো ফার্নান্ডেজ'}, 'shortNameTranslation': {'ar': 'إ. فرنانديز', 'hi': 'ई. फर्नांडीज़', 'bn': 'ই. ফার্নান্ডেজ'}}",94.0,85.0,11.0,10.0,41.0,44.0,45.0,57.0,1.0,3.0,,,,90.0,119.0,8.1,18.0,0.0603,0.0,0.114976,"{'original': 8.1, 'alternative': 7.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,6.0,,,,,1.0,1.0,,4.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,,7.0,1.0,1.0,,,,,,
Conor Gallagher,conor-gallagher,C. Gallagher,M,4,182,15436,M,conorgallagher92,904970,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,949795200,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور غالاغير', 'hi': 'कोनोर गालाघर', 'bn': 'কনর গ্যালাঘের'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'hi': 'सी. गालाघर', 'bn': 'সি. গ্যালাঘের'}}",67.0,61.0,1.0,1.0,34.0,37.0,27.0,30.0,1.0,10.0,,,,90.0,82.0,7.1,10.0,0.0,0.0,0.0164578,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,5.0,,,,3.0,2.0,3.0,,3.0,2.0,1.0,2.0,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,
Ben Chilwell,ben-chilwell,B. Chilwell,D,3,181,11476,M,Chilly,802695,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,851126400,"{'value': 11100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن تشيلويل', 'hi': 'बेन चिलवेल', 'bn': 'বেন চিলওয়েল'}, 'shortNameTranslation': {'ar': 'ب. تشيلويل', 'hi': 'बी. चिलवेल', 'bn': 'বি. চিলওয়েল'}}",49.0,41.0,1.0,1.0,9.0,10.0,32.0,42.0,,7.0,,,,89.0,78.0,7.4,22.0,0.1585,0.1691,0.215768,"{'original': 7.4, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,6.0,,1.0,,,1.0,8.0,1.0,3.0,,,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,3.0,,1.0,1.0,1.0,1.0,,,
Raheem Sterling,raheem-sterling,R. Sterling,F,30,170,37771,M,Sterling7,138534,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786844800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رحيم ستيرلينغ', 'hi': 'रहीम स्टर्लिंग', 'bn': 'রাহিম স্টার্লিং'}, 'shortNameTranslation': {'ar': 'ر. سترلينغ', 'hi': 'आर. स्टर्लिंग', 'bn': 'আর. স্টার্লিং'}}",27.0,21.0,1.0,,4.0,5.0,20.0,27.0,,3.0,,,,81.0,44.0,6.7,15.0,0.0,0.0,0.0938528,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,,,,,2.0,1.0,,7.0,1.0,,1.0,1.0,4.0,2.0,,,,2.0,,,5.0,3.0,,,,,,,
Carney Chukwuemeka,carney-chukwuemeka,C. Chukwuemeka,M,17,185,10655,M,chukwuemeka10,994556,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1066608000,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارني تشوكويميكا', 'hi': 'कार्नी चुक्वुमेका', 'bn': 'কার্নি চুকউয়েমেকা'}, 'shortNameTranslation': {'ar': 'ك. تشوكويميكا', 'hi': 'सी. चुक्वुमेका', 'bn': 'সি. চুকউয়েমেকা'}}",42.0,38.0,1.0,1.0,6.0,8.0,32.0,34.0,,3.0,,,,81.0,51.0,6.5,10.0,0.0,0.0,0.163772,"{'original': 6.5, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,,,,,1.0,,,7.0,1.0,,1.0,,2.0,3.0,,,,1.0,,,,,1.0,,,,,,
Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186,86972,M,NJackson11,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",21.0,17.0,,,5.0,6.0,12.0,15.0,1.0,3.0,,,,90.0,38.0,6.1,9.0,0.5452,0.4119,0.0126594,"{'original': 6.1, 'alternative': 5.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,5.0,2.0,2.0,,,,3.0,2.0,5.0,,1.0,2.0,,2.0,2.0,2.0,,,,Nicolas Jackson,,,,1.0,,3.0,2.0,,,
Malo Gusto,gusto-malo,M. Gusto,D,27,179,18882,M,malogst,996958,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1053302400,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوستو، مالو', 'hi': 'गुस्टो, मालो', 'bn': 'গুস্টো, মালো'}, 'shortNameTranslation': {'ar': 'م. جوستو', 'hi': 'एम. गुस्टो', 'bn': 'এম. গুস্টো'}}",16.0,11.0,2.0,1.0,4.0,7.0,7.0,9.0,,1.0,,,,14.0,27.0,6.7,7.0,0.0,0.0,0.0110425,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,
Ian Maatsen,ian-maatsen,I. Maatsen,D,22,178,5423,M,maatsen_,976263,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1015718400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيان ماتسين', 'hi': 'इयान मात्सेन', 'bn': 'ইয়ান মাতসেন'}, 'shortNameTranslation': {'ar': 'إ. ماتسين', 'hi': 'आई. मात्सेन', 'bn': 'আই. মাতসেন'}}",8.0,4.0,1.0,1.0,,2.0,4.0,7.0,,2.0,,,,9.0,15.0,6.8,6.0,0.0,0.0,0.00684712,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,
Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175,52950,M,MMudryk10,958966,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,978652800,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميخايلو مودريك', 'hi': 'माइखाइलो मुडरीक', 'bn': 'মিখাইলো মড্রিক'}, 'shortNameTranslation': {'ar': 'م. مودريك', 'hi': 'एम. मुडरीक', 'bn': 'এম. মড্রিক'}}",7.0,5.0,,,,,5.0,8.0,,1.0,,,,9.0,11.0,6.8,4.0,0.0,0.0,0.0117305,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,,,,,,1.0,,1.0,1.0,,,,,2.0,2.0,,,,,,1.0,,,,,,,,
Lesley Ugochukwu,lesley-ugochukwu,L. Ugochukwu,M,8,188,5188,M,l.ugochukwu8,1048916,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1080259200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليزلي أوغوتشوكوو', 'hi': 'लेस्ली उगोचुकु', 'bn': 'লেসলি উগোচুকউ'}, 'shortNameTranslation': {'ar': 'ل. أوغوتشوكوو', 'hi': 'एल. उगोचुकु', 'bn': 'এল. উগোচুকউ'}}",3.0,3.0,,,3.0,3.0,,,1.0,,,,,1.0,5.0,,,0.0,0.0,7.372e-05,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Lucas Bergström,lucas-bergstrom,L. Bergström,G,13,206,3384,M,,996903,"{'alpha2': 'FI', 'alpha3': 'FIN', 'name': 'Finland', 'slug': 'finland'}",EUR,1031184000,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس بيرغستروم', 'hi': 'लुकास बर्गस्ट्रोम', 'bn': 'লুকাস বার্গস্ট্রোম'}, 'shortNameTranslation': {'ar': 'ل. بيرغستروم', 'hi': 'एल. बर्गस्ट्रोम', 'bn': 'এল. বার্গস্ট্রোম'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37004,M,cucurella3,794939,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,901065600,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك كوكوريلا', 'hi': 'मार्क कोकोरेला', 'bn': 'মার্ক কুকুরেলা'}, 'shortNameTranslation': {'ar': 'م. كوكوريلا', 'hi': 'एम. कोकोरेला', 'bn': 'এম. কুকুরেলা'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrey Santos,santos-andrey,A. Santos,M,17,180,26772,M,andreysantos_5,1105779,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1083542400,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سانتوس، أندري', 'hi': 'सैंटोस, एंड्री', 'bn': 'সান্তোস, আন্দ্রে'}, 'shortNameTranslation': {'ar': 'أ. سانتوس', 'hi': 'ए. सैंटोस', 'bn': 'এ. সান্তোস'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,Andrey Santos,,,,,,,,,,
Noni Madueke,noni-madueke,N. Madueke,M,20,182,40433,M,nonzinoo10,966547,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'hi': 'नोनी मदुके', 'bn': 'ননি মাদুকে'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'hi': 'एन. मदुके', 'bn': 'এন. মাদুকে'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Burstow,mason-burstow,M. Burstow,F,48,187,659,M,,1138421,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1059955200,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماسون بيرستو', 'hi': 'मेसन बर्स्टो', 'bn': 'ম্যাসন বার্স্টো'}, 'shortNameTranslation': {'ar': 'م. بيرستو', 'hi': 'एम. बर्स्टो', 'bn': 'এম. বার্স্টো'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,Mason Burstow,,,,,,,,,,
