name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,challengeLost,dispossessed,totalContest,wonContest,onTargetScoringAttempt,goals,totalTackle,wonTackle,expectedGoals,expectedGoalsOnTarget,keyPass,sofascoreId,outfielderBlock,interceptionWon,unsuccessfulTouch,goalAssist,totalCross,fouls,bigChanceMissed,shotOffTarget,totalOffside,errorLeadToAGoal,totalKeeperSweeper,accurateKeeperSweeper,accurateCross,bigChanceCreated,blockedScoringAttempt
Odysseas Vlachodimos,,,odysseas-vlachodimos,O. Vlachodimos,G,1,191,2945,M,138149,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,767318400,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوديسياس فلاكوديموس', 'hi': 'ओडिसीस व्लाचोदिमोस', 'bn': 'ওডেসিয়াস ভ্লাচোডিমোস'}, 'shortNameTranslation': {'ar': 'أ. فلاكوديموس', 'hi': 'ओ. व्लाचोदिमोस', 'bn': 'ও. ভ্লাচোডিমোস'}}",24.0,15.0,15.0,6.0,10.0,12.0,5.0,12.0,1.0,2.0,8.0,1.0,3.0,3.0,2.0,90.0,38.0,7.7,10.0,0.00028649,"{'original': 7.7, 'alternative': 7.6}",0,0.6802,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ola Aina,,,ola-aina,O. Aina,D,34,182,4048,M,800417,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,844732800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولا أينا', 'hi': 'ओला आइना', 'bn': 'ওলা আইনা'}, 'shortNameTranslation': {'ar': 'أ. أينا', 'hi': 'ओ. आइना', 'bn': 'ও. আইনা'}}",24.0,17.0,6.0,,8.0,11.0,9.0,13.0,7.0,4.0,9.0,2.0,,,,86.0,45.0,7.7,10.0,0.0779702,"{'original': 7.7, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0466,0.4264,1.0,,,,,,,,,,,,,,,,
Moussa Niakhaté,,,moussa-niakhate,M. Niakhaté,D,19,190,6811,M,758168,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,826243200,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى نياكاتي', 'hi': 'मूसा नियाखाटे', 'bn': 'মুসা নিয়াখাটে'}, 'shortNameTranslation': {'ar': 'م. نياكاتي', 'hi': 'एम. नियाखाटे', 'bn': 'এম. নিয়াখাটে'}}",22.0,17.0,4.0,1.0,17.0,20.0,,2.0,5.0,8.0,5.0,,,,,90.0,43.0,7.7,8.0,7.252e-05,"{'original': 7.7, 'alternative': 7.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,5.0,4.0,,,,niakhate,1.0,2.0,1.0,,,,,,,,,,,,
Murillo,Murillo,,murillo,Murillo,D,5,180,9796,M,1199282,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1025740800,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",24.0,18.0,10.0,4.0,14.0,15.0,4.0,9.0,2.0,7.0,2.0,,,,,90.0,37.0,7.0,9.0,0.00577489,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,murillosantiago40,,1.0,1.0,,,,,,,,,,,,
Harry Toffolo,,,harry-toffolo,H. Toffolo,D,15,183,379,M,358218,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,808790400,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري توفولو', 'hi': 'हैरी टोफ़ोलो', 'bn': 'হ্যারি টফোলো'}, 'shortNameTranslation': {'ar': 'ه. توفولو', 'hi': 'एच. टोफ़ोलो', 'bn': 'এইচ. টফোলো'}}",20.0,16.0,4.0,2.0,10.0,12.0,6.0,10.0,3.0,2.0,3.0,,,,,71.0,32.0,7.8,7.0,0.0195127,"{'original': 7.8, 'alternative': 7.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,3.0,,,,,,,3.0,2.0,,,2.0,,1.0,,1.0,2.0,2.0,1.0,,,,,,,,,
Ibrahim Sangaré,,,ibrahim-sangare,I. Sangaré,M,6,191,9875,M,843754,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,881020800,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيم سانغاري', 'hi': 'इब्राहिम संगारे', 'bn': 'ইব্রাহিম সাঙ্গারে'}, 'shortNameTranslation': {'ar': 'إ. سانغاري', 'hi': 'आई. संगारे', 'bn': 'আই. সাঙ্গারে'}}",19.0,12.0,4.0,1.0,9.0,11.0,3.0,8.0,4.0,3.0,3.0,2.0,,,,90.0,32.0,6.8,10.0,0.00352528,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,2.0,1.0,,,,,,2.0,1.0,,,1.0,ibrahim_sangare,,,1.0,,,,,,,,,,,,
Orel Mangala,,,orel-mangala,O. Mangala,M,20,178,1539,M,793988,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,890179200,"{'value': 9600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانغالا، أوريل', 'hi': 'मंगला, ओरेल', 'bn': 'মঙ্গলা, ওরেল'}, 'shortNameTranslation': {'ar': 'أ. مانغالا', 'hi': 'ओ. मंगला', 'bn': 'ও. মঙ্গলা'}}",21.0,20.0,2.0,1.0,18.0,18.0,2.0,3.0,2.0,4.0,4.0,,,,,90.0,33.0,7.4,3.0,0.00161374,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0334,0.0208,,,1.0,1.0,,,,,,,,,,,,,
Nicolás Domínguez,,,nicolas-dominguez,N. Domínguez,M,16,179,3140,M,871765,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,898992000,"{'value': 14700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس دومينغيز', 'hi': 'निकोलस डोमिन्ग्यूज़', 'bn': 'নিকোলাস ডোমিংগুয়েজ'}, 'shortNameTranslation': {'ar': 'ن. دومينغيز', 'hi': 'एन. डोमिन्ग्यूज़', 'bn': 'এন. ডোমিঙ্গুয়েজ'}}",21.0,15.0,3.0,2.0,10.0,11.0,5.0,10.0,10.0,1.0,3.0,2.0,,,,87.0,37.0,6.9,7.0,0.0270851,"{'original': 6.9, 'alternative': 7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,8.0,3.0,,,,1.0,,8.0,4.0,0.297,0.2225,,,,,1.0,,,3.0,1.0,2.0,2.0,,,,,,
Morgan Gibbs-White,,,morgan-gibbs-white,M. Gibbs-White,M,10,171,6717,M,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",19.0,12.0,3.0,2.0,10.0,12.0,2.0,9.0,3.0,,4.0,1.0,,,,90.0,27.0,6.5,13.0,0.00231629,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,2.0,4.0,2.0,1.0,,,,,,,,,,Morgangibbs27,,,,,2.0,,,,2.0,,,,,,
Taiwo Awoniyi,,,taiwo-awoniyi,T. Awoniyi,F,9,183,3500,M,359664,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,871344000,"{'value': 11400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايوو أونيي', 'hi': 'ताइवो अवोनीयी', 'bn': 'তাইও আওনিয়ি'}, 'shortNameTranslation': {'ar': 'ت. أونيي', 'hi': 'टी. अवोनीयी', 'bn': 'টি. আওনিয়ি'}}",14.0,12.0,,,6.0,7.0,6.0,7.0,1.0,,3.0,,,,,82.0,17.0,6.6,4.0,0.0136372,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,,2.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,3.0,,,,,,
