name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalContest,wonContest,totalClearance,ballRecovery,errorLeadToAGoal,wasFouled,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,dispossessed,shotOffTarget,onTargetScoringAttempt,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,expectedGoals,expectedGoalsOnTarget,keyPass,challengeLost,outfielderBlock,accurateCross,bigChanceMissed,goals,totalOffside,sofascoreId,blockedScoringAttempt,goalAssist,bigChanceCreated
James Trafford,,,james-trafford,J. Trafford,G,1,197,20653,M,980643,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034208000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ترافورد', 'hi': 'जेम्स ट्रैफोर्ड', 'bn': 'জেমস ট্র্যাফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. ترافورد', 'hi': 'जे. ट्रैफोर्ड', 'bn': 'জে. ট্র্যাফোর্ড'}}",42.0,13.0,37.0,8.0,7.0,12.0,6.0,30.0,3.0,4.0,1.0,1.0,2.0,14.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,90.0,61.0,6.9,29.0,0.00808255,"{'original': 6.9, 'alternative': 6.7}",0,-0.2988,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,
Vitinho,,,vitinho,Vitinho,D,2,175,3443,M,914477,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,932688000,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}, 'shortNameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}}",19.0,15.0,2.0,1.0,8.0,11.0,7.0,9.0,1.0,11.0,4.0,3.0,2.0,4.0,,2.0,,,,,,,,90.0,59.0,7.3,16.0,0.0375733,"{'original': 7.3, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,6.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,0.0817,0.0184,,,,,,,,,,,
Dara O'Shea,,,dara-oshea,D. O'Shea,D,26,188,709,M,856719,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,920505600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دارا أوشيا', 'hi': ""दारा ओ'शीया"", 'bn': ""দারা ও'শিয়া""}, 'shortNameTranslation': {'ar': 'د. أوشيا', 'hi': ""डी. ओ'शीया"", 'bn': ""ডি. ও'শিয়া""}}",28.0,16.0,6.0,1.0,6.0,10.0,10.0,18.0,3.0,5.0,,,7.0,4.0,,1.0,,,,,,,,90.0,40.0,7.0,12.0,0.0296413,"{'original': 7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,4.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,
Hjalmar Ekdal,,,hjalmar-ekdal,H. Ekdal,D,18,187,575,M,875360,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,908928000,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هالمار إيكدال', 'hi': 'हजलमर एकदल', 'bn': 'হজলমার একদল'}, 'shortNameTranslation': {'ar': 'ه. إيكدال', 'hi': 'एच. एकदल', 'bn': 'এইচ. একডাল'}}",29.0,27.0,2.0,1.0,22.0,22.0,5.0,7.0,,1.0,,,5.0,3.0,,,,,,,,,,89.0,38.0,6.7,2.0,0.00459917,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,,1.0,,1.0,1.0,1.0,,1.0,0.0364,,,1.0,,,,,,,,,
Ameen Al-Dakhil,,,ameen-al-dakhil,A. Al-Dakhil,D,2,185,812,M,964761,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1015372800,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أمين الدخيل', 'hi': 'अमीन अल-दखिल', 'bn': 'আমীন আল দাখিল'}, 'shortNameTranslation': {'ar': 'أ. الدخيل', 'hi': 'ए. अल-दखिल', 'bn': 'এ. আল-দাখিল'}}",21.0,17.0,2.0,1.0,10.0,11.0,7.0,11.0,2.0,4.0,3.0,1.0,2.0,3.0,,,,,,,,,,90.0,47.0,7.2,11.0,0.00290839,"{'original': 7.2, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,5.0,8.0,,1.0,1.0,3.0,1.0,,1.0,,0.1279,0.2808,1.0,1.0,2.0,,,,,,,,
Jóhann Guðmundsson,,,johann-gudmundsson,J. Guðmundsson,M,7,186,389,M,49805,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland', 'slug': 'iceland'}",EUR,656985600,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوهان غودموندسون', 'hi': 'जोहान गुडमंडसन', 'bn': 'জন গুডমুন্ডসন'}, 'shortNameTranslation': {'ar': 'ي. غودموندسون', 'hi': 'जे. गुडमंडसन', 'bn': 'জে. গুডমন্ডসন'}}",25.0,17.0,2.0,1.0,7.0,8.0,11.0,19.0,1.0,2.0,,,4.0,4.0,,,,,,,,,,74.0,39.0,6.7,11.0,0.0328505,"{'original': 6.7, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,0.3888,0.2539,1.0,2.0,,1.0,1.0,,,,,,
Josh Cullen,,,cullen-josh,J. Cullen,M,24,175,937,M,792122,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,828835200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كولين، جوش', 'hi': 'कुलेन, जोश', 'bn': 'কুলেন, জোশ'}, 'shortNameTranslation': {'ar': 'ج. كولين', 'hi': 'जे. कुलेन', 'bn': 'জে. কুলেন'}}",40.0,32.0,2.0,,11.0,15.0,21.0,26.0,1.0,3.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,,90.0,52.0,7.1,10.0,0.0195017,"{'original': 7.1, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,4.0,1.0,,,,,,,,,,2.0,2.0,4.0,,,,,,,,
Josh Brownhill,,,josh-brownhill,J. Brownhill,M,8,179,832,M,358394,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819331200,"{'value': 12700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",47.0,39.0,5.0,2.0,15.0,16.0,25.0,34.0,2.0,9.0,,,3.0,10.0,,4.0,,,,,,,,90.0,73.0,7.3,13.0,0.0486455,"{'original': 7.3, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,3.0,1.0,2.0,1.0,,,2.0,4.0,2.0,1.0,,,,,,,1.0,,,,,,,
Wilson Odobert,,,wilson-odobert,W. Odobert,F,28,182,4085,M,1142679,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1101600000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلسون أودوبيرت', 'hi': 'विल्सन ओडोबर्ट', 'bn': 'উইলসন ওডোবার্ট'}, 'shortNameTranslation': {'ar': 'و. أودوبيرت', 'hi': 'डब्लू. ओडोबर्ट', 'bn': 'ডব্লিউ. ওডোবার্ট'}}",22.0,21.0,,,4.0,4.0,18.0,19.0,1.0,5.0,6.0,4.0,1.0,3.0,,,,,,,,,,84.0,38.0,7.3,5.0,0.103291,"{'original': 7.3, 'alternative': 7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,6.0,,1.0,2.0,,,,2.0,,0.0715,0.3707,1.0,3.0,,1.0,,,,,,,
Lyle Foster,,,foster-lyle,L. Foster,F,9,180,6277,M,901907,"{'alpha2': 'ZA', 'alpha3': 'ZAF', 'name': 'South Africa', 'slug': 'south-africa'}",EUR,967939200,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فوستر، لايل', 'hi': 'फोस्टर, लाइल', 'bn': 'ফস্টার, লাইল'}, 'shortNameTranslation': {'ar': 'ل. فوستر', 'hi': 'एल. फोस्टर', 'bn': 'এল. ফস্টার'}}",32.0,19.0,1.0,1.0,7.0,15.0,12.0,17.0,5.0,8.0,4.0,1.0,,1.0,,1.0,,,,,,,,90.0,55.0,6.7,25.0,0.0262469,"{'original': 6.7, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,9.0,18.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0654,0.113,1.0,,,,,,,,,,
