name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,dispossessed,fouls,penaltyWon,accurateCross,challengeLost,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,totalContest,shotOffTarget,blockedScoringAttempt,expectedGoals,onTargetScoringAttempt,goals,expectedGoalsOnTarget,keyPass,wonContest,sofascoreId,goalAssist,penaltyFaced,bigChanceCreated,bigChanceMissed,totalOffside,penaltyConceded
Wesley Foderingham,,,wesley-foderingham,W. Foderingham,G,25,185,337,M,187861,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,663811200,"{'value': 545000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويزلي فوديرينغهام', 'hi': 'वेस्ले फोडरिंगम', 'bn': 'ওয়েসলি ফোডেরিংহাম'}, 'shortNameTranslation': {'ar': 'و. فوديرينغهام', 'hi': 'डब्लू. फोडरिंगम', 'bn': 'ডব্লিউ. ফোডেরিংহাম'}}",28.0,9.0,22.0,4.0,6.0,10.0,3.0,18.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,90.0,35.0,6.6,19.0,0.0003865,"{'original': 6.6, 'alternative': 6.8}",0,0.4037,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Baldock,,,george-baldock,G. Baldock,D,,175,377,M,112928,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,731635200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جورج بالدوك', 'hi': 'जॉर्ज बाल्डॉक', 'bn': 'জর্জ বলডক'}, 'shortNameTranslation': {'ar': 'ج. بالدوك', 'hi': 'जी. बाल्डॉक', 'bn': 'জি. বালডক'}}",30.0,24.0,5.0,1.0,16.0,21.0,8.0,10.0,2.0,4.0,,6.0,3.0,,,,,,,90.0,38.0,6.6,8.0,0.00417274,"{'original': 6.6, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,5.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Auston Trusty,,,auston-trusty,A. Trusty,D,6,188,820,M,822459,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,902880000,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستون تراستي', 'hi': 'ऑस्टन ट्रस्टी', 'bn': 'অস্টন ট্রাস্টি'}, 'shortNameTranslation': {'ar': 'أ. تراستي', 'hi': 'ए. ट्रस्टी', 'bn': 'এ. ট্রাস্টি'}}",22.0,16.0,3.0,,12.0,14.0,5.0,9.0,1.0,3.0,3.0,2.0,,,,,,,,90.0,44.0,6.7,9.0,0.0219184,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,5.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
Jack Robinson,,,jack-robinson,J. Robinson,D,6,180,180,M,98454,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,746841600,"{'value': 520000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك روبنسون', 'hi': 'जैक रॉबिन्सन', 'bn': 'জ্যাক রবিনসন'}, 'shortNameTranslation': {'ar': 'ج. روبنسون', 'hi': 'जे. रॉबिन्सन', 'bn': 'জে. রবিনসন'}}",25.0,18.0,4.0,,9.0,9.0,9.0,16.0,1.0,4.0,4.0,3.0,,,,,,,,90.0,46.0,6.9,12.0,0.00755013,"{'original': 6.9, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,4.0,,,,,,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,
Jayden Bogle,,,bogle-jayden,J. Bogle,D,2,178,740,M,929132,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964656000,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",20.0,14.0,3.0,2.0,6.0,7.0,8.0,17.0,1.0,7.0,2.0,5.0,1.0,,,,,,,90.0,50.0,7.0,16.0,0.0149851,"{'original': 7, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,1.0,6.0,2.0,,,,2.0,,,5.0,3.0,2.0,1.0,1.0,1.0,0.0424,,,,,,,,,,,,
Vinícius Souza,,,vinicius-souza,Vinicius,M,5,187,1676,M,979290,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,929577600,"{'value': 14200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",28.0,21.0,1.0,1.0,7.0,8.0,14.0,20.0,3.0,8.0,,3.0,,,,,,,,90.0,41.0,6.7,11.0,0.0093629,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,5.0,9.0,2.0,2.0,,,1.0,,,5.0,3.0,2.0,,,,,,,,,,,,,,,,
Oliver Norwood,,,oliver-norwood,O. Norwood,M,26,180,225,M,100637,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,671414400,"{'value': 280000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر نوروود', 'hi': 'ओलिवर नोरवुड', 'bn': 'অলিভার নরউড'}, 'shortNameTranslation': {'ar': 'أ. نوروود', 'hi': 'ओ. नोरवुड', 'bn': 'ও. নরউড'}}",47.0,31.0,12.0,3.0,14.0,16.0,18.0,33.0,1.0,3.0,2.0,7.0,,,,,,,,90.0,62.0,7.2,18.0,0.117024,"{'original': 7.2, 'alternative': 7.2}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,2.0,,2.0,,1.0,,1.0,,,,2.0,1.0,,1.0,2.0,1.0,0.8187,1.0,1.0,0.9951,1.0,,,,,,,,
Luke Thomas,,,luke-thomas,L. Thomas,D,33,178,494,M,991584,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,992131200,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك توماس', 'hi': 'ल्यूक थॉमस', 'bn': 'লুক থমাস'}, 'shortNameTranslation': {'ar': 'ل. توماس', 'hi': 'एल. थॉमस', 'bn': 'এল. থমাস'}}",19.0,16.0,2.0,,4.0,6.0,13.0,14.0,,2.0,2.0,3.0,,,,,,,,90.0,31.0,6.8,4.0,0.0398413,"{'original': 6.8, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,2.0,,,,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,1.0,,,,,,,,
Gustavo Hamer,,,gustavo-hamer,G. Hamer,M,8,169,1022,M,837495,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,867110400,"{'value': 16800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",33.0,24.0,2.0,1.0,7.0,10.0,17.0,29.0,,3.0,,12.0,2.0,,,,,,,89.0,49.0,6.9,17.0,0.0488257,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,1.0,6.0,,3.0,,,2.0,,1.0,1.0,,1.0,,1.0,,0.0327,,,,1.0,,,,,,,,
Rhian Brewster,,,rhian-brewster,R. Brewster,F,10,180,873,M,878705,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,954547200,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان بروستر', 'hi': 'रियान ब्रूस्टर', 'bn': 'রায়ান ব্রুস্টার'}, 'shortNameTranslation': {'ar': 'ر. بروستر', 'hi': 'आर. ब्रूस्टर', 'bn': 'আর. ব্রুস্টার'}}",12.0,7.0,,,,,7.0,12.0,,1.0,,1.0,,,,,,,,45.0,15.0,6.6,7.0,0.00515161,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,4.0,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,
