name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,bigChanceCreated,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,wasFouled,expectedGoals,expectedGoalsOnTarget,keyPass,firstName,lastName,goalAssist,aerialWon,shotOffTarget,fouls,outfielderBlock,unsuccessfulTouch,dispossessed,bigChanceMissed,goals,totalOffside,sofascoreId
Arijanet Murić,arijanet-muric,A. Murić,G,49,198.0,1759,M,888971,"{'alpha2': 'XK', 'alpha3': 'XKX', 'name': 'Kosovo', 'slug': 'kosovo'}",EUR,910396800,"{'value': 6900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أريجانيت موريش', 'hi': 'अरिजानेट मुरिक', 'bn': 'আরিজানেট মুরিচ'}, 'shortNameTranslation': {'ar': 'أ. موريش', 'hi': 'ए. मुरिक', 'bn': 'এ. মুরিচ'}}",50.0,35.0,25.0,10.0,25.0,26.0,10.0,24.0,1.0,5.0,3.0,1.0,1.0,3.0,3.0,90.0,58.0,7.0,18.0,0.00467032,"{'original': 7, 'alternative': 6.6}",0,-0.0553,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitinho,vitinho,Vitinho,D,2,175.0,3443,M,914477,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,932688000,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}, 'shortNameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}}",36.0,28.0,2.0,2.0,9.0,10.0,20.0,34.0,2.0,8.0,,,,,,90.0,66.0,7.7,17.0,0.176608,"{'original': 7.7, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,8.0,1.0,2.0,5.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.1381,0.0915,1.0,,,,,,,,,,,,,
Dara O'Shea,dara-oshea,D. O'Shea,D,26,188.0,709,M,856719,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,920505600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دارا أوشيا', 'hi': ""दारा ओ'शीया"", 'bn': ""দারা ও'শিয়া""}, 'shortNameTranslation': {'ar': 'د. أوشيا', 'hi': ""डी. ओ'शीया"", 'bn': ""ডি. ও'শিয়া""}}",64.0,53.0,8.0,7.0,24.0,26.0,30.0,39.0,2.0,2.0,,,,,,90.0,76.0,7.4,11.0,0.103486,"{'original': 7.4, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,3.0,9.0,10.0,2.0,,,1.0,,,,4.0,1.0,,0.0402,,1.0,,,1.0,6.0,1.0,4.0,,,,,,,
Maxime Estève,maxime-esteve,M. Estève,D,5,192.0,1543,M,1117223,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1022371200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكسيم إستيف', 'hi': 'मैक्सिम एस्टेवे', 'bn': 'ম্যাক্সিম এস্টেভ'}, 'shortNameTranslation': {'ar': 'م. إستيف', 'hi': 'एम. एस्टेवे', 'bn': 'এম. এস্তেভ'}}",59.0,55.0,,,33.0,37.0,22.0,24.0,2.0,4.0,,,,,,90.0,71.0,6.7,7.0,0.014344,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,1.0,6.0,2.0,2.0,,,,,1.0,2.0,1.0,1.0,1.0,0.0163,,,Maxime Estève,,,,,3.0,1.0,1.0,,,,,
Charlie Taylor,charlie-taylor,C. Taylor,D,29,183.0,281,M,166381,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748224000,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشارلي تايلور', 'hi': 'चार्ली टेलर', 'bn': 'চার্লি টেলর'}, 'shortNameTranslation': {'ar': 'ت. تايلور', 'hi': 'सी. टेलर', 'bn': 'সি. টেলর'}}",38.0,34.0,2.0,2.0,8.0,8.0,27.0,40.0,2.0,2.0,,,,,,90.0,67.0,6.9,18.0,0.492216,"{'original': 6.9, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,10.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,1.0,,,,2.0,,,,,
Lyle Foster,foster-lyle,L. Foster,F,9,180.0,6277,M,901907,"{'alpha2': 'ZA', 'alpha3': 'ZAF', 'name': 'South Africa', 'slug': 'south-africa'}",EUR,967939200,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فوستر، لايل', 'hi': 'फोस्टर, लाइल', 'bn': 'ফস্টার, লাইল'}, 'shortNameTranslation': {'ar': 'ل. فوستر', 'hi': 'एल. फोस्टर', 'bn': 'এল. ফস্টার'}}",26.0,21.0,,,,,21.0,26.0,1.0,1.0,,,,,,86.0,39.0,7.1,11.0,0.11976,"{'original': 7.1, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,5.0,8.0,,5.0,4.0,,,,,1.0,1.0,,,,2.0,,,,3.0,,,,1.0,3.0,,,,
Josh Cullen,cullen-josh,J. Cullen,M,24,175.0,937,M,792122,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,828835200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كولين، جوش', 'hi': 'कुलेन, जोश', 'bn': 'কুলেন, জোশ'}, 'shortNameTranslation': {'ar': 'ج. كولين', 'hi': 'जे. कुलेन', 'bn': 'জে. কুলেন'}}",60.0,54.0,3.0,2.0,20.0,21.0,35.0,42.0,1.0,5.0,,,,,,90.0,75.0,7.1,12.0,0.0517078,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,3.0,1.0,,1.0,3.0,1.0,,,,,,,,,1.0,0.0217,,1.0,,,,2.0,1.0,,,4.0,,,,,
Sander Berge,sander-berge,S. Berge,M,16,195.0,2074,M,793167,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,887414400,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندر بيرج', 'hi': 'सैंडर बर्ज', 'bn': 'স্যান্ডার বার্জে'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'hi': 'एस. बर्ज', 'bn': 'এস. বার্জে'}}",52.0,48.0,1.0,1.0,26.0,26.0,22.0,29.0,,8.0,,,,,,90.0,73.0,7.5,10.0,0.0511792,"{'original': 7.5, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,,,3.0,8.0,,1.0,,,,,1.0,6.0,3.0,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,
Jacob Bruun Larsen,jacob-bruun-larsen,J. B. Larsen,M,7,183.0,713,M,809276,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,906163200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب برون لارسن', 'hi': 'जैकब ब्रून लार्सन', 'bn': 'জ্যাকব ব্রাউন লারসেন'}, 'shortNameTranslation': {'ar': 'ج. ب. لارسن', 'hi': 'जेबी ब्रून', 'bn': 'জে.বি. লারসেন'}}",24.0,16.0,2.0,2.0,4.0,5.0,14.0,24.0,2.0,3.0,,,,,,73.0,43.0,7.2,13.0,0.0685062,"{'original': 7.2, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,2.0,2.0,6.0,4.0,3.0,2.0,1.0,,2.0,,2.0,1.0,,1.0,0.8061,1.5647,1.0,,,,1.0,,,,1.0,,1.0,1.0,1.0,
Wilson Odobert,wilson-odobert,W. Odobert,F,28,182.0,4085,M,1142679,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1101600000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلسون أودوبيرت', 'hi': 'विल्सन ओडोबर्ट', 'bn': 'উইলসন ওডোবার্ট'}, 'shortNameTranslation': {'ar': 'و. أودوبيرت', 'hi': 'डब्लू. ओडोबर्ट', 'bn': 'ডব্লিউ. ওডোবার্ট'}}",27.0,24.0,,,5.0,5.0,19.0,22.0,,2.0,,,,,,90.0,38.0,7.1,9.0,0.0715403,"{'original': 7.1, 'alternative': 6.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,6.0,1.0,1.0,2.0,,,2.0,1.0,,,,1.0,0.2268,0.0826,2.0,,,,,1.0,1.0,,1.0,2.0,,,,
