name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,blockedScoringAttempt,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,expectedGoals,wasFouled,outfielderBlock,totalCross,accurateCross,dispossessed,onTargetScoringAttempt,goals,totalOffside,expectedGoalsOnTarget,keyPass,goalAssist,bigChanceCreated,firstName,lastName,bigChanceMissed,shotOffTarget,errorLeadToAShot,sofascoreId
Thomas Kaminski,thomas-kaminski,T. Kaminski,G,1,190,558,M,45959,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,719798400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس كامينسكي', 'hi': 'थॉमस कामिन्स्की', 'bn': 'টমাস কামিনস্কি'}, 'shortNameTranslation': {'ar': 'ت. كامينسكي', 'hi': 'टी. कामिन्स्की', 'bn': 'টি. কামিনস্কি'}}",40.0,16.0,30.0,7.0,11.0,15.0,5.0,25.0,10.0,2.0,2.0,5.0,4.0,90.0,50.0,7.0,24.0,0.00109336,"{'original': 7, 'alternative': 7.4}",0,0.6971,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reece Burke,reece-burke,R. Burke,D,32,189,101,M,372342,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,841622400,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس بيرك', 'hi': 'रीस बर्क', 'bn': 'রিস বার্ক'}, 'shortNameTranslation': {'ar': 'ر. بيرك', 'hi': 'आर. बर्क', 'bn': 'আর. বার্ক'}}",29.0,15.0,9.0,2.0,8.0,12.0,7.0,17.0,5.0,,,,,90.0,44.0,7.0,16.0,0.00214354,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,5.0,7.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,1.0,2.0,0.0238,,,,,,,,,,,,,,,,,,
Gabriel Osho,gabriel-osho,G. Osho,D,3,185,835,M,920680,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,903052800,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل أوشو', 'hi': 'गेब्रियल ओशो', 'bn': 'গ্যাব্রিয়েল ওশো'}, 'shortNameTranslation': {'ar': 'غ. أوشو', 'hi': 'जी. ओशो', 'bn': 'জি. ওশো'}}",38.0,29.0,6.0,,20.0,22.0,9.0,16.0,14.0,,,,,90.0,56.0,7.1,11.0,0.00779717,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,4.0,5.0,1.0,3.0,1.0,,3.0,1.0,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,
Amari'i Bell,amarii-bell,A. Bell,D,17,179,253,M,369674,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,768096000,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'اماري بيل', 'hi': ""अमरी'ई बेल"", 'bn': 'আমারি বেল'}, 'shortNameTranslation': {'ar': 'ا. بيل', 'hi': 'एक बेल', 'bn': 'এ. বেল'}}",47.0,38.0,6.0,1.0,27.0,30.0,11.0,17.0,9.0,,,,,90.0,60.0,7.4,9.0,0.00392742,"{'original': 7.4, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,3.0,4.0,,2.0,2.0,,3.0,2.0,,,,3.0,,,2.0,,,,,,,,,,,,,,,,
Chiedozie Ogbene,ogbene-chiedozie,C. Ogbene,M,19,181,794,M,849309,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,862444800,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوغبيني، تشيدوزي', 'hi': 'ओगबेने, चिएदोज़ी', 'bn': 'ওগবেন, চিইডোজি'}, 'shortNameTranslation': {'ar': 'ت. أوغبيني', 'hi': 'सी. ओगबेने', 'bn': 'সি. ওগবেন'}}",29.0,21.0,2.0,1.0,10.0,12.0,12.0,18.0,10.0,,,,,90.0,51.0,7.9,15.0,0.146765,"{'original': 7.9, 'alternative': 7.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,4.0,8.0,,5.0,3.0,1.0,,,,,2.0,,1.1248,2.0,,1.0,1.0,1.0,2.0,1.0,2.0,1.2189,2.0,,,,,,,,
Albert Sambi Lokonga,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3693,M,901892,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,940550400,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألبرت سامبي لوكونغا', 'hi': 'अल्बर्ट साम्बी लोकोंगा', 'bn': 'আলবার্ট সাম্বি লোকোঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. س. لوكونغا', 'hi': 'ए.एस. लोकोंगा', 'bn': 'এ. এস. লোকঙ্গা'}}",23.0,18.0,2.0,2.0,12.0,14.0,6.0,9.0,4.0,,,,,68.0,32.0,7.5,7.0,0.131254,"{'original': 7.5, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0203,2.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,
Ross Barkley,ross-barkley,R. Barkley,M,6,188,2380,M,98435,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,755049600,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",33.0,29.0,4.0,,9.0,10.0,20.0,23.0,6.0,,,,,82.0,57.0,7.8,12.0,0.332897,"{'original': 7.8, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,7.0,8.0,,6.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,,0.0463,2.0,,,,3.0,,,,,5.0,1.0,2.0,,,,,,
Alfie Doughty,alfie-doughty,A. Doughty,M,14,183,576,M,945792,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,945734400,"{'value': 5700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي دوتي', 'hi': 'अल्फी डौटी', 'bn': 'আলফি ডাউটি'}, 'shortNameTranslation': {'ar': 'أ. دوتي', 'hi': 'ए. डौटी', 'bn': 'এ. ডাউটি'}}",42.0,32.0,9.0,3.0,15.0,16.0,19.0,36.0,7.0,,,,,90.0,81.0,7.0,27.0,0.0739408,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,3.0,4.0,,1.0,1.0,,2.0,,3.0,2.0,5.0,1.0,,,,10.0,2.0,1.0,,,1.0,,1.0,,,,,,,,
Jordan Clark,jordan-clark,J. Clark,M,18,183,124,M,150477,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748656000,"{'value': 590000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان كلارك', 'hi': 'जॉर्डन क्लार्क', 'bn': 'জর্ডান ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ج. كلارك', 'hi': 'जे. क्लार्क', 'bn': 'জে. ক্লার্ক'}}",21.0,15.0,1.0,1.0,3.0,5.0,13.0,19.0,4.0,,,,,68.0,43.0,7.1,13.0,0.0482691,"{'original': 7.1, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,8.0,7.0,2.0,4.0,2.0,1.0,,1.0,3.0,1.0,2.0,2.0,0.1081,2.0,,3.0,1.0,1.0,1.0,,1.0,0.3402,1.0,,,,,,,,
Elijah Adebayo,adebayo-elijah,E. Adebayo,F,11,193,1056,M,920542,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,884131200,"{'value': 4400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أديبايو، إيلايا', 'hi': 'एडेबायो, एलिजा', 'bn': 'অ্যাডেবায়ো, ইলিয়াস'}, 'shortNameTranslation': {'ar': 'أديبايو', 'hi': 'ई. एडेबायो', 'bn': 'ই. অ্যাডেবায়ো'}}",10.0,8.0,1.0,,1.0,2.0,7.0,8.0,4.0,,,,,71.0,27.0,9.1,10.0,0.0120155,"{'original': 9.1, 'alternative': 9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,7.0,3.0,,7.0,3.0,1.0,,,,,2.0,2.0,1.4645,,,,,,3.0,3.0,,2.0401,1.0,,,,,,,,
