name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,goalAssist,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,bigChanceCreated,interceptionWon,totalTackle,wonTackle,errorLeadToAGoal,unsuccessfulTouch,keyPass,firstName,lastName,totalContest,wonContest,outfielderBlock,fouls,accurateCross,wasFouled,shotOffTarget,expectedGoals,onTargetScoringAttempt,expectedGoalsOnTarget,blockedScoringAttempt,goals,totalOffside,bigChanceMissed,hitWoodwork
Matt Turner,matt-turner,M. Turner,G,30,190,1581,M,833943,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,772416000,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات تيرنر', 'hi': 'मैट टर्नर', 'bn': 'ম্যাট টার্নার'}, 'shortNameTranslation': {'ar': 'م. تيرنر', 'hi': 'एम. टर्नर', 'bn': 'এম. টার্নার'}}",27.0,16.0,20.0,9.0,11.0,13.0,5.0,14.0,1.0,5.0,4.0,1.0,2.0,1.0,90.0,38.0,6.7,12.0,0.00070559,"{'original': 6.7, 'alternative': 6.3}",0,-0.9078,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzalo Montiel,gonzalo-montiel,G. Montiel,D,4,175,9289,M,822933,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,852076800,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غونزالو مونتييل', 'hi': 'गोंजालो मोंटिएल', 'bn': 'গঞ্জালো মন্টিয়েল'}, 'shortNameTranslation': {'ar': 'غ. مونتيل', 'hi': 'जी. मोंटिएल', 'bn': 'জি. মন্টিয়েল'}}",28.0,20.0,7.0,1.0,15.0,19.0,5.0,10.0,11.0,6.0,,,,,90.0,55.0,6.7,12.0,0.0602142,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,gonzalo_montiel29,1.0,1.0,1.0,5.0,6.0,8.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
Andrew Omobamidele,andrew-omobamidele,A. Omobamidele,D,20,188,706,M,983066,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1024790400,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرو أوموباميديلي', 'hi': 'एंड्रयू ओमोबामिडेले', 'bn': 'অ্যান্ড্রু ওমোবামিডেলে'}, 'shortNameTranslation': {'ar': 'أ. أوموباميديلي', 'hi': 'ए. ओमोबामिडेले', 'bn': 'এ. ওমোবামিডেলে'}}",27.0,23.0,3.0,1.0,19.0,23.0,4.0,4.0,3.0,2.0,,,,,90.0,33.0,6.5,4.0,0.00360272,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
Murillo,murillo,Murillo,D,5,180,9796,M,1199282,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1025740800,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",42.0,30.0,9.0,3.0,21.0,23.0,9.0,19.0,11.0,2.0,,,,,90.0,67.0,7.9,12.0,0.00317617,"{'original': 7.9, 'alternative': 7.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,murillosantiago40,,,1.0,3.0,4.0,6.0,,,,4.0,2.0,2.0,,,,Murillo,,1.0,1.0,5.0,3.0,,,,,,,,,,,
Harry Toffolo,harry-toffolo,H. Toffolo,D,15,183,379,M,358218,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,808790400,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري توفولو', 'hi': 'हैरी टोफ़ोलो', 'bn': 'হ্যারি টফোলো'}, 'shortNameTranslation': {'ar': 'ه. توفولو', 'hi': 'एच. टोफ़ोलो', 'bn': 'এইচ. টফোলো'}}",14.0,10.0,,,7.0,9.0,5.0,8.0,5.0,1.0,,,,,90.0,38.0,7.0,8.0,0.184442,"{'original': 7, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,2.0,3.0,3.0,7.0,,1.0,,,3.0,2.0,,,3.0,,,,,,,2.0,1.0,,,,,,,,,
Danilo,danilo,Danilo,M,35,177,4572,M,1064039,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988502400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}, 'shortNameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}}",25.0,17.0,7.0,1.0,15.0,17.0,3.0,12.0,6.0,4.0,,,,,90.0,50.0,7.0,13.0,0.0256706,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Danilo,,4.0,,1.0,4.0,5.0,3.0,,,2.0,2.0,1.0,,1.0,,,,3.0,2.0,1.0,,1.0,,1.0,0.0223,,,,,,,
Orel Mangala,orel-mangala,O. Mangala,M,20,178,1539,M,793988,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,890179200,"{'value': 9600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانغالا، أوريل', 'hi': 'मंगला, ओरेल', 'bn': 'মঙ্গলা, ওরেল'}, 'shortNameTranslation': {'ar': 'أ. مانغالا', 'hi': 'ओ. मंगला', 'bn': 'ও. মঙ্গলা'}}",13.0,10.0,,,7.0,9.0,3.0,4.0,3.0,1.0,,,,,71.0,28.0,6.9,6.0,0.00094635,"{'original': 6.9, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,1.0,1.0,3.0,,1.0,,4.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,
Neco Williams,williams-neco,N. Williams,D,3,183,3163,M,927356,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,987120000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليامز، نيكو', 'hi': 'विलियम्स, नेको', 'bn': 'উইলিয়ামস, নেকো'}, 'shortNameTranslation': {'ar': 'ن. ويليامز', 'hi': 'एन. विलियम्स', 'bn': 'এন. উইলিয়ামস'}}",11.0,7.0,1.0,,3.0,4.0,4.0,11.0,2.0,4.0,,,,,78.0,24.0,6.7,10.0,0.00168914,"{'original': 6.7, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,1.0,4.0,4.0,6.0,1.0,1.0,,,,,,,,,,,,1.0,2.0,,2.0,,0.0362,1.0,0.1016,,,,,
Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6717,M,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",21.0,15.0,1.0,1.0,3.0,5.0,12.0,17.0,,5.0,,,,,90.0,39.0,5.9,14.0,0.00695383,"{'original': 5.9, 'alternative': 5.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,Morgangibbs27,,1.0,1.0,,8.0,1.0,,3.0,,,,,,,1.0,,,5.0,1.0,,,,,,0.0381,,,2.0,,,,
Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179,3140,M,871765,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,898992000,"{'value': 14700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس دومينغيز', 'hi': 'निकोलस डोमिन्ग्यूज़', 'bn': 'নিকোলাস ডোমিংগুয়েজ'}, 'shortNameTranslation': {'ar': 'ن. دومينغيز', 'hi': 'एन. डोमिन्ग्यूज़', 'bn': 'এন. ডোমিঙ্গুয়েজ'}}",17.0,12.0,2.0,,8.0,10.0,4.0,7.0,2.0,3.0,,,,,64.0,26.0,6.5,7.0,0.00067296,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,,2.0,1.0,,,,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,
