name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,duelLost,duelWon,challengeLost,dispossessed,bigChanceCreated,shotOffTarget,totalTackle,wonTackle,wasFouled,fouls,possessionLostCtrl,expectedGoals,keyPass,aerialLost,aerialWon,totalClearance,outfielderBlock,unsuccessfulTouch,interceptionWon,totalContest,wonContest,goalAssist,onTargetScoringAttempt,blockedScoringAttempt,goals,expectedGoalsOnTarget,bigChanceMissed,totalOffside,accurateCross,hitWoodwork,punches
Stefan Ortega,stefan-ortega,S. Ortega,G,18,186,10750,M,stefan.ortega1,125274,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,721008000,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ستيفان أورتيغا', 'hi': 'स्टीफन ऑर्टेगा', 'bn': 'স্টেফান ওর্তেগা'}, 'shortNameTranslation': {'ar': 'س. أورتيغا', 'hi': 'एस. ऑर्टेगा', 'bn': 'এস. ওর্তেগা'}}",27.0,27.0,5.0,5.0,26.0,26.0,1.0,1.0,5.0,2.0,2.0,2.0,90.0,33.0,7.3,0.0003097,"{'original': 7.3, 'alternative': 6.9}",0,0.7153,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Lewis,rico-lewis,R. Lewis,D,82,170,17414,M,Rico_Lewis,1136731,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1100995200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريكو لويس', 'hi': 'रिको लुईस', 'bn': 'রিকো লুইস'}, 'shortNameTranslation': {'ar': 'ر. لويس', 'hi': 'आर. लुईस', 'bn': 'আর. লুইস'}}",71.0,66.0,1.0,1.0,19.0,19.0,47.0,53.0,1.0,,,,90.0,93.0,7.7,0.545572,"{'original': 7.7, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Rico Lewis,,1.0,5.0,5.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,9.0,0.1359,3.0,,,,,,,,,,,,,,,,,,
Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,23614,M,manuel_akanji,383560,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,806112000,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل أكانجي', 'hi': 'मैनुअल अकांजी', 'bn': 'ম্যানুয়েল আকানজি'}, 'shortNameTranslation': {'ar': 'م. أكانجي', 'hi': 'एम. अकांजी', 'bn': 'এম. আকানজি'}}",76.0,75.0,5.0,5.0,28.0,28.0,47.0,48.0,6.0,,,,90.0,87.0,7.9,0.048407,"{'original': 7.9, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,4.0,,,,,3.0,3.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,
Rúben Dias,ruben-dias,R. Dias,D,3,188,40658,M,RúbenD,318941,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,863568000,"{'value': 65000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبن دياز', 'hi': 'रुबेन डियास', 'bn': 'রুবেন ডায়াস'}, 'shortNameTranslation': {'ar': 'ر. دياز', 'hi': 'आर. डियास', 'bn': 'আর. ডায়াস'}}",102.0,96.0,3.0,1.0,52.0,56.0,44.0,46.0,10.0,,,,90.0,115.0,7.5,0.0344586,"{'original': 7.5, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,6.0,,,,,5.0,4.0,,,8.0,,,,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,
Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,186,50283,M,JGvardiol,964994,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,1011744000,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوشكو غفارديول', 'hi': 'जोस्को ग्वार्डिओल', 'bn': 'জোসকো গোওয়ারদিওল'}, 'shortNameTranslation': {'ar': 'ي. غفارديول', 'hi': 'जे. ग्वार्डिओल', 'bn': 'জে. গোওয়ারদিওল'}}",74.0,67.0,2.0,2.0,36.0,39.0,31.0,35.0,8.0,,,,90.0,88.0,7.5,0.324276,"{'original': 7.5, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,4.0,8.0,2.0,,,,4.0,2.0,1.0,1.0,7.0,,1.0,1.0,,1.0,1.0,,,3.0,3.0,,,,,,,,,,
Rodri,rodri,Rodri,M,16,191,93944,M,Rodri,827606,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,835401600,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}, 'shortNameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}}",102.0,91.0,11.0,10.0,17.0,18.0,74.0,84.0,10.0,,,,75.0,116.0,9.1,0.171562,"{'original': 9.1, 'alternative': 8.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,4.0,5.0,1.0,2.0,1.0,,2.0,,1.0,,15.0,0.341,1.0,,1.0,1.0,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,0.2728,,,,,
Bernardo Silva,bernardo-silva,B. Silva,M,20,173,65986,M,BSilva,331209,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,776476800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرناردو سيلفا', 'hi': 'बर्नार्डो सिल्वा', 'bn': 'বার্নার্ডো সিলভা'}, 'shortNameTranslation': {'ar': 'ب. سيلفا', 'hi': 'बी. सिल्वा', 'bn': 'বি. সিলভা'}}",38.0,33.0,2.0,2.0,11.0,12.0,22.0,27.0,2.0,,,,75.0,48.0,7.0,0.534235,"{'original': 7, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,5.0,2.0,1.0,2.0,1.0,,2.0,2.0,,2.0,10.0,0.566,2.0,,,,,2.0,,,,,1.0,,,0.4109,1.0,1.0,,,
Jérémy Doku,jeremy-doku,J. Doku,M,11,173,68596,M,Dokss,934386,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1022457600,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيريمي دوكو', 'hi': 'जेरेमी डोकू', 'bn': 'জেরেমি ডকু'}, 'shortNameTranslation': {'ar': 'ج. دوكو', 'hi': 'जे. डोकू', 'bn': 'জে. ডকু'}}",42.0,38.0,1.0,1.0,5.0,7.0,34.0,38.0,5.0,,,,80.0,63.0,8.0,0.184317,"{'original': 8, 'alternative': 7.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,5.0,7.0,,2.0,,,1.0,,1.0,,13.0,0.1367,4.0,,,,,2.0,,8.0,5.0,1.0,2.0,1.0,,0.1382,,,1.0,,
Phil Foden,phil-foden,P. Foden,M,47,171,188988,M,Foden,859765,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,959472000,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيل فودين', 'hi': 'फिल फोडेन', 'bn': 'ফিল ফোডেন'}, 'shortNameTranslation': {'ar': 'ف. فودين', 'hi': 'पी. फोडेन', 'bn': 'পি. ফোডেন'}}",54.0,50.0,,,4.0,6.0,46.0,49.0,3.0,,,,80.0,79.0,10.0,0.530599,"{'original': 10, 'alternative': 9.8}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,5.0,6.0,,1.0,1.0,,2.0,2.0,1.0,,14.0,0.4745,3.0,,,1.0,,3.0,,7.0,3.0,,3.0,1.0,3.0,1.4198,,,,,
Jack Grealish,jack-grealish,J. Grealish,M,18,180,61911,M,JGrealish,189061,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,810691200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك غريليش', 'hi': 'जैक ग्रेलिश', 'bn': 'জ্যাক গ্রেলিশ'}, 'shortNameTranslation': {'ar': 'ج. غريليش', 'hi': 'जे. ग्रेलिश', 'bn': 'জে গ্রেলিশ'}}",53.0,46.0,,,5.0,6.0,41.0,48.0,5.0,,,,90.0,71.0,8.3,0.436026,"{'original': 8.3, 'alternative': 7.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,2.0,8.0,,,,1.0,1.0,,5.0,1.0,12.0,0.0963,3.0,,,,,2.0,2.0,3.0,2.0,,,2.0,,,,,,,
