name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,averageX,averageY,pointsCount,team
Jhon Durán,,,jhon-duran,J. Durán,F,10,30568,M,jaderduran9,974577,"{'nameTranslation': {'ar': 'جون دوران', 'hi': 'जॉन डुरान', 'bn': 'জন ডুরান'}, 'shortNameTranslation': {'ar': 'ج. دوران', 'hi': 'जे. डुरान', 'bn': 'জে. ডুরান'}}",55.5,54.116666666667,6,home
Nicolò Zaniolo,,,nicolo-zaniolo,N. Zaniolo,F,10,9354,M,nicolozaniolo,864898,"{'nameTranslation': {'ar': 'نيكولو زانيولو', 'hi': 'निकोलो ज़ेनिओलो', 'bn': 'নিকোলো জানিওলো'}, 'shortNameTranslation': {'ar': 'ن. زانيولو', 'hi': 'एन. ज़ेनिओलो', 'bn': 'এন. জানিওলো'}}",62.127272727273,57.581818181818,11,home
Moussa Diaby,,,diaby-moussa,M. Diaby,M,19,7519,M,moussadiaby,855817,"{'nameTranslation': {'ar': 'موسى ديابي', 'hi': 'डायबी, मूसा', 'bn': 'ডায়াবি, মুসা'}, 'shortNameTranslation': {'ar': 'م. ديابي', 'hi': 'एम. डायबी', 'bn': 'এম. ডায়াবি'}}",82.425,43.45,4,home
Ezri Konsa,,,ezri-konsa,E. Konsa,D,4,3125,M,,827679,"{'nameTranslation': {'ar': 'إزري كونسا', 'hi': 'एज़री कोंसा', 'bn': 'ইজরি কনসা'}, 'shortNameTranslation': {'ar': 'إ. كونسا', 'hi': 'ई. कोंसा', 'bn': 'ই. কনসা'}}",53.771052631579,17.350877192982,114,home
Leon Bailey,,,leon-bailey,L. Bailey,M,31,7430,M,leonbailey,808590,"{'nameTranslation': {'ar': 'ليون بيلي', 'hi': 'लियोन बेली', 'bn': 'লিওন বেইলি'}, 'shortNameTranslation': {'ar': 'ل. بيلي', 'hi': 'एल. बेली', 'bn': 'এল. বেইলি'}}",76.482666666667,16.504,75,home
Álex Moreno,,,alex-moreno,Á. Moreno,D,24,1209,M,,294593,"{'nameTranslation': {'ar': 'أليكس مورينو', 'hi': 'एलेक्स मोरेनो', 'bn': 'অ্যালেক্স মোরেনো'}, 'shortNameTranslation': {'ar': 'أ. مورينو', 'hi': 'ए. मोरेनो', 'bn': 'আ. মোরেনো'}}",59.814285714286,86.414285714286,7,home
Ollie Watkins,,,ollie-watkins,O. Watkins,F,11,19613,M,OllieWatkins,555386,"{'nameTranslation': {'ar': 'أولي واتكينز', 'hi': 'ओली वॉटकिंस', 'bn': 'অলি ওয়াটকিন্স'}, 'shortNameTranslation': {'ar': 'أ. واتكينز', 'hi': 'ओ. वॉटकिंस', 'bn': 'ও. ওয়াটকিন্স'}}",70.802777777778,54.719444444444,36,home
John McGinn,,,john-mcginn,J. McGinn,M,7,3796,M,,250223,"{'nameTranslation': {'ar': 'جون ماكجين', 'hi': 'जॉन मैकगिन', 'bn': 'জন ম্যাকগিন'}, 'shortNameTranslation': {'ar': 'ج. ماكجين', 'hi': 'जे. मैकगिन', 'bn': 'জে. ম্যাকগিন'}}",61.044444444444,30.073611111111,72,home
Morgan Rogers,,,morgan-rogers,M. Rogers,M,27,12094,M,mrogers,948261,"{'nameTranslation': {'ar': 'مورغان روجرز', 'hi': 'मॉर्गन रोजर्स', 'bn': 'মরগান রজার্স'}, 'shortNameTranslation': {'ar': 'م. روجرز', 'hi': 'एम. रोजर्स', 'bn': 'এম. রজার্স'}}",54.972549019608,79.556862745098,51,home
Youri Tielemans,,,youri-tielemans,Y. Tielemans,M,8,9703,M,youritielemans,331737,"{'nameTranslation': {'ar': 'يوري تيليمانس', 'hi': 'यूरी टिएलमान्स', 'bn': 'ইউরি টাইলেম্যানস'}, 'shortNameTranslation': {'ar': 'ي. تيليمانس', 'hi': 'वाई. टिएलमान्स', 'bn': 'ওয়াই. টাইলেম্যানস'}}",55.128571428571,37.172527472527,91,home
Emiliano Martínez,,,emiliano-martinez,E. Martínez,G,23,62646,M,EmiMartínez,158263,"{'nameTranslation': {'ar': 'إميليانو مارتينيز', 'hi': 'एमिलियानो मार्टिनेज', 'bn': 'এমিলিয়ানো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'hi': 'ई. मार्टिनेज', 'bn': 'ই. মার্টিনেজ'}}",13.830188679245,49.869811320755,53,home
Diego Carlos,,,diego-carlos,D. Carlos,D,34,2789,M,,604232,"{'nameTranslation': {'ar': 'دييغو كارلوس', 'hi': 'डिएगो कार्लोस', 'bn': 'দিয়েগো কার্লোস'}, 'shortNameTranslation': {'ar': 'د. كارلوس', 'hi': 'डी. कार्लोस', 'bn': 'ডি. কার্লোস'}}",35.844827586207,41.48275862069,87,home
Pau Torres,,,pau-torres,P. Torres,D,14,4120,M,pauttorres,864169,"{'nameTranslation': {'ar': 'باو توريس', 'hi': 'पाऊ टोरेस', 'bn': 'পাউ টরেস'}, 'shortNameTranslation': {'ar': 'ب. توريس', 'hi': 'पी. टोरेस', 'bn': 'পি. টরেস'}}",43.261538461538,74.510256410256,78,home
Lucas Digne,,,lucas-digne,L. Digne,D,12,4445,M,LDigne,96538,"{'nameTranslation': {'ar': 'لوكاس دين', 'hi': 'लुकास डिग्ने', 'bn': 'লুকাস ডিগনে'}, 'shortNameTranslation': {'ar': 'ل. دين', 'hi': 'एल. डिग्ने', 'bn': 'এল. ডিগনে'}}",58.935714285714,79.667142857143,70,home
Douglas Luiz,,,douglas-luiz,D. Luiz,M,12,11414,M,Douglas_Luiz,867887,"{'nameTranslation': {'ar': 'دوغلاس لويز', 'hi': 'डगलस लुइज़', 'bn': 'ডগলাস লুই'}, 'shortNameTranslation': {'ar': 'د. لويز', 'hi': 'डी. लुइज़', 'bn': 'ডি. লুইজ'}}",54.438888888889,63.485555555556,90,home
Mads Roerslev,Mads,Roerslev,mads-roerslev,M. Roerslev,D,2,470,M,,826057,"{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",44.484210526316,17.347368421053,19,away
Ivan Toney,,,ivan-toney,I. Toney,F,17,10125,M,ivantoney,290927,"{'nameTranslation': {'ar': 'إيفان توني', 'hi': 'इवान टोनी', 'bn': 'ইভান টোনি'}, 'shortNameTranslation': {'ar': 'إ. توني', 'hi': 'आई. टोनी', 'bn': 'আই. টনি'}}",49.463636363636,73.527272727273,11,away
Yehor Yarmolyuk,,,yarmoliuk-yehor,Y. Yarmolyuk,M,18,2447,M,,1031258,"{'nameTranslation': {'ar': 'يارموليوك، يهور', 'hi': 'यार्मोलीउक, योहोर', 'bn': 'ইয়ারমোলিক, ইহোর'}, 'shortNameTranslation': {'ar': 'ي. يارموليوك', 'hi': 'वाई. यार्मोलीउक', 'bn': 'ওয়াই. ইয়ারমোলিক'}}",44.476923076923,67.738461538462,13,away
Keane Lewis-Potter,,,keane-lewis-potter,K. Lewis-Potter,D,23,979,M,,972421,"{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'hi': 'कीन लुईस-पॉटर', 'bn': 'কিন লুইস-পটার'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'hi': 'के. लुईस-पॉटर', 'bn': 'কে. লুইস-পটার'}}",32.933333333333,75.3,9,away
Neal Maupay,,,neal-maupay,N. Maupay,F,9,2064,M,,268903,"{'nameTranslation': {'ar': 'نيل موباي', 'hi': 'नील मौपे', 'bn': 'নিল মাউপে'}, 'shortNameTranslation': {'ar': 'ن. موباي', 'hi': 'एन. मौपे', 'bn': 'এন. মাউপে'}}",62.22,66.06,5,away
Bryan Mbeumo,,,bryan-mbeumo,B. Mbeumo,M,19,89920,M,bryan_m19,927083,"{'nameTranslation': {'ar': 'برايان مبيومو', 'hi': 'ब्रायन मबेउमो', 'bn': 'ব্রায়ান এমবেউমো'}, 'shortNameTranslation': {'ar': 'ب. مبيومو', 'hi': 'बी. मबेउमो', 'bn': 'বি. এমবেউমো'}}",61.616666666667,28.5,42,away
Mathias Jensen,,,mathias-jensen,M. Jensen,M,8,973,M,,799251,"{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",53.788636363636,33.704545454545,44,away
Kristoffer Ajer,,,kristoffer-ajer,K. Ajer,D,20,1118,M,,576384,"{'nameTranslation': {'ar': 'كريستوفر آجير', 'hi': 'क्रिस्टोफ़र अजेर', 'bn': 'ক্রিস্টোফার আজের'}, 'shortNameTranslation': {'ar': 'ك. آجير', 'hi': 'के. अजेर', 'bn': 'কে. আজের'}}",36.197674418605,37.120930232558,43,away
Mark Flekken,,,mark-flekken,M. Flekken,G,1,2871,M,,171919,"{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",8.7051724137931,50.78275862069,58,away
Frank Onyeka,,,frank-onyeka,F. Onyeka,M,15,3717,M,,885864,"{'nameTranslation': {'ar': 'فرانك أونييكا', 'hi': 'फ्रैंक ओनेका', 'bn': 'ফ্রাঙ্ক ওনিয়েকা'}, 'shortNameTranslation': {'ar': 'ف. أونييكا', 'hi': 'एफ. ओनेका', 'bn': 'এফ. ওনিয়েকা'}}",42.271428571429,63.542857142857,7,away
Sergio Reguilón,,,sergio-reguilon,S. Reguilón,D,,6051,M,sergio_regui,858195,"{'nameTranslation': {'ar': 'سيرجيو ريغيلون', 'hi': 'सर्जियो रेगुइलोन', 'bn': 'সার্জিও রেগুইলন'}, 'shortNameTranslation': {'ar': 'س. ريغيلون', 'hi': 'एस. रेगुइलोन', 'bn': 'এস. রেগুইলন'}}",49.823076923077,81.674358974359,39,away
Vitaly Janelt,,,vitaly-janelt,V. Janelt,M,27,1013,M,,814873,"{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",35.762745098039,57.439215686275,51,away
Yoane Wissa,,,yoane-wissa,Y. Wissa,F,9,43905,M,yowissa,805123,"{'nameTranslation': {'ar': 'يوني ويسا', 'hi': 'योआने विस्सा', 'bn': 'জন উইসা'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'hi': 'वाई. विस्सा', 'bn': 'ওয়াই. উইসা'}}",58.819512195122,55.531707317073,41,away
Nathan Collins,,,nathan-collins,N. Collins,D,22,1469,M,,958916,"{'nameTranslation': {'ar': 'ناثان كولينز', 'hi': 'नाथन कोलिन्स', 'bn': 'নাথান কলিন্স'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'hi': 'एन. कोलिन्स', 'bn': 'এন. কলিন্স'}}",30.363636363636,75.302272727273,44,away
Zanka,,,zanka,Zanka,D,5,495,M,,26404,"{'nameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}, 'shortNameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}}",44.6375,25.378571428571,56,away
Mikkel Damsgaard,,,damsgaard-mikkel,M. Damsgaard,M,24,3573,M,,907072,"{'nameTranslation': {'ar': 'دامسغارد، ميكيل', 'hi': 'डैम्सगार्ड, मिकेल', 'bn': 'ডামসগার্ড, মিক্কেল'}, 'shortNameTranslation': {'ar': 'م. دامسغارد', 'hi': 'एम. डैम्सगार्ड', 'bn': 'এম. ড্যামসগার্ড'}}",47.502,77.762,50,away
