name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,unsuccessfulTouch,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,interceptionWon,totalTackle,errorLeadToAShot,keyPass,firstName,lastName,aerialLost,totalContest,fouls,wonTackle,penaltyConceded,wasFouled,goalAssist,accurateCross,wonContest,bigChanceCreated,blockedScoringAttempt,totalOffside,expectedGoals,shotOffTarget,onTargetScoringAttempt,penaltyWon,expectedGoalsOnTarget,sofascoreId,goals,outfielderBlock,hitWoodwork
Bernd Leno,bernd-leno,B. Leno,G,1,190,2729,M,103335,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,699667200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرند لينو', 'hi': 'बर्न्ड लेनो', 'bn': 'বার্ন্ড লেনো'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'hi': 'बी. लेनो', 'bn': 'বি. লেনো'}}",31.0,26.0,8.0,3.0,25.0,25.0,1.0,6.0,3.0,10.0,1.0,4.0,1.0,4.0,3.0,3.0,90.0,46.0,7.4,6.0,0.0002129,"{'original': 7.4, 'alternative': 6.9}",0,-0.2061,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2324,M,329417,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,818121600,"{'value': 9500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيموثي كاستاني', 'hi': 'टिमोथी कास्टेग्ने', 'bn': 'টিমোথি কাস্টেন'}, 'shortNameTranslation': {'ar': 'ت. كاستاني', 'hi': 'टी. कास्टेग्ने', 'bn': 'টি. কাস্টেন'}}",73.0,62.0,8.0,4.0,30.0,35.0,32.0,39.0,4.0,6.0,1.0,,,,,,90.0,102.0,7.1,14.0,0.0159784,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,2.0,6.0,1.0,1.0,4.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,4536,M,861972,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,946598400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين باسي', 'hi': 'केल्विन बैसी', 'bn': 'ক্যালভিন বাসসি'}, 'shortNameTranslation': {'ar': 'ك. باسي', 'hi': 'सी. बैसी', 'bn': 'সি. বাসসি'}}",83.0,75.0,10.0,5.0,65.0,65.0,10.0,18.0,,5.0,,,,,,,90.0,94.0,6.6,9.0,0.00223957,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,3.0,4.0,,,3.0,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
Tim Ream,tim-ream,T. Ream,D,3,185,550,M,118179,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,560390400,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيم ريم', 'hi': 'टिम रीम', 'bn': 'টিম রেম'}, 'shortNameTranslation': {'ar': 'ت. ريم', 'hi': 'टी. रीम', 'bn': 'টি. রেম'}}",79.0,75.0,3.0,2.0,58.0,60.0,17.0,19.0,1.0,3.0,,,,,,,90.0,86.0,6.2,4.0,0.00880867,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,3.0,1.0,,2.0,2.0,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2925,M,803174,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,870998400,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني روبنسون', 'hi': 'एंटोनी रॉबिन्सन', 'bn': 'অ্যান্টনি রবিনসন'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'hi': 'ए. रॉबिन्सन', 'bn': 'এ. রবিনসন'}}",57.0,39.0,6.0,1.0,21.0,26.0,19.0,34.0,3.0,6.0,2.0,,,,,,90.0,89.0,7.1,26.0,0.260803,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,2.0,2.0,5.0,1.0,,2.0,2.0,,1.0,,,,2.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0277,,,,,,,,
Harrison Reed,harrison-reed,H. Reed,M,6,176,269,M,365802,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,791164800,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاريسون ريد', 'hi': 'हैरिसन रीड', 'bn': 'হ্যারিসন রিড'}, 'shortNameTranslation': {'ar': 'ه. ريد', 'hi': 'एच. रीड', 'bn': 'এইচ. রিড'}}",75.0,67.0,6.0,5.0,33.0,37.0,34.0,38.0,1.0,10.0,2.0,,,,,,90.0,83.0,6.9,10.0,0.0408661,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,2.0,1.0,,2.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,0.0472,,,,,,,,
Tom Cairney,tom-cairney,T. Cairney,M,10,185,480,M,82566,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,664329600,"{'value': 795000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم كايرني', 'hi': 'टॉम केर्नी', 'bn': 'টম কেয়ারনে'}, 'shortNameTranslation': {'ar': 'ت. كايرني', 'hi': 'टी. केर्नी', 'bn': 'টি. কেয়ারনে'}}",65.0,59.0,1.0,1.0,24.0,26.0,35.0,41.0,,4.0,3.0,,,,,,89.0,89.0,7.7,14.0,0.0400939,"{'original': 7.7, 'alternative': 7.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,2.0,,4.0,8.0,,1.0,1.0,3.0,,,,,,,3.0,2.0,,5.0,,,,,1.0,,0.1391,1.0,1.0,1.0,0.0145,,,,
Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,7053,M,352770,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,831081600,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس إيووبي', 'hi': 'एलेक्स इवोबी', 'bn': 'অ্যালেক্স ইওবি'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'hi': 'ए. इवोबी', 'bn': 'এ. ইওবি'}}",48.0,38.0,4.0,3.0,12.0,13.0,27.0,37.0,1.0,3.0,4.0,,,,,,90.0,66.0,8.0,16.0,0.56801,"{'original': 8, 'alternative': 7.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,2.0,2.0,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,0.9954,1.0,3.0,,1.3483,alexanderiwobi,1.0,,
Andreas Pereira,andreas-pereira,A. Pereira,M,18,177,13772,M,285949,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,820454400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",32.0,27.0,5.0,2.0,5.0,6.0,24.0,35.0,,4.0,4.0,,,,,,76.0,49.0,6.7,17.0,0.106367,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,9.0,,2.0,2.0,,1.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,,2.0,,,,,,,,,,andreaspereira,,,
Willian,willian,Willian,F,88,175,9705,M,31417,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,587088000,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}, 'shortNameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}}",56.0,51.0,3.0,3.0,18.0,18.0,33.0,39.0,,5.0,,,,,,,89.0,63.0,8.6,7.0,0.133663,"{'original': 8.6, 'alternative': 8.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,2.0,3.0,1.0,1.0,,,,2.0,,,,,,,,3.0,,,,,,,1.5768,,2.0,,1.988,willianborges88,2.0,,
