name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,ballRecovery,unsuccessfulTouch,fouls,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,interceptionWon,totalTackle,wonTackle,errorLeadToAGoal,wasFouled,expectedGoals,expectedGoalsOnTarget,keyPass,firstName,lastName,aerialLost,aerialWon,shotOffTarget,hitWoodwork,dispossessed,penaltyWon,bigChanceMissed,goals,penaltyMiss,penaltySave,penaltyFaced,punches,outfielderBlock,penaltyConceded,bigChanceCreated,totalOffside,goalAssist
Alisson,alisson,Alisson,G,1,193,66760,M,AlissonBecker,243609,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,717984000,"{'value': 18700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}, 'shortNameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}}",45.0,37.0,13.0,5.0,34.0,35.0,3.0,10.0,1.0,8.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,90.0,57.0,7.2,10.0,0.00053505,"{'original': 7.2, 'alternative': 7}",0,0.2569,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,208066,M,TrentAA,795064,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907718400,"{'value': 72000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ترنت ألكسندر-أرنولد', 'hi': 'ट्रेंट अलेक्जेंडर-अर्नोल्ड', 'bn': 'ট্রেন্ট আলেকজান্ডার-আর্নল্ড'}, 'shortNameTranslation': {'ar': 'ت. ألكسندر-أرنولد', 'hi': 'टी. अलेक्जेंडर-अर्नोल्ड', 'bn': 'টি. আলেকজান্ডার-আর্নল্ড'}}",54.0,45.0,12.0,4.0,19.0,19.0,27.0,43.0,1.0,7.0,2.0,,,,,,,75.0,83.0,7.2,19.0,0.120833,"{'original': 7.2, 'alternative': 7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,8.0,1.0,5.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1318,0.2548,3.0,,,,,,,,,,,,,,,,,,,
Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27389,M,ibrahimakonate,826215,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,927590400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيما كوناتي', 'hi': 'इब्राहीमा कोनाटे', 'bn': 'ইব্রাহিম কোনাতে'}, 'shortNameTranslation': {'ar': 'إ. كوناتي', 'hi': 'आई. कोनाटे', 'bn': 'আই. কোনাতে'}}",69.0,64.0,4.0,2.0,49.0,52.0,15.0,17.0,3.0,2.0,,,,,,,,90.0,81.0,7.0,5.0,0.00446589,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,8.0,2.0,2.0,2.0,,,2.0,,3.0,2.0,,1.0,0.0478,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,
Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,103743,M,VvD,151545,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,678931200,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيرجيل فان دايك', 'hi': 'वर्जिल वान डिक', 'bn': 'ভার্জিল ভ্যান ডাইক'}, 'shortNameTranslation': {'ar': 'ف. فان دايك', 'hi': 'वी. वान डिक', 'bn': 'ভি. ভ্যান ডাইক'}}",62.0,60.0,2.0,1.0,48.0,48.0,12.0,14.0,1.0,3.0,,,,,,,,90.0,76.0,7.7,2.0,0.0194121,"{'original': 7.7, 'alternative': 7.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,5.0,,,,1.0,,5.0,5.0,,,,,0.2082,0.4944,1.0,,,1.0,5.0,2.0,1.0,,,,,,,,,,,,,
Andrew Robertson,andrew-robertson,A. Robertson,D,26,178,25243,M,andyrobertson94,262911,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,763344000,"{'value': 12800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرو روبرتسون', 'hi': 'एंड्रयू रॉबर्टसन', 'bn': 'অ্যান্ড্রু রবার্টসন'}, 'shortNameTranslation': {'ar': 'أ. روبرتسون', 'hi': 'ए. रॉबर्टसन', 'bn': 'এ. রবার্টসন'}}",73.0,65.0,4.0,2.0,35.0,40.0,34.0,39.0,2.0,13.0,,,,,,,,90.0,91.0,7.4,13.0,0.214615,"{'original': 7.4, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,4.0,7.0,,1.0,,,,1.0,1.0,3.0,2.0,,,,,3.0,,,1.0,4.0,,,,,,,,,,,,,,,
Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,187,66101,M,DomSzobo,869856,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,972432000,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سوبوسلاي', 'hi': 'डोमिनिक स्ज़ोबोस्ज़लाई', 'bn': 'ডমিনিক সোবোসজলাই'}, 'shortNameTranslation': {'ar': 'د. سوبوسلاي', 'hi': 'डी. स्ज़ोबोस्ज़लाई', 'bn': 'ডি.সোবোসজলাই'}}",71.0,66.0,5.0,4.0,38.0,41.0,28.0,30.0,3.0,6.0,1.0,,,,,,,90.0,90.0,7.7,9.0,0.0486718,"{'original': 7.7, 'alternative': 7.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,,5.0,3.0,1.0,2.0,,1.0,1.0,1.0,,1.0,0.1185,0.1655,1.0,,,,,,,1.0,1.0,,,,,,,,,,,
Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,73401,M,Macca10,895324,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,914457600,"{'value': 93000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكسيس ماك أليستر', 'hi': 'एलेक्सिस मैक एलिस्टर', 'bn': 'অ্যালেক্সিস ম্যাক অ্যালিস্টার'}, 'shortNameTranslation': {'ar': 'أ. ماك أليستر', 'hi': 'ए. मैक एलिस्टर', 'bn': 'এ. ম্যাক অ্যালিস্টার'}}",50.0,40.0,4.0,3.0,18.0,20.0,22.0,30.0,3.0,6.0,,1.0,,,,,,58.0,62.0,6.3,11.0,0.0482965,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,8.0,1.0,3.0,2.0,,,2.0,,2.0,1.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,
Cody Gakpo,cody-gakpo,C. Gakpo,M,18,193,53434,M,CodyGakpo,862967,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,926035200,"{'value': 67000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كودي جاكبو', 'hi': 'कोडी गाकपो', 'bn': 'কোডি গাকপো'}, 'shortNameTranslation': {'ar': 'ك. جاكبو', 'hi': 'सी. गाकपो', 'bn': 'সি. গাকপো'}}",25.0,20.0,1.0,,8.0,9.0,12.0,16.0,3.0,3.0,2.0,1.0,,,,,,62.0,37.0,7.1,7.0,0.037307,"{'original': 7.1, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,6.0,2.0,2.0,2.0,,2.0,1.0,,1.0,1.0,,1.0,0.2415,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,
Mohamed Salah,mohamed-salah,M. Salah,M,11,175,561305,M,MoSalah,159665,"{'alpha2': 'EG', 'alpha3': 'EGY', 'name': 'Egypt', 'slug': 'egypt'}",EUR,708566400,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد صلاح', 'hi': 'मोहम्मद सलाह', 'bn': 'মোহাম্মদ সালাহ'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'hi': 'एम. सलाह', 'bn': 'এম. সালাহ'}}",32.0,28.0,1.0,1.0,6.0,7.0,22.0,26.0,9.0,2.0,1.0,,,,,,,86.0,48.0,6.7,12.0,0.107569,"{'original': 6.7, 'alternative': 6.5}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,2.0,,3.0,,3.0,,,,1.0,1.0,,1.0,1.2309,2.4103,2.0,,,3.0,,2.0,,3.0,,2.0,1.0,1.0,,,,,,,,
Diogo Jota,diogo-jota,D. Jota,F,,178,33671,M,DiogoJ18,606164,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,849657600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو جوتا', 'hi': 'डियोगो जोटा', 'bn': 'ডিওগো জোটা'}, 'shortNameTranslation': {'ar': 'د. جوتا', 'hi': 'डी. जोटा', 'bn': 'ডি. জোটা'}}",37.0,26.0,1.0,1.0,7.0,8.0,19.0,29.0,7.0,3.0,6.0,2.0,,,,,,76.0,60.0,8.2,20.0,0.115745,"{'original': 8.2, 'alternative': 8}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,8.0,1.0,4.0,2.0,2.0,1.0,,1.0,1.0,,,2.0,0.6913,1.0604,2.0,,,2.0,3.0,2.0,,1.0,,,1.0,,,,,,,,,
