name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,sofascoreId,totalCross,duelLost,duelWon,totalContest,wonContest,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,keyPass,aerialLost,aerialWon,totalClearance,unsuccessfulTouch,fouls,challengeLost,dispossessed,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,expectedGoals,expectedGoalsOnTarget,accurateCross,goals,hitWoodwork,goalAssist,bigChanceCreated,goodHighClaim,savedShotsFromInsideTheBox,punches,errorLeadToAShot,bigChanceMissed
Thomas Kaminski,thomas-kaminski,T. Kaminski,G,1,190.0,558,M,45959,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,719798400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس كامينسكي', 'hi': 'थॉमस कामिन्स्की', 'bn': 'টমাস কামিনস্কি'}, 'shortNameTranslation': {'ar': 'ت. كامينسكي', 'hi': 'टी. कामिन्स्की', 'bn': 'টি. কামিনস্কি'}}",29.0,17.0,28.0,16.0,2.0,4.0,15.0,25.0,8.0,1.0,1.0,1.0,90.0,32.0,6.8,12.0,0.00961914,"{'original': 6.8, 'alternative': 6.3}",0,-0.7226,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issa Kaboré,issa-kabore,I. Kaboré,D,12,180.0,17342,M,1006189,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,989625600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى كابوري', 'hi': 'इस्सा काबोरे', 'bn': 'ইসা কাবোরে'}, 'shortNameTranslation': {'ar': 'ع. كابوري', 'hi': 'आई. काबोरे', 'bn': 'আই. কাবোরে'}}",31.0,23.0,4.0,1.0,8.0,11.0,15.0,25.0,3.0,,,,90.0,66.0,7.5,19.0,0.00533879,"{'original': 7.5, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,issa_kabore_29,5.0,2.0,10.0,3.0,1.0,1.0,2.0,5.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,
Teden Mengi,teden-mengi,T. Mengi,D,15,183.0,793,M,979233,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020124800,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",33.0,24.0,8.0,2.0,11.0,11.0,13.0,22.0,5.0,,,,90.0,45.0,6.7,10.0,0.00518316,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,2.0,5.0,1.0,1.0,,1.0,3.0,2.0,,1.0,1.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,
Reece Burke,reece-burke,R. Burke,D,32,189.0,101,M,372342,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,841622400,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس بيرك', 'hi': 'रीस बर्क', 'bn': 'রিস বার্ক'}, 'shortNameTranslation': {'ar': 'ر. بيرك', 'hi': 'आर. बर्क', 'bn': 'আর. বার্ক'}}",37.0,28.0,6.0,,19.0,20.0,9.0,17.0,4.0,,,,90.0,53.0,7.0,9.0,0.00582005,"{'original': 7, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,2.0,8.0,,,,2.0,4.0,2.0,1.0,,1.0,3.0,6.0,,1.0,,,,,,,,,,,,,,,,,
Daiki Hashioka,daiki-hashioka,D. Hashioka,D,8,185.0,1034,M,897334,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,926899200,"{'value': 1700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دايكي هاشيوكا', 'hi': 'दाइकी हाशिओका', 'bn': 'ডাইকি হাশিওকা'}, 'shortNameTranslation': {'ar': 'د. هاشيوكا', 'hi': 'डी. हाशिओका', 'bn': 'ডি. হাশিওকা'}}",24.0,16.0,3.0,1.0,1.0,4.0,15.0,23.0,4.0,,,,62.0,41.0,6.6,16.0,0.013741,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,3.0,2.0,2.0,,,,,1.0,,,,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,
Ross Barkley,ross-barkley,R. Barkley,M,6,188.0,2380,M,98435,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,755049600,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",60.0,50.0,5.0,2.0,14.0,17.0,36.0,43.0,7.0,,,,90.0,79.0,6.9,17.0,0.06528,"{'original': 6.9, 'alternative': 6.6}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,11.0,7.0,4.0,2.0,,,2.0,1.0,1.0,1.0,,2.0,1.0,2.0,1.0,5.0,3.0,2.0,2.0,1.0,0.1302,0.2794,,,,,,,,,,
Jordan Clark,jordan-clark,J. Clark,M,18,183.0,124,M,150477,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748656000,"{'value': 590000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان كلارك', 'hi': 'जॉर्डन क्लार्क', 'bn': 'জর্ডান ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ج. كلارك', 'hi': 'जे. क्लार्क', 'bn': 'জে. ক্লার্ক'}}",54.0,41.0,3.0,1.0,17.0,19.0,26.0,38.0,10.0,,,,90.0,78.0,7.8,17.0,0.0895387,"{'original': 7.8, 'alternative': 7.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,3.0,8.0,8.0,3.0,1.0,,2.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,,5.0,,,1.0,2.0,0.317,0.3305,2.0,1.0,,,,,,,,
Alfie Doughty,alfie-doughty,A. Doughty,M,14,183.0,576,M,945792,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,945734400,"{'value': 5700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي دوتي', 'hi': 'अल्फी डौटी', 'bn': 'আলফি ডাউটি'}, 'shortNameTranslation': {'ar': 'أ. دوتي', 'hi': 'ए. डौटी', 'bn': 'এ. ডাউটি'}}",26.0,20.0,6.0,2.0,8.0,8.0,12.0,29.0,3.0,,,,90.0,55.0,6.9,19.0,0.0106647,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,11.0,2.0,2.0,1.0,,,2.0,2.0,1.0,,,1.0,,,1.0,1.0,,,,1.0,,0.0451,0.0976,,,,,,,,,,
Andros Townsend,andros-townsend,A. Townsend,F,30,181.0,609,M,47992,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,679622400,"{'value': 600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندروس تاونسيند', 'hi': 'एंड्रोस टाउनसेंड', 'bn': 'অ্যান্ড্রোস টাউনসেন্ড'}, 'shortNameTranslation': {'ar': 'أ. تاونسيند', 'hi': 'ए. टाउनसेंड', 'bn': 'এ. টাউনসেন্ড'}}",37.0,32.0,1.0,1.0,7.0,7.0,26.0,33.0,4.0,,,,62.0,46.0,6.7,12.0,0.0361681,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,3.0,6.0,,1.0,,,,,,,3.0,1.0,,,1.0,1.0,,3.0,,,,,,1.0,,,,,,,,,
Tahith Chong,tahith-chong,T. Chong,M,24,185.0,1675,M,825845,"{'alpha2': 'CW', 'alpha3': 'CUW', 'name': 'Curacao', 'slug': 'curacao'}",EUR,944265600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايث تشونغ', 'hi': 'ताहित चोंग', 'bn': 'তাহিথ চং'}, 'shortNameTranslation': {'ar': 'ت. تشونغ', 'hi': 'टी. चोंग', 'bn': 'টি. চং'}}",22.0,17.0,2.0,,6.0,7.0,11.0,16.0,2.0,,,,80.0,42.0,6.7,12.0,0.0388566,"{'original': 6.7, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,6.0,4.0,2.0,,,1.0,1.0,1.0,3.0,1.0,,,1.0,1.0,,1.0,3.0,2.0,,,0.1637,,,,,,,,,,,
