name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,accurateOppositionHalfPasses,aerialLost,aerialWon,duelLost,duelWon,interceptionWon,unsuccessfulTouch,wasFouled,totalOffside,keyPass,blockedScoringAttempt,outfielderBlock,totalTackle,wonTackle,fouls,expectedGoals,goalAssist,challengeLost,totalContest,wonContest,bigChanceCreated,totalCross,dispossessed,errorLeadToAShot,onTargetScoringAttempt,expectedGoalsOnTarget,accurateCross,shotOffTarget,bigChanceMissed,goals,lastManTackle
Ederson,ederson,Ederson,G,31,188,51284,M,Ederson93,254491,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,745545600,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}}",40.0,37.0,10.0,7.0,37.0,37.0,3.0,2.0,6.0,2.0,2.0,2.0,1.0,90.0,51.0,7.2,4.0,0.00013177,"{'original': 7.2, 'alternative': 6.9}",0,-0.2933,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Walker,kyle-walker,K. Walker,D,2,183,28997,M,KyleWalker2,44614,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,643852800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كايل ووكر', 'hi': 'काइल वाकर', 'bn': 'কাইল ওয়াকার'}, 'shortNameTranslation': {'ar': 'ك. ووكر', 'hi': 'के. वाकर', 'bn': 'কে. ওয়াকার'}}",56.0,52.0,4.0,3.0,28.0,31.0,25.0,2.0,5.0,,,,,90.0,66.0,7.1,6.0,0.0310868,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,24.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Rúben Dias,ruben-dias,R. Dias,D,3,188,40658,M,RúbenD,318941,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,863568000,"{'value': 65000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبن دياز', 'hi': 'रुबेन डियास', 'bn': 'রুবেন ডায়াস'}, 'shortNameTranslation': {'ar': 'ر. دياز', 'hi': 'आर. डियास', 'bn': 'আর. ডায়াস'}}",85.0,81.0,7.0,5.0,59.0,62.0,23.0,2.0,4.0,,,,,90.0,93.0,7.1,4.0,0.0183951,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,22.0,1.0,2.0,2.0,3.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.1086,,,,,,,,,,,,,,,
Nathan Aké,nathan-ake,N. Aké,D,6,180,21377,M,nathanake,149663,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,793065600,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان آكي', 'hi': 'नाथन एके', 'bn': 'নাথান আকে'}, 'shortNameTranslation': {'ar': 'ن. آكي', 'hi': 'एन. एके', 'bn': 'এন. আকে'}}",62.0,55.0,3.0,,31.0,35.0,27.0,5.0,4.0,,,,,90.0,80.0,7.5,8.0,0.0260048,"{'original': 7.5, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,24.0,,2.0,1.0,7.0,1.0,,1.0,,1.0,,,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
Rodri,rodri,Rodri,M,16,191,93944,M,Rodri,827606,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,835401600,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}, 'shortNameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}}",101.0,97.0,9.0,9.0,53.0,54.0,48.0,1.0,9.0,,,,,90.0,113.0,7.3,8.0,0.0996345,"{'original': 7.3, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,44.0,,,5.0,3.0,,,,1.0,1.0,1.0,,3.0,3.0,,0.0373,,2.0,1.0,,,1.0,2.0,,,,,,,,
Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,23614,M,manuel_akanji,383560,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,806112000,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل أكانجي', 'hi': 'मैनुअल अकांजी', 'bn': 'ম্যানুয়েল আকানজি'}, 'shortNameTranslation': {'ar': 'م. أكانجي', 'hi': 'एम. अकांजी', 'bn': 'এম. আকানজি'}}",83.0,75.0,4.0,2.0,38.0,40.0,43.0,5.0,6.0,,,,,90.0,97.0,6.9,12.0,0.0330519,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,37.0,4.0,4.0,4.0,7.0,,2.0,1.0,,,,,2.0,1.0,2.0,,,,,,,,,1.0,,,,,,,
Phil Foden,phil-foden,P. Foden,M,47,171,188988,M,Foden,859765,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,959472000,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيل فودين', 'hi': 'फिल फोडेन', 'bn': 'ফিল ফোডেন'}, 'shortNameTranslation': {'ar': 'ف. فودين', 'hi': 'पी. फोडेन', 'bn': 'পি. ফোডেন'}}",33.0,27.0,1.0,1.0,3.0,4.0,31.0,2.0,4.0,,,,,90.0,51.0,7.4,11.0,0.0248393,"{'original': 7.4, 'alternative': 7.1}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,24.0,,,4.0,4.0,1.0,,3.0,1.0,,1.0,,1.0,1.0,,0.1583,,2.0,1.0,,,2.0,1.0,,3.0,0.5418,,,,,
Julián Alvarez,julian-alvarez,J. Álvarez,F,19,170,228751,M,LaAraña,944656,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,949276800,"{'value': 97000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوليان ألفاريز', 'hi': 'जूलियन अल्वारेज़', 'bn': 'জুলিয়ান আলভারেজ'}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जे. अल्वारेज़', 'bn': 'জে. আলভারেজ'}}",33.0,29.0,3.0,2.0,7.0,8.0,36.0,,2.0,,,,,90.0,55.0,7.3,15.0,0.260182,"{'original': 7.3, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,25.0,1.0,1.0,3.0,4.0,,2.0,1.0,,3.0,1.0,,1.0,,1.0,0.2269,,,1.0,1.0,,11.0,1.0,,,,3.0,1.0,,,
Bernardo Silva,bernardo-silva,B. Silva,M,20,173,65986,M,BSilva,331209,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,776476800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرناردو سيلفا', 'hi': 'बर्नार्डो सिल्वा', 'bn': 'বার্নার্ডো সিলভা'}, 'shortNameTranslation': {'ar': 'ب. سيلفا', 'hi': 'बी. सिल्वा', 'bn': 'বি. সিলভা'}}",65.0,57.0,4.0,2.0,26.0,26.0,42.0,1.0,4.0,,,,,90.0,86.0,7.6,14.0,0.0550731,"{'original': 7.6, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,32.0,1.0,,5.0,10.0,,1.0,2.0,,2.0,1.0,1.0,5.0,3.0,2.0,0.0265,,1.0,4.0,3.0,,3.0,,,,,1.0,,,,
Jérémy Doku,jeremy-doku,J. Doku,M,11,173,68596,M,Dokss,934386,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1022457600,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيريمي دوكو', 'hi': 'जेरेमी डोकू', 'bn': 'জেরেমি ডকু'}, 'shortNameTranslation': {'ar': 'ج. دوكو', 'hi': 'जे. डोकू', 'bn': 'জে. ডকু'}}",47.0,42.0,1.0,1.0,5.0,5.0,45.0,1.0,6.0,,,,,90.0,88.0,8.8,20.0,0.7365,"{'original': 8.8, 'alternative': 8.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,38.0,,,7.0,18.0,,7.0,2.0,,4.0,2.0,,4.0,3.0,1.0,0.0692,,1.0,15.0,12.0,1.0,3.0,2.0,,,,1.0,,,,
Erling Haaland,erling-haaland,E. Haaland,F,9,194,807088,M,EHaaland,839956,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,964137600,"{'value': 218000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيرلينغ هالاند', 'hi': 'एर्लिंग हालैंड', 'bn': 'এরলিং হালান্ড'}, 'shortNameTranslation': {'ar': 'إ. هالاند', 'hi': 'ई. हालैंड', 'bn': 'ই. হালান্ড'}}",9.0,7.0,,,3.0,3.0,7.0,2.0,4.0,,,,,90.0,20.0,7.7,3.0,0.0101869,"{'original': 7.7, 'alternative': 7.5}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,1.0,4.0,2.0,6.0,,,,,,,,2.0,1.0,1.0,0.7319,,,,,,1.0,,,2.0,1.2285,,3.0,1.0,1.0,
Scott Carson,scott-carson,S. Carson,G,,188,5491,M,scottpcarson33,716,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,494553600,,"{'nameTranslation': {'ar': 'سكوت كارسون', 'hi': 'स्कॉट कार्सन', 'bn': 'স্কট কারসন'}, 'shortNameTranslation': {'ar': 'س. كارسون', 'hi': 'एस. कार्सन', 'bn': 'এস. কারসন'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefan Ortega,stefan-ortega,S. Ortega,G,18,186,10750,M,stefan.ortega1,125274,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,721008000,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ستيفان أورتيغا', 'hi': 'स्टीफन ऑर्टेगा', 'bn': 'স্টেফান ওর্তেগা'}, 'shortNameTranslation': {'ar': 'س. أورتيغا', 'hi': 'एस. ऑर्टेगा', 'bn': 'এস. ওর্তেগা'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Lewis,rico-lewis,R. Lewis,D,82,170,17414,M,Rico_Lewis,1136731,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1100995200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريكو لويس', 'hi': 'रिको लुईस', 'bn': 'রিকো লুইস'}, 'shortNameTranslation': {'ar': 'ر. لويس', 'hi': 'आर. लुईस', 'bn': 'আর. লুইস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,Rico Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Stones,john-stones,J. Stones,D,5,188,22451,M,johnstones5,152077,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,770083200,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ستونز', 'hi': 'जॉन स्टोन्स', 'bn': 'জন স্টোনস'}, 'shortNameTranslation': {'ar': 'ج. ستونز', 'hi': 'जे. स्टोन्स', 'bn': 'জে. স্টোনস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,186,50283,M,JGvardiol,964994,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,1011744000,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوشكو غفارديول', 'hi': 'जोस्को ग्वार्डिओल', 'bn': 'জোসকো গোওয়ারদিওল'}, 'shortNameTranslation': {'ar': 'ي. غفارديول', 'hi': 'जे. ग्वार्डिओल', 'bn': 'জে. গোওয়ারদিওল'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalvin Phillips,kalvin-phillips,K. Phillips,M,44,177,7665,M,kalvinphillips,786028,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,817862400,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين فيليبس', 'hi': 'केल्विन फिलिप्स', 'bn': 'ক্যালভিন ফিলিপস'}, 'shortNameTranslation': {'ar': 'ك. فيليبس', 'hi': 'के. फिलिप्स', 'bn': 'কে. ফিলিপস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio Gómez,sergio-gomez,S. Gómez,M,17,171,4599,M,sergiogm_10,855835,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,968025600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرجيو غوميز', 'hi': 'सर्जियो गोमेज़', 'bn': 'সার্জিও গোমেজ'}, 'shortNameTranslation': {'ar': 'س. غوميز', 'hi': 'एस. गोमेज़', 'bn': 'এস. গোমেজ'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar Bobb,oscar-bobb,O. Bobb,M,52,174,17188,M,oscarbobb,1065216,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,1057968000,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسكار بوب', 'hi': 'ऑस्कर बॉब', 'bn': 'অস্কার বব'}, 'shortNameTranslation': {'ar': 'أ. بوب', 'hi': 'ओ. बॉब', 'bn': 'ও. বব'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,Oscar Bobb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisson,alisson,Alisson,G,1,193,66760,M,AlissonBecker,243609,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,717984000,"{'value': 18700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}, 'shortNameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}}",51.0,36.0,16.0,2.0,36.0,42.0,9.0,1.0,4.0,,2.0,4.0,,90.0,60.0,6.8,15.0,0.00020212,"{'original': 6.8, 'alternative': 7}",0,0.7703,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,
Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,208066,M,TrentAA,795064,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907718400,"{'value': 72000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ترنت ألكسندر-أرنولد', 'hi': 'ट्रेंट अलेक्जेंडर-अर्नोल्ड', 'bn': 'ট্রেন্ট আলেকজান্ডার-আর্নল্ড'}, 'shortNameTranslation': {'ar': 'ت. ألكسندر-أرنولد', 'hi': 'टी. अलेक्जेंडर-अर्नोल्ड', 'bn': 'টি. আলেকজান্ডার-আর্নল্ড'}}",41.0,31.0,8.0,4.0,14.0,15.0,30.0,2.0,10.0,,,,,90.0,69.0,7.3,18.0,0.0103745,"{'original': 7.3, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,17.0,,,10.0,5.0,2.0,,,,,,,3.0,1.0,,0.0318,,7.0,5.0,2.0,,4.0,,,1.0,0.4455,,,,1.0,1.0
Joël Matip,joel-matip,J. Matip,D,,195,3499,M,joelmatip,51501,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,681609600,,"{'nameTranslation': {'ar': 'جويل ماتيب', 'hi': 'जोएल माटिप', 'bn': 'জোয়েল মাতিপ'}, 'shortNameTranslation': {'ar': 'ج. ماتيب', 'hi': 'जे. माटिप', 'bn': 'জে. মাতিপ'}}",49.0,41.0,4.0,2.0,33.0,38.0,11.0,5.0,3.0,,,,,90.0,62.0,7.0,10.0,0.00426923,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,8.0,,1.0,3.0,2.0,,1.0,,,,,4.0,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,
Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,103743,M,VvD,151545,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,678931200,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيرجيل فان دايك', 'hi': 'वर्जिल वान डिक', 'bn': 'ভার্জিল ভ্যান ডাইক'}, 'shortNameTranslation': {'ar': 'ف. فان دايك', 'hi': 'वी. वान डिक', 'bn': 'ভি. ভ্যান ডাইক'}}",63.0,57.0,7.0,2.0,44.0,44.0,19.0,3.0,2.0,,,,,90.0,70.0,6.9,6.0,0.00271265,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,13.0,1.0,1.0,1.0,2.0,,,1.0,,,,1.0,,,,0.0543,,,,,,,,,1.0,0.0712,,,,,
Konstantinos Tsimikas,konstantinos-tsimikas,K. Tsimikas,D,12,178,16780,M,TK21,786259,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,831859200,"{'value': 17500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونستانتينوس تسيميكاس', 'hi': 'कोंस्टांटिनोस सिमिक्स', 'bn': 'কনস্টান্টিনোস সিমিকাস'}, 'shortNameTranslation': {'ar': 'ك. تسيميكاس', 'hi': 'के. सिमिक्स', 'bn': 'কে. সিমিকাস'}}",39.0,33.0,2.0,2.0,19.0,22.0,20.0,3.0,5.0,,,,,90.0,51.0,6.8,8.0,0.0612954,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,15.0,2.0,,2.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,3.0,,,,,1.0,,,,
Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,187,66101,M,DomSzobo,869856,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,972432000,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سوبوسلاي', 'hi': 'डोमिनिक स्ज़ोबोस्ज़लाई', 'bn': 'ডমিনিক সোবোসজলাই'}, 'shortNameTranslation': {'ar': 'د. سوبوسلاي', 'hi': 'डी. स्ज़ोबोस्ज़लाई', 'bn': 'ডি.সোবোসজলাই'}}",25.0,22.0,1.0,1.0,9.0,10.0,17.0,1.0,4.0,,,,,73.0,35.0,6.9,8.0,0.418997,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,13.0,,,6.0,1.0,,1.0,1.0,,1.0,1.0,,,,3.0,0.0294,,2.0,1.0,,1.0,2.0,,,,,,,,,
Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,73401,M,Macca10,895324,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,914457600,"{'value': 93000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكسيس ماك أليستر', 'hi': 'एलेक्सिस मैक एलिस्टर', 'bn': 'অ্যালেক্সিস ম্যাক অ্যালিস্টার'}, 'shortNameTranslation': {'ar': 'أ. ماك أليستر', 'hi': 'ए. मैक एलिस्टर', 'bn': 'এ. ম্যাক অ্যালিস্টার'}}",46.0,43.0,1.0,1.0,24.0,25.0,21.0,,8.0,,,,,85.0,60.0,6.6,5.0,0.0242933,"{'original': 6.6, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,19.0,2.0,1.0,10.0,5.0,2.0,,2.0,,,,,2.0,1.0,1.0,0.0152,,5.0,,,,,2.0,,,,,1.0,,,
