name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelWon,totalContest,wonContest,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,accurateCross,aerialWon,duelLost,challengeLost,bigChanceCreated,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,keyPass,unsuccessfulTouch,fouls,aerialLost,dispossessed,shotOffTarget,expectedGoals,goalAssist,penaltyConceded,onTargetScoringAttempt,goals,expectedGoalsOnTarget,blockedScoringAttempt,totalOffside,bigChanceMissed,punches,errorLeadToAGoal,penaltyWon
André Onana,,,andre-onana,A. Onana,G,24,190,55570,M,AndréOnana24,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",31.0,18.0,14.0,1.0,18.0,19.0,12.0,1.0,1.0,1.0,7.0,3.0,1.0,6.0,90.0,41.0,7.5,14.0,6.054e-05,"{'original': 7.5, 'alternative': 7.3}",0,0.8496,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22683,M,DDalot,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",41.0,37.0,3.0,2.0,25.0,28.0,14.0,7.0,1.0,1.0,6.0,,,,90.0,58.0,7.4,5.0,0.172179,"{'original': 7.4, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,13.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
Willy Kambwala,Willy Kambwala,,kambwala-willy,W. Kambwala,D,5,192,2092,M,,1136721,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1093392000,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كامبوالا، ويلي', 'hi': 'कम्बवाला, विली', 'bn': 'কাম্বওয়ালা, উইলি'}, 'shortNameTranslation': {'ar': 'و. كامبوالا', 'hi': 'डब्लू. कम्बवाला', 'bn': 'ডব্লিউ. কাম্বওয়ালা'}}",36.0,29.0,5.0,2.0,27.0,30.0,6.0,3.0,,,1.0,,,,90.0,46.0,6.4,8.0,0.00024669,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,,1.0,1.0,,,2.0,,2.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,27440,M,harrymaguire93,149380,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,731289600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ماغواير', 'hi': 'हैरी मैगुइर', 'bn': 'হ্যারি ম্যাগুইরে'}, 'shortNameTranslation': {'ar': 'ه. ماغواير', 'hi': 'एच. मैगुइर', 'bn': 'এইচ. ম্যাগুইরে'}}",58.0,42.0,9.0,3.0,36.0,43.0,15.0,10.0,,,5.0,,,,90.0,77.0,7.2,17.0,0.00207762,"{'original': 7.2, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,,,5.0,3.0,,,8.0,1.0,1.0,4.0,3.0,1.0,,,,2.0,1.0,1.0,0.023,,,,,,,,,,,
Aaron Wan-Bissaka,,,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18042,M,awbissaka,863653,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,880502400,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون وان بيساكا', 'hi': 'एरोन वान-बिसाका', 'bn': 'হারুন ওয়ান-বিসাকা'}, 'shortNameTranslation': {'ar': 'آ. وان-بيساكا', 'hi': 'ए. वान-बिसाका', 'bn': 'এ. ওয়ান-বিসাকা'}}",28.0,24.0,3.0,2.0,12.0,14.0,14.0,3.0,2.0,1.0,4.0,,,,90.0,49.0,6.7,7.0,0.0241788,"{'original': 6.7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,12.0,,,,3.0,,,3.0,2.0,1.0,2.0,,,2.0,2.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,
Casemiro,,,casemiro,Casemiro,M,18,185,88452,M,Casemiro,122951,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,698803200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}}",52.0,36.0,5.0,,14.0,25.0,27.0,5.0,,,9.0,,,,90.0,70.0,7.2,16.0,0.0191259,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,22.0,,,1.0,6.0,3.0,,6.0,2.0,1.0,4.0,4.0,,1.0,,1.0,2.0,,1.0,0.2277,,,,,,,,,,,
Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,180,54282,M,KobbieM,1142175,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113868800,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كوبي ماينو', 'hi': 'कोबी मैनू', 'bn': 'কোবি মাইনু'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'hi': 'के. मैनू', 'bn': 'কে. মাইনু'}}",18.0,14.0,,,9.0,11.0,7.0,8.0,3.0,2.0,3.0,,,,85.0,36.0,7.8,9.0,0.00746554,"{'original': 7.8, 'alternative': 7.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,,,,3.0,,,,2.0,1.0,5.0,3.0,1.0,,4.0,,2.0,,,0.0548,,,1.0,1.0,0.4682,,,,,,
Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,145162,M,AleGarnacho,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",13.0,10.0,,,6.0,6.0,9.0,2.0,1.0,,2.0,,,,80.0,26.0,6.6,8.0,0.0150054,"{'original': 6.6, 'alternative': 6.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,2.0,,,4.0,1.0,,,,2.0,2.0,1.0,,,1.0,1.0,,1.0,,0.1289,,,1.0,,0.0505,2.0,1.0,,,,
Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,216692,M,BrunoFernandes,288205,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,778982400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو فيرنانديز', 'hi': 'ब्रूनो फर्नांडीस', 'bn': 'ব্রুনো ফার্নান্দেস'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'hi': 'बी. फर्नांडीस', 'bn': 'বি. ফার্নান্দেস'}}",40.0,30.0,8.0,4.0,11.0,15.0,30.0,6.0,1.0,,6.0,,,,90.0,65.0,7.4,18.0,0.255183,"{'original': 7.4, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,20.0,5.0,1.0,,5.0,2.0,,5.0,,,3.0,2.0,3.0,1.0,1.0,,1.0,1.0,,0.2081,,,2.0,1.0,0.5841,,1.0,1.0,,,
Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,185,351448,M,Rashford,814590,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878256000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس راشفورد', 'hi': 'मार्कस रैशफोर्ड', 'bn': 'মার্কাস রাশফোর্ড'}, 'shortNameTranslation': {'ar': 'م. راشفورد', 'hi': 'एम. रैशफोर्ड', 'bn': 'এম. রাশফোর্ড'}}",21.0,17.0,5.0,2.0,5.0,5.0,18.0,5.0,4.0,2.0,2.0,,,,66.0,43.0,6.5,15.0,0.0131391,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,12.0,2.0,,1.0,8.0,,,3.0,,,2.0,2.0,,,5.0,1.0,3.0,2.0,,,,,,,,,1.0,,,,
