name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,shotOffTarget,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,expectedGoals,sofascoreId,blockedScoringAttempt,wonTackle,challengeLost,dispossessed,totalContest,lastManTackle,keyPass,bigChanceCreated,onTargetScoringAttempt,expectedGoalsOnTarget,wonContest,outfielderBlock,unsuccessfulTouch,goalAssist,goals,bigChanceMissed,penaltyConceded,penaltyWon,goodHighClaim
Odysseas Vlachodimos,,,odysseas-vlachodimos,O. Vlachodimos,G,1,191,2945,M,138149,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,767318400,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوديسياس فلاكوديموس', 'hi': 'ओडिसीस व्लाचोदिमोस', 'bn': 'ওডেসিয়াস ভ্লাচোডিমোস'}, 'shortNameTranslation': {'ar': 'أ. فلاكوديموس', 'hi': 'ओ. व्लाचोदिमोस', 'bn': 'ও. ভ্লাচোডিমোস'}}",27.0,23.0,12.0,8.0,17.0,17.0,6.0,10.0,5.0,2.0,1.0,2.0,90.0,31.0,6.4,4.0,0.00114086,"{'original': 6.4, 'alternative': 6}",0,-0.8654,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ola Aina,,,ola-aina,O. Aina,D,34,182,4048,M,800417,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,844732800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولا أينا', 'hi': 'ओला आइना', 'bn': 'ওলা আইনা'}, 'shortNameTranslation': {'ar': 'أ. أينا', 'hi': 'ओ. आइना', 'bn': 'ও. আইনা'}}",42.0,32.0,3.0,,16.0,19.0,17.0,26.0,6.0,,,,89.0,60.0,6.4,12.0,0.0652744,"{'original': 6.4, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,2.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0258,,,,,,,,,,,,,,,,,,,,
Moussa Niakhaté,,,moussa-niakhate,M. Niakhaté,D,19,190,6811,M,758168,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,826243200,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى نياكاتي', 'hi': 'मूसा नियाखाटे', 'bn': 'মুসা নিয়াখাটে'}, 'shortNameTranslation': {'ar': 'م. نياكاتي', 'hi': 'एम. नियाखाटे', 'bn': 'এম. নিয়াখাটে'}}",70.0,66.0,4.0,3.0,46.0,46.0,20.0,24.0,8.0,,,,90.0,81.0,6.8,5.0,0.0209407,"{'original': 6.8, 'alternative': 6.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,,3.0,2.0,1.0,,1.0,,,0.0613,niakhate,1.0,1.0,,,,,,,,,,,,,,,,,
Murillo,Murillo,,murillo,Murillo,D,5,180,9796,M,1199282,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1025740800,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",65.0,48.0,16.0,6.0,23.0,26.0,25.0,39.0,8.0,,,,90.0,82.0,6.5,21.0,0.105047,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,4.0,10.0,8.0,,1.0,4.0,4.0,,3.0,,murillosantiago40,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,
Harry Toffolo,,,harry-toffolo,H. Toffolo,D,15,183,379,M,358218,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,808790400,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري توفولو', 'hi': 'हैरी टोफ़ोलो', 'bn': 'হ্যারি টফোলো'}, 'shortNameTranslation': {'ar': 'ه. توفولو', 'hi': 'एच. टोफ़ोलो', 'bn': 'এইচ. টফোলো'}}",38.0,33.0,2.0,,12.0,13.0,25.0,33.0,3.0,,,,90.0,63.0,7.1,10.0,0.20225,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,8.0,4.0,,,3.0,3.0,,2.0,,3.0,,1.0,0.0168,,,1.0,1.0,1.0,,,4.0,1.0,1.0,0.0274,,,,,,,,,
Orel Mangala,,,orel-mangala,O. Mangala,M,20,178,1539,M,793988,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,890179200,"{'value': 9600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانغالا، أوريل', 'hi': 'मंगला, ओरेल', 'bn': 'মঙ্গলা, ওরেল'}, 'shortNameTranslation': {'ar': 'أ. مانغالا', 'hi': 'ओ. मंगला', 'bn': 'ও. মঙ্গলা'}}",45.0,41.0,3.0,3.0,23.0,23.0,18.0,23.0,3.0,,,,90.0,54.0,6.9,7.0,0.0235592,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,,,,2.0,,,3.0,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,2.0,,,,,,
Morgan Gibbs-White,,,morgan-gibbs-white,M. Gibbs-White,M,10,171,6717,M,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",37.0,28.0,1.0,1.0,5.0,8.0,27.0,37.0,5.0,,,,90.0,68.0,9.1,18.0,0.409804,"{'original': 9.1, 'alternative': 8.7}",7,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,8.0,4.0,2.0,4.0,5.0,10.0,1.0,2.0,1.0,1.0,2.0,,1.1342,Morgangibbs27,5.0,1.0,,,6.0,,4.0,1.0,1.0,0.9937,3.0,,2.0,1.0,1.0,,,,
Danilo,,,danilo,Danilo,M,35,177,4572,M,1064039,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988502400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}, 'shortNameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}}",23.0,15.0,1.0,,8.0,10.0,7.0,13.0,3.0,,,,63.0,26.0,6.1,8.0,0.0033169,"{'original': 6.1, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,2.0,1.0,1.0,1.0,,,,1.0,0.0678,Danilo,,,,,1.0,,,,,,1.0,,,,,1.0,,,
Nicolás Domínguez,,,nicolas-dominguez,N. Domínguez,M,16,179,3140,M,871765,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,898992000,"{'value': 14700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس دومينغيز', 'hi': 'निकोलस डोमिन्ग्यूज़', 'bn': 'নিকোলাস ডোমিংগুয়েজ'}, 'shortNameTranslation': {'ar': 'ن. دومينغيز', 'hi': 'एन. डोमिन्ग्यूज़', 'bn': 'এন. ডোমিঙ্গুয়েজ'}}",33.0,32.0,,,19.0,19.0,14.0,15.0,4.0,,,,69.0,44.0,6.8,3.0,0.0316017,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,1.0,1.0,2.0,3.0,,,2.0,2.0,,,,,,1.0,1.0,,,,1.0,,,,,,2.0,,,,,,
Anthony Elanga,,,anthony-elanga,A. Elanga,M,20,178,10539,M,979232,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,1019865600,"{'value': 48000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني إلانغا', 'hi': 'एंथनी एलंगा', 'bn': 'অ্যান্টনি এলাঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. إلانغا', 'hi': 'ए. एलंगा', 'bn': 'এ. এলাঙ্গা'}}",33.0,24.0,1.0,,2.0,5.0,22.0,32.0,5.0,,,,90.0,48.0,7.2,18.0,0.142713,"{'original': 7.2, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,,2.0,1.0,7.0,2.0,,,,,1.0,1.0,0.0735,anthonyelanga,,,1.0,1.0,2.0,,1.0,1.0,1.0,0.3516,,,1.0,,1.0,,,,
