name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,bigChanceCreated,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,dispossessed,outfielderBlock,interceptionWon,totalTackle,unsuccessfulTouch,totalCross,wonTackle,firstName,lastName,shotOffTarget,totalOffside,expectedGoals,accurateCross,challengeLost,totalContest,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,wasFouled,expectedGoalsOnTarget,errorLeadToAShot,sofascoreId,wonContest,goals,fouls,goodHighClaim,clearanceOffLine
Mark Flekken,mark-flekken,M. Flekken,G,1,194,2871,M,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",32.0,17.0,24.0,9.0,1.0,12.0,14.0,5.0,18.0,1.0,1.0,8.0,4.0,12.0,1.0,1.0,1.0,90.0,49.0,9.6,15.0,0.00554949,1.0,"{'original': 9.6, 'alternative': 9.3}",0,1.3347,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Collins,nathan-collins,N. Collins,D,22,193,1469,M,958916,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,988588800,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان كولينز', 'hi': 'नाथन कोलिन्स', 'bn': 'নাথান কলিন্স'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'hi': 'एन. कोलिन्स', 'bn': 'এন. কলিন্স'}}",30.0,27.0,1.0,1.0,,20.0,22.0,7.0,8.0,,7.0,2.0,,,,,,90.0,51.0,6.8,5.0,0.00460302,,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1038,M,855864,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,738633600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",21.0,19.0,5.0,4.0,,14.0,15.0,5.0,9.0,,7.0,2.0,,,,,,90.0,35.0,6.7,5.0,0.00606373,,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,1.0,1.0,,2.0,,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,
Ben Mee,ben-mee,B. Mee,D,15,180,600,M,137774,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,622339200,"{'value': 460000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن مي', 'hi': 'बेन मी', 'bn': 'বেন মে'}, 'shortNameTranslation': {'ar': 'ب. مي', 'hi': 'बी. मी', 'bn': 'বি. মি'}}",30.0,28.0,3.0,2.0,,20.0,22.0,8.0,8.0,,8.0,6.0,,,,,,90.0,53.0,6.9,5.0,0.00699027,,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,1.0,7.0,,,1.0,4.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,470,M,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",18.0,12.0,2.0,1.0,,5.0,8.0,7.0,12.0,,1.0,4.0,,,,,,76.0,26.0,6.7,8.0,0.00795467,,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,1.0,2.0,,1.0,1.0,,,2.0,,Mads,Roerslev,1.0,1.0,0.0489,,,,,,,,,,,,,,,
Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,973,M,799251,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,820454400,"{'value': 12500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",23.0,15.0,6.0,2.0,,8.0,10.0,9.0,16.0,,,3.0,,,,,,77.0,32.0,6.2,13.0,0.159237,1.0,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,,,1.0,,,,3.0,,,,,,,2.0,4.0,1.0,,,,,,,,,,,,
Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,8776,M,135256,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,763257600,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان نورغارد', 'hi': 'क्रिश्चियन नॉरगार्ड', 'bn': 'ক্রিশ্চিয়ান নরগার্ড'}, 'shortNameTranslation': {'ar': 'ك. نورغارد', 'hi': 'सी. नॉरगार्ड', 'bn': 'সি. নরগার্ড'}}",25.0,17.0,2.0,1.0,,12.0,15.0,5.0,10.0,,3.0,7.0,,,,,,90.0,42.0,6.5,11.0,0.00268237,,"{'original': 6.5, 'alternative': 6.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,2.0,3.0,5.0,1.0,,2.0,2.0,1.0,,1.0,,,1.0,,0.2626,,,1.0,1.0,1.0,1.0,1.0,0.0949,,,,,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1013,M,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",20.0,15.0,2.0,,,11.0,15.0,4.0,5.0,,1.0,10.0,,,,,,76.0,29.0,6.3,8.0,0.00676936,,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,3.0,3.0,1.0,1.0,,2.0,1.0,,2.0,,,,,,,1.0,,,,,1.0,,1.0,,,,,,
Sergio Reguilón,sergio-reguilon,S. Reguilón,D,,178,6051,M,858195,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,850694400,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرجيو ريغيلون', 'hi': 'सर्जियो रेगुइलोन', 'bn': 'সার্জিও রেগুইলন'}, 'shortNameTranslation': {'ar': 'س. ريغيلون', 'hi': 'एस. रेगुइलोन', 'bn': 'এস. রেগুইলন'}}",25.0,16.0,3.0,1.0,,11.0,15.0,6.0,15.0,,2.0,8.0,,,,,,79.0,49.0,7.0,16.0,0.0209555,,"{'original': 7, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,2.0,7.0,1.0,,3.0,4.0,1.0,5.0,1.0,,,,,0.0954,1.0,,3.0,,1.0,,,,,sergio_regui,2.0,,,,
Ivan Toney,ivan-toney,I. Toney,F,17,185,10125,M,290927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,826934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان توني', 'hi': 'इवान टोनी', 'bn': 'ইভান টোনি'}, 'shortNameTranslation': {'ar': 'إ. توني', 'hi': 'आई. टोनी', 'bn': 'আই. টনি'}}",17.0,10.0,,,,5.0,8.0,7.0,13.0,,1.0,3.0,,,,,,90.0,33.0,6.3,13.0,0.0879112,,"{'original': 6.3, 'alternative': 6.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,3.0,7.0,6.0,1.0,,1.0,2.0,1.0,4.0,,,,1.0,1.0,0.3543,2.0,2.0,1.0,1.0,,1.0,1.0,,,ivantoney,,,,,
