name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelLost,duelWon,challengeLost,onTargetScoringAttempt,goals,interceptionWon,totalTackle,wonTackle,fouls,totalOffside,expectedGoals,expectedGoalsOnTarget,keyPass,firstName,lastName,aerialWon,aerialLost,unsuccessfulTouch,dispossessed,totalContest,wonContest,wasFouled,shotOffTarget,bigChanceMissed,accurateCross,blockedScoringAttempt,bigChanceCreated,goalAssist,hitWoodwork,outfielderBlock,ownGoals
Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7041,M,guglielmovicario,553606,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,844646400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكاريو غولييلمو', 'hi': 'गुग्लिल्मो विकारियो', 'bn': 'উইলিয়াম দ্য ভিকারিও'}, 'shortNameTranslation': {'ar': 'ف. غولييلمو', 'hi': 'जी. विकारियो', 'bn': 'জি. ভিকারিও'}}",34.0,33.0,1.0,1.0,32.0,33.0,1.0,1.0,2.0,8.0,1.0,3.0,5.0,1.0,1.0,1.0,90.0,47.0,7.7,2.0,0.00030833,"{'original': 7.7, 'alternative': 7.3}",0,0.4033,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Porro,pedro-porro,P. Porro,D,23,173,11089,M,pedroporro29,913654,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,937180800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو بورو', 'hi': 'पेड्रो पोरो', 'bn': 'পেড্রো পোরো'}, 'shortNameTranslation': {'ar': 'ب. بورو', 'hi': 'पी. पोरो', 'bn': 'পি. পোরো'}}",59.0,52.0,3.0,,13.0,14.0,39.0,52.0,2.0,6.0,,,,,,,90.0,81.0,8.0,15.0,0.0597975,"{'original': 8, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.113,0.2339,1.0,,,,,,,,,,,,,,,,,,
Cristian Romero,cristian-romero,C. Romero,D,17,185,37279,M,cutiromero2,829932,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,893635200,"{'value': 56000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان روميرو', 'hi': 'क्रिस्टियन रोमेरो', 'bn': 'ক্রিশ্চিয়ান রোমেরো'}, 'shortNameTranslation': {'ar': 'ك. روميرو', 'hi': 'सी. रोमेरो', 'bn': 'সি. রোমেরো'}}",83.0,71.0,1.0,,40.0,46.0,31.0,37.0,5.0,5.0,,,,,,,90.0,93.0,6.9,12.0,0.0221907,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,6.0,1.0,,,,1.0,1.0,1.0,,,,,,,5.0,,,,,,,,,,,,,,,
Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,11821,M,mickyvdven,998247,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,987638400,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميكي فان دي فين', 'hi': 'मिकी वैन डे वेन', 'bn': 'মিকি ভ্যান ডি ভেন'}, 'shortNameTranslation': {'ar': 'م. فان دي فين', 'hi': 'एम. वैन डे वेन', 'bn': 'এম. ভ্যান ডি ভেন'}}",71.0,67.0,4.0,3.0,35.0,35.0,32.0,36.0,2.0,6.0,,,,,,,90.0,85.0,8.0,5.0,0.0185368,"{'original': 8, 'alternative': 8.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,8.0,,1.0,1.0,1.0,5.0,2.0,,,0.0529,0.4308,,,,3.0,2.0,1.0,,,,,,,,,,,,,
Destiny Udogie,destiny-udogie,D. Udogie,D,13,186,5987,M,udogiethree,983572,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1038441600,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديستيني أودوجي', 'hi': 'डेस्टिनी उडोगी', 'bn': 'ডেসটিনি উদোগি'}, 'shortNameTranslation': {'ar': 'د. أودوجي', 'hi': 'डी. उडोगी', 'bn': 'ডি. উদোগি'}}",45.0,40.0,3.0,2.0,14.0,14.0,26.0,32.0,1.0,4.0,,,,,,,90.0,59.0,6.8,9.0,0.0822697,"{'original': 6.8, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,5.0,3.0,,,,,,,2.0,,,,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,
Yves Bissouma,yves-bissouma,Y. Bissouma,M,8,181,14766,M,YB8,844842,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,841363200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيف بيسوما', 'hi': 'यवेस बिसौमा', 'bn': 'ইয়েভেস বিসুমা'}, 'shortNameTranslation': {'ar': 'إ. بيسوما', 'hi': 'वाई. बिसौमा', 'bn': 'ওয়াই. বিসুমা'}}",44.0,41.0,2.0,2.0,10.0,11.0,31.0,33.0,,4.0,,,,,,,45.0,53.0,7.1,5.0,0.0322098,"{'original': 7.1, 'alternative': 6.8}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,3.0,1.0,1.0,,,3.0,1.0,1.0,,0.1244,0.0377,,,,,,2.0,,,,,3.0,,,,,,,,
Pape Matar Sarr,pape-matar-sarr,P. M. Sarr,M,29,185,33248,M,pape,1002711,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,1031961600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابي مطر سار', 'hi': 'पापे मटर सर्र', 'bn': 'পোপ মাতার সরর'}, 'shortNameTranslation': {'ar': 'ب. م. سار', 'hi': 'पीएम मटर', 'bn': 'পি. এম. সর'}}",25.0,21.0,2.0,,9.0,9.0,12.0,18.0,1.0,5.0,,,,,,,45.0,31.0,6.6,7.0,0.0159084,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
Brennan Johnson,brennan-johnson,B. Johnson,F,22,186,9634,M,brenjohnson_,1085180,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,990576000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برينان جونسون', 'hi': 'ब्रेनन जॉनसन', 'bn': 'ব্রেনান জনসন'}, 'shortNameTranslation': {'ar': 'ب. جونسون', 'hi': 'बी. जॉनसन', 'bn': 'বি. জনসন'}}",49.0,44.0,1.0,,7.0,8.0,37.0,46.0,,8.0,,,,,,,89.0,66.0,7.2,14.0,0.146089,"{'original': 7.2, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,4.0,3.0,1.0,1.0,,2.0,2.0,1.0,1.0,,0.8425,0.7767,2.0,,,,,1.0,,3.0,1.0,,1.0,2.0,,,,,,,
James Maddison,james-maddison,J. Maddison,M,10,175,16399,M,Madders,356398,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848707200,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ماديسون', 'hi': 'जेम्स मैडिसन', 'bn': 'জেমস ম্যাডিসন'}, 'shortNameTranslation': {'ar': 'ج. ماديسون', 'hi': 'जे. मैडिसन', 'bn': 'জে. ম্যাডিসন'}}",60.0,50.0,,,7.0,7.0,44.0,56.0,,1.0,,,,,,,76.0,72.0,7.2,14.0,0.186918,"{'original': 7.2, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,2.0,4.0,1.0,,,,,,,,0.0856,,4.0,,,,,1.0,,2.0,1.0,3.0,,,1.0,2.0,,,,,
Timo Werner,timo-werner,T. Werner,F,36,180,20181,M,timowerner,232306,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,826070400,"{'value': 4700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيمو فيرنر', 'hi': 'टीमो वर्नर', 'bn': 'টিমো ওয়ার্নার'}, 'shortNameTranslation': {'ar': 'ت. فيرنر', 'hi': 'टी. वर्नर', 'bn': 'টি. ওয়ার্নার'}}",41.0,31.0,1.0,,8.0,9.0,25.0,37.0,,3.0,,,,,,,76.0,56.0,7.2,15.0,0.716483,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,6.0,4.0,3.0,,,,1.0,1.0,1.0,1.0,0.0237,,1.0,,,,,,,3.0,1.0,2.0,,,2.0,1.0,1.0,,,,
