name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,errorLeadToAShot,wasFouled,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,accurateOppositionHalfPasses,totalCross,accurateCross,duelLost,challengeLost,totalContest,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,hitWoodwork,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,expectedGoals,expectedGoalsOnTarget,keyPass,aerialLost,dispossessed,bigChanceMissed,outfielderBlock,wonContest,blockedScoringAttempt,goals,totalOffside,firstName,lastName,savedShotsFromInsideTheBox,punches,clearanceOffLine
Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7041,M,guglielmovicario,553606,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,844646400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكاريو غولييلمو', 'hi': 'गुग्लिल्मो विकारियो', 'bn': 'উইলিয়াম দ্য ভিকারিও'}, 'shortNameTranslation': {'ar': 'ف. غولييلمو', 'hi': 'जी. विकारियो', 'bn': 'জি. ভিকারিও'}}",23.0,21.0,3.0,1.0,21.0,22.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,3.0,2.0,2.0,90.0,36.0,6.7,2.0,5.002e-05,"{'original': 6.7, 'alternative': 6.6}",0,-0.5095,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Porro,pedro-porro,P. Porro,D,23,173,11089,M,pedroporro29,913654,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,937180800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو بورو', 'hi': 'पेड्रो पोरो', 'bn': 'পেড্রো পোরো'}, 'shortNameTranslation': {'ar': 'ب. بورو', 'hi': 'पी. पोरो', 'bn': 'পি. পোরো'}}",61.0,52.0,8.0,3.0,25.0,27.0,44.0,2.0,4.0,,4.0,,1.0,,,,,90.0,95.0,8.4,21.0,0.442872,"{'original': 8.4, 'alternative': 7.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,30.0,10.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.1981,0.389,4.0,,,,,,,,,,,,,
Emerson Royal,emerson-royal,E. Royal,D,22,183,9716,M,emerson_royal,856123,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,916272000,"{'value': 8600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}, 'shortNameTranslation': {'ar': 'إ. رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}}",97.0,94.0,3.0,3.0,67.0,69.0,28.0,1.0,2.0,2.0,5.0,,1.0,,,,,90.0,104.0,6.6,4.0,0.0135005,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,27.0,,,3.0,1.0,,,1.0,,,1.0,,,1.0,1.0,0.0375,,,1.0,,,,,,,,,,,,
Ben Davies,ben-davies,B. Davies,D,33,181,2694,M,,94758,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,735609600,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بين ديفيز', 'hi': 'बेन डेविस', 'bn': 'বেন ডেভিস'}, 'shortNameTranslation': {'ar': 'ب. ديفيز', 'hi': 'बी. डेविस', 'bn': 'বি. ডেভিস'}}",102.0,96.0,8.0,4.0,63.0,66.0,38.0,4.0,7.0,3.0,8.0,,,,,,,90.0,115.0,6.9,8.0,0.0150984,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,34.0,2.0,1.0,6.0,1.0,,,1.0,,,2.0,3.0,2.0,,,0.242,,,4.0,1.0,1.0,1.0,,,,,,,,,
Destiny Udogie,destiny-udogie,D. Udogie,D,13,186,5987,M,udogiethree,983572,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1038441600,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديستيني أودوجي', 'hi': 'डेस्टिनी उडोगी', 'bn': 'ডেসটিনি উদোগি'}, 'shortNameTranslation': {'ar': 'د. أودوجي', 'hi': 'डी. उडोगी', 'bn': 'ডি. উদোগি'}}",49.0,42.0,2.0,,16.0,19.0,31.0,1.0,7.0,1.0,8.0,,2.0,,,,,90.0,65.0,6.8,12.0,0.0258862,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,26.0,1.0,,2.0,1.0,,,1.0,,,2.0,4.0,2.0,2.0,1.0,0.3413,,,,,1.0,,,,,,,,,,
Rodrigo Bentancur,bentancur-rodrigo,R. Bentancur,M,30,187,8373,M,rodrigo_bentancur,791190,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,867196800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو بينتانكور', 'hi': 'बेनटानकुर, रोड्रिगो', 'bn': 'বেন্টানকুর, রদ্রিগো'}, 'shortNameTranslation': {'ar': 'ر. بينتانكور', 'hi': 'आर. बेनटानकुर', 'bn': 'আর. বেন্টানকুর'}}",28.0,24.0,,,9.0,9.0,19.0,,3.0,,1.0,,1.0,,,,,32.0,34.0,7.1,5.0,0.276585,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,15.0,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,
Giovani Lo Celso,lo-celso-giovani,G. Lo Celso,M,20,177,16348,M,locelso_giovani,798835,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,829008000,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيوفاني لو سيلسو', 'hi': 'लो सेल्सो, जियोवानी', 'bn': 'লো সেলসো, জিওভানি'}, 'shortNameTranslation': {'ar': 'ج. لو سيلسو', 'hi': 'जी. सेल्सो,', 'bn': 'জি. লো সেলসো'}}",76.0,70.0,3.0,3.0,28.0,30.0,46.0,,7.0,,10.0,,2.0,,,,,86.0,89.0,7.9,7.0,0.0945436,"{'original': 7.9, 'alternative': 7.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,42.0,,,6.0,2.0,2.0,,,1.0,,1.0,4.0,1.0,,3.0,0.073,0.0512,3.0,,,,,1.0,1.0,1.0,,,,,,
Brennan Johnson,brennan-johnson,B. Johnson,F,22,186,9634,M,brenjohnson_,1085180,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,990576000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برينان جونسون', 'hi': 'ब्रेनन जॉनसन', 'bn': 'ব্রেনান জনসন'}, 'shortNameTranslation': {'ar': 'ب. جونسون', 'hi': 'बी. जॉनसन', 'bn': 'বি. জনসন'}}",26.0,21.0,2.0,1.0,6.0,6.0,22.0,,2.0,,5.0,,1.0,,,,,90.0,39.0,6.7,11.0,0.101622,"{'original': 6.7, 'alternative': 6.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,15.0,2.0,,5.0,1.0,5.0,,1.0,2.0,,,,,,,0.6268,0.5662,1.0,,,1.0,,1.0,,,2.0,,,,,
Dejan Kulusevski,dejan-kulusevski,D. Kulusevski,M,21,186,12068,M,dejan_k10,928124,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,956620800,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديان كولوسيفسكي', 'hi': 'देजान कुलुसेवस्की', 'bn': 'দেজান কুলুসেভস্কি'}, 'shortNameTranslation': {'ar': 'د. كولوسيفسكي', 'hi': 'डी. कुलुसेवस्की', 'bn': 'ডি. কুলুসেভস্কি'}}",24.0,20.0,2.0,,1.0,1.0,25.0,,10.0,,2.0,,1.0,,,,,90.0,51.0,7.4,12.0,0.251788,"{'original': 7.4, 'alternative': 7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,20.0,2.0,1.0,11.0,2.0,10.0,,2.0,1.0,1.0,1.0,3.0,2.0,,3.0,0.6677,0.2265,3.0,,2.0,1.0,,6.0,,,1.0,,,,,
Bryan Gil,bryan-gil,B. Gil,M,21,176,3690,M,bryan11gil,910026,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,981849600,"{'value': 12400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان جيل', 'hi': 'ब्रायन गिल', 'bn': 'ব্রায়ান গিল'}, 'shortNameTranslation': {'ar': 'ب. جيل', 'hi': 'बी. गिल', 'bn': 'বি. গিল'}}",49.0,42.0,,,19.0,19.0,33.0,,3.0,,3.0,,,,,,,71.0,64.0,7.1,13.0,0.0402892,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,24.0,3.0,1.0,3.0,,4.0,,,1.0,,,,,3.0,1.0,0.0914,0.0386,1.0,1.0,,,,3.0,,,,,,,,
