minute,value
1.0,-4
2.0,-6
3.0,8
4.0,-4
5.0,27
6.0,20
7.0,11
8.0,5
9.0,2
10.0,23
11.0,-16
12.0,-7
13.0,-10
14.0,-19
15.0,19
16.0,39
17.0,19
18.0,7
19.0,-25
20.0,69
21.0,41
22.0,19
23.0,8
24.0,3
25.0,-8
26.0,-2
27.0,-19
28.0,-17
29.0,-5
30.0,20
31.0,-36
32.0,-14
33.0,-24
34.0,-11
35.0,-1
36.0,31
37.0,12
38.0,-9
39.0,21
40.0,13
41.0,1
42.0,2
43.0,62
44.0,100
45.0,54
45.5,-55
46.0,-1
47.0,-1
48.0,-1
49.0,8
50.0,5
51.0,16
52.0,-16
53.0,-3
54.0,-2
55.0,-1
56.0,6
57.0,6
58.0,6
59.0,18
60.0,-14
61.0,13
62.0,11
63.0,-27
64.0,-13
65.0,-21
66.0,-35
67.0,-21
68.0,19
69.0,-18
70.0,-6
71.0,-1
72.0,1
73.0,-1
74.0,20
75.0,12
76.0,11
77.0,15
78.0,10
79.0,6
80.0,10
81.0,7
82.0,-7
83.0,-2
84.0,15
85.0,65
86.0,29
87.0,8
88.0,-14
89.0,-57
90.0,-44
90.5,46
