name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelLost,duelWon,interceptionWon,wasFouled,fouls,aerialLost,aerialWon,shotOffTarget,outfielderBlock,totalTackle,wonTackle,expectedGoals,unsuccessfulTouch,firstName,lastName,goalAssist,bigChanceCreated,keyPass,challengeLost,dispossessed,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,expectedGoalsOnTarget,goals,totalOffside,bigChanceMissed,lastManTackle,errorLeadToAGoal,hitWoodwork
Neto,neto,Neto,G,22,190,5304,M,Neto_Murara,84844,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,616809600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}, 'shortNameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}}",18.0,11.0,13.0,6.0,6.0,11.0,5.0,7.0,3.0,4.0,2.0,1.0,1.0,2.0,90.0,26.0,6.6,7.0,0.0013544,"{'original': 6.6, 'alternative': 6.4}",0,-1.1311,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Smith,adam-smith,A. Smith,D,15,180,465,M,,44566,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,672883200,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم سميث', 'hi': 'एडम स्मिथ', 'bn': 'অ্যাডাম স্মিথ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'hi': 'ए. स्मिथ', 'bn': 'এ. স্মিথ'}}",19.0,15.0,3.0,,10.0,11.0,6.0,9.0,4.0,5.0,,,,,90.0,42.0,6.5,7.0,0.0516523,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,16673,M,IlliaZabarnyi,1023567,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1030838400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",33.0,23.0,9.0,1.0,19.0,21.0,4.0,12.0,4.0,4.0,,,,,90.0,46.0,6.9,10.0,0.00150563,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,9.0,,1.0,1.0,3.0,4.0,1.0,1.0,5.0,4.0,0.0823,,,,,,,,,,,,,,,,,,,
Marcos Senesi,marcos-senesi,M. Senesi,D,5,184,4999,M,,830659,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,863222400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس سينيسي', 'hi': 'मार्कोस सेनेसी', 'bn': 'মার্কোস সেনেসি'}, 'shortNameTranslation': {'ar': 'م. سينيسي', 'hi': 'एम. सेनेसी', 'bn': 'এম. সেনেসি'}}",29.0,20.0,11.0,4.0,9.0,12.0,11.0,17.0,3.0,5.0,,,,,90.0,50.0,7.2,12.0,0.299335,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,5.0,2.0,1.0,1.0,1.0,2.0,,3.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,
Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,24997,M,miloskerkez,1097425,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,1068163200,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميلوش كيركيز', 'hi': 'मिलोस केर्केज़', 'bn': 'মিলোস কেরকেজ'}, 'shortNameTranslation': {'ar': 'م. كيركيز', 'hi': 'एम. केर्केज़', 'bn': 'এম. কেরকেজ'}}",21.0,12.0,3.0,,4.0,7.0,9.0,17.0,1.0,5.0,,,,,83.0,36.0,7.4,14.0,0.0316795,"{'original': 7.4, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,3.0,6.0,1.0,,1.0,2.0,2.0,,,4.0,4.0,,,Milos,Kerkez,1.0,1.0,1.0,,,,,,,,,,,,,
Ryan Christie,ryan-christie,R. Christie,M,10,178,1202,M,,322391,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,793411200,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان كريستي', 'hi': 'रयान क्रिस्टी', 'bn': 'রায়ান ক্রিস্টি'}, 'shortNameTranslation': {'ar': 'ر. كريستي', 'hi': 'आर. क्रिस्टी', 'bn': 'আর. ক্রিস্টি'}}",36.0,31.0,7.0,7.0,10.0,11.0,21.0,26.0,3.0,9.0,,,,,90.0,63.0,9.1,11.0,0.774664,"{'original': 9.1, 'alternative': 8.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,5.0,11.0,2.0,1.0,1.0,1.0,,1.0,,6.0,6.0,0.194,2.0,,,1.0,2.0,3.0,1.0,2.0,4.0,4.0,1.0,1.0,0.1297,,,,,,
Lewis Cook,lewis-cook,L. Cook,M,4,175,837,M,,548188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,854928000,"{'value': 13700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",37.0,31.0,2.0,2.0,11.0,13.0,22.0,28.0,2.0,10.0,,,,,90.0,49.0,6.9,9.0,0.0945348,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,2.0,5.0,3.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,3.0,2.0,1.0,1.0,1.0,,,,,,,,,
Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178,1676,M,,895576,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,922060800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس تافيرنييه', 'hi': 'मार्कस टैवर्नियर', 'bn': 'মার্কাস ট্যাভার্নিয়ার'}, 'shortNameTranslation': {'ar': 'م. تافيرنييه', 'hi': 'एम. टैवर्नियर', 'bn': 'এম. ট্যাভার্নিয়ার'}}",25.0,16.0,4.0,1.0,4.0,6.0,12.0,22.0,1.0,9.0,,,,,89.0,51.0,7.0,18.0,0.409191,"{'original': 7, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,,7.0,9.0,,2.0,,2.0,2.0,1.0,,2.0,1.0,0.1173,1.0,,,,1.0,2.0,,1.0,7.0,3.0,,1.0,,,,,,,
Justin Kluivert,justin-kluivert,J. Kluivert,M,19,171,7016,M,justinkluivert,851596,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,925862400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاستن كلويفرت', 'hi': 'जस्टिन क्लुइवर्ट', 'bn': 'জাস্টিন ক্লুইভার্ট'}, 'shortNameTranslation': {'ar': 'ج. كلويفرت', 'hi': 'जे. क्लुइवर्ट', 'bn': 'জে. ক্লুইভার্ট'}}",11.0,8.0,1.0,,2.0,2.0,6.0,9.0,,2.0,,,,,70.0,30.0,6.5,11.0,0.0154735,"{'original': 6.5, 'alternative': 6.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,11.0,7.0,,2.0,4.0,1.0,,1.0,,3.0,2.0,0.0379,2.0,,,,,2.0,,3.0,5.0,2.0,,1.0,,,,,,,
Antoine Semenyo,antoine-semenyo,A. Semenyo,M,24,185,33799,M,antoinesemenyo42,934354,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,947203200,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنطوان سيمينيو', 'hi': 'एंटोनी सेमेन्यो', 'bn': 'অ্যান্টোইন সেমেনিও'}, 'shortNameTranslation': {'ar': 'أ. سيمينيو', 'hi': 'ए. सेमेन्यो', 'bn': 'এ. সেমেনিও'}}",17.0,9.0,1.0,,,3.0,9.0,15.0,1.0,4.0,,,,,70.0,33.0,6.9,16.0,0.0165752,"{'original': 6.9, 'alternative': 6.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,11.0,1.0,,1.0,3.0,1.0,,,,,,0.2805,1.0,,,,,1.0,1.0,5.0,1.0,,3.0,,0.8142,1.0,1.0,,,,
