name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalContest,wonContest,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialLost,duelLost,dispossessed,shotOffTarget,blockedScoringAttempt,totalClearance,ballRecovery,totalTackle,unsuccessfulTouch,fouls,expectedGoals,aerialWon,outfielderBlock,interceptionWon,wonTackle,onTargetScoringAttempt,goals,expectedGoalsOnTarget,keyPass,accurateCross,challengeLost,wasFouled,sofascoreId,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,totalOffside
Mark Flekken,mark-flekken,M. Flekken,G,1,194,2871,M,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",27.0,21.0,8.0,2.0,20.0,21.0,1.0,6.0,1.0,1.0,1.0,90.0,28.0,6.1,6.0,0.00021864,"{'original': 6.1, 'alternative': 6.2}",0,-0.8509,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saman Ghoddos,saman-ghoddos,S. Ghoddos,M,7,177,2148,M,548050,"{'alpha2': 'IR', 'alpha3': 'IRN', 'name': 'Iran', 'slug': 'iran'}",EUR,747273600,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سامان قدوس', 'hi': 'समन घोड्डोस', 'bn': 'সামান ঘোদ্দোস'}, 'shortNameTranslation': {'ar': 'س. قدوس', 'hi': 'एस. घोड्डोस', 'bn': 'এস, ঘোদ্দোস'}}",65.0,50.0,7.0,1.0,19.0,24.0,31.0,43.0,1.0,,,77.0,90.0,6.6,22.0,0.028381,"{'original': 6.6, 'alternative': 6.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,1.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,0.0366,,,,,,,,,,,,,,,,,
Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1038,M,855864,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,738633600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",86.0,83.0,5.0,4.0,49.0,49.0,34.0,37.0,4.0,,,90.0,95.0,7.3,4.0,0.011773,"{'original': 7.3, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,1.0,3.0,7.0,1.0,1.0,,0.0613,3.0,1.0,1.0,1.0,,,,,,,,,,,,,
Ben Mee,ben-mee,B. Mee,D,15,180,600,M,137774,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,622339200,"{'value': 460000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن مي', 'hi': 'बेन मी', 'bn': 'বেন মে'}, 'shortNameTranslation': {'ar': 'ب. مي', 'hi': 'बी. मी', 'bn': 'বি. মি'}}",91.0,78.0,12.0,7.0,35.0,38.0,43.0,53.0,4.0,1.0,1.0,90.0,105.0,8.3,14.0,0.0259774,"{'original': 8.3, 'alternative': 7.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,6.0,8.0,1.0,2.0,,2.0,10.0,,,1.0,0.1882,3.0,2.0,1.0,,1.0,1.0,0.0559,2.0,,,,,,,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1013,M,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",86.0,71.0,8.0,2.0,35.0,36.0,38.0,55.0,3.0,,,90.0,109.0,7.1,21.0,0.361705,"{'original': 7.1, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,2.0,6.0,3.0,,,5.0,9.0,1.0,,,,2.0,,1.0,,,,,4.0,2.0,1.0,,,,,,,
Frank Onyeka,frank-onyeka,F. Onyeka,M,15,183,3717,M,885864,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,883612800,"{'value': 6700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فرانك أونييكا', 'hi': 'फ्रैंक ओनेका', 'bn': 'ফ্রাঙ্ক ওনিয়েকা'}, 'shortNameTranslation': {'ar': 'ف. أونييكا', 'hi': 'एफ. ओनेका', 'bn': 'এফ. ওনিয়েকা'}}",39.0,34.0,1.0,,11.0,11.0,23.0,33.0,4.0,,,90.0,57.0,7.2,14.0,0.0260847,"{'original': 7.2, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,2.0,2.0,,1.0,1.0,,2.0,3.0,4.0,,0.5477,,1.0,2.0,1.0,,,,,,,1.0,,,,,,
Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,8776,M,135256,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,763257600,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان نورغارد', 'hi': 'क्रिश्चियन नॉरगार्ड', 'bn': 'ক্রিশ্চিয়ান নরগার্ড'}, 'shortNameTranslation': {'ar': 'ك. نورغارد', 'hi': 'सी. नॉरगार्ड', 'bn': 'সি. নরগার্ড'}}",86.0,71.0,11.0,5.0,23.0,24.0,49.0,64.0,5.0,1.0,1.0,90.0,113.0,7.3,19.0,0.266977,"{'original': 7.3, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,2.0,4.0,8.0,,,1.0,6.0,3.0,4.0,,1.0,0.0206,,,,1.0,,,,1.0,1.0,3.0,,,,,,,
Yehor Yarmolyuk,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180,2447,M,1031258,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1078099200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يارموليوك، يهور', 'hi': 'यार्मोलीउक, योहोर', 'bn': 'ইয়ারমোলিক, ইহোর'}, 'shortNameTranslation': {'ar': 'ي. يارموليوك', 'hi': 'वाई. यार्मोलीउक', 'bn': 'ওয়াই. ইয়ারমোলিক'}}",29.0,27.0,,,8.0,8.0,19.0,22.0,4.0,2.0,1.0,70.0,44.0,7.2,7.0,0.0191295,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,2.0,,,1.0,,3.0,3.0,3.0,1.0,0.0358,,,,3.0,,,,2.0,,,,,,,,,
Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,89920,M,927083,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,933984000,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان مبيومو', 'hi': 'ब्रायन मबेउमो', 'bn': 'ব্রায়ান এমবেউমো'}, 'shortNameTranslation': {'ar': 'ب. مبيومو', 'hi': 'बी. मबेउमो', 'bn': 'বি. এমবেউমো'}}",41.0,34.0,1.0,,4.0,4.0,31.0,44.0,3.0,3.0,,78.0,65.0,7.3,19.0,0.0789191,"{'original': 7.3, 'alternative': 7}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,2.0,6.0,,2.0,2.0,,5.0,,3.0,1.0,0.3304,,,1.0,,,,,1.0,1.0,,3.0,bryan_m19,1.0,,,,
Neal Maupay,neal-maupay,N. Maupay,F,9,171,2064,M,268903,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,839980800,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيل موباي', 'hi': 'नील मौपे', 'bn': 'নিল মাউপে'}, 'shortNameTranslation': {'ar': 'ن. موباي', 'hi': 'एन. मौपे', 'bn': 'এন. মাউপে'}}",31.0,23.0,1.0,,5.0,5.0,19.0,28.0,7.0,2.0,2.0,89.0,53.0,8.1,13.0,0.0824368,"{'original': 8.1, 'alternative': 7.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,3.0,9.0,3.0,1.0,1.0,,7.0,2.0,1.0,2.0,0.9645,,,,1.0,2.0,1.0,1.4903,2.0,1.0,1.0,3.0,,,,,,
