name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,duelLost,totalContest,wonContest,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,totalCross,aerialLost,aerialWon,dispossessed,shotOffTarget,onTargetScoringAttempt,totalClearance,expectedGoals,expectedGoalsOnTarget,interceptionWon,goalAssist,challengeLost,blockedScoringAttempt,goals,errorLeadToAShot,accurateCross,bigChanceMissed,hitWoodwork,errorLeadToAGoal,bigChanceCreated,penaltyWon,penaltyFaced,outfielderBlock,ownGoals,penaltyConceded,totalOffside
Ederson,ederson,Ederson,G,31,188.0,51284,M,Ederson93,254491,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,745545600,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}}",31.0,29.0,3.0,1.0,27.0,27.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,90.0,35.0,6.7,2.0,0.00054931,"{'original': 6.7, 'alternative': 6.5}",0,0.2324,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Lewis,rico-lewis,R. Lewis,D,82,170.0,17414,M,Rico_Lewis,1136731,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1100995200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريكو لويس', 'hi': 'रिको लुईस', 'bn': 'রিকো লুইস'}, 'shortNameTranslation': {'ar': 'ر. لويس', 'hi': 'आर. लुईस', 'bn': 'আর. লুইস'}}",86.0,84.0,3.0,2.0,35.0,35.0,49.0,51.0,3.0,6.0,1.0,,,,90.0,94.0,7.7,3.0,0.130621,"{'original': 7.7, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Rico Lewis,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rúben Dias,ruben-dias,R. Dias,D,3,188.0,40658,M,RúbenD,318941,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,863568000,"{'value': 65000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبن دياز', 'hi': 'रुबेन डियास', 'bn': 'রুবেন ডায়াস'}, 'shortNameTranslation': {'ar': 'ر. دياز', 'hi': 'आर. डियास', 'bn': 'আর. ডায়াস'}}",114.0,110.0,4.0,3.0,55.0,56.0,55.0,59.0,9.0,4.0,1.0,,,,90.0,126.0,7.6,7.0,0.0900188,"{'original': 7.6, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,6.0,,,2.0,,1.0,1.0,1.0,1.0,4.0,6.0,1.0,2.0,1.0,1.0,0.1181,0.1073,,,,,,,,,,,,,,,,,
Manuel Akanji,manuel-akanji,M. Akanji,D,25,187.0,23614,M,manuel_akanji,383560,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,806112000,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل أكانجي', 'hi': 'मैनुअल अकांजी', 'bn': 'ম্যানুয়েল আকানজি'}, 'shortNameTranslation': {'ar': 'م. أكانجي', 'hi': 'एम. अकांजी', 'bn': 'এম. আকানজি'}}",94.0,90.0,4.0,3.0,26.0,27.0,64.0,67.0,3.0,9.0,,,,,90.0,103.0,7.7,5.0,0.172456,"{'original': 7.7, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,,3.0,2.0,1.0,,2.0,,1.0,,,1.0,,1.0,0.0653,,2.0,,,,,,,,,,,,,,,,
Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,186.0,50283,M,JGvardiol,964994,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,1011744000,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوشكو غفارديول', 'hi': 'जोस्को ग्वार्डिओल', 'bn': 'জোসকো গোওয়ারদিওল'}, 'shortNameTranslation': {'ar': 'ي. غفارديول', 'hi': 'जे. ग्वार्डिओल', 'bn': 'জে. গোওয়ারদিওল'}}",67.0,60.0,3.0,2.0,14.0,15.0,46.0,52.0,5.0,5.0,,,,,90.0,88.0,8.7,10.0,0.136017,"{'original': 8.7, 'alternative': 8.2}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,,,3.0,,2.0,,2.0,,2.0,2.0,,1.0,2.0,1.0,0.309,0.4344,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
Matheus Nunes,matheus-nunes,M. Nunes,D,27,183.0,18816,M,matheusnunes,945122,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,904176000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماثيوس نونيز', 'hi': 'मैथियस नून्स', 'bn': 'ম্যাথিউস নুনেস'}, 'shortNameTranslation': {'ar': 'م. نونيز', 'hi': 'एम. नून्स', 'bn': 'এম. নুনেস'}}",71.0,59.0,1.0,,9.0,10.0,51.0,65.0,2.0,6.0,1.0,,,,90.0,86.0,6.6,18.0,0.161264,"{'original': 6.6, 'alternative': 6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,10.0,1.0,,1.0,1.0,1.0,2.0,1.0,4.0,2.0,,1.0,1.0,2.0,,0.3875,0.1721,1.0,,4.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,
Mateo Kovačić,mateo-kovacic,M. Kovačić,M,8,178.0,34246,M,Kova8,136710,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,768182400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتيو كوفاسيتش', 'hi': 'माटेओ कोवासिक', 'bn': 'মাতেও কোভাসিক'}, 'shortNameTranslation': {'ar': 'م. كوفاسيتش', 'hi': 'एम. कोवासिक', 'bn': 'এম. কোভাসিচ'}}",87.0,81.0,2.0,,16.0,16.0,65.0,71.0,7.0,8.0,,,,,90.0,102.0,8.9,8.0,0.214611,"{'original': 8.9, 'alternative': 8.4}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,1.0,5.0,4.0,2.0,,4.0,,1.0,1.0,,2.0,1.0,,0.3844,0.3081,,,,2.0,1.0,,,,,,,,,,,,
Julián Alvarez,julian-alvarez,J. Álvarez,F,19,170.0,228751,M,LaAraña,944656,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,949276800,"{'value': 97000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوليان ألفاريز', 'hi': 'जूलियन अल्वारेज़', 'bn': 'জুলিয়ান আলভারেজ'}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जे. अल्वारेज़', 'bn': 'জে. আলভারেজ'}}",61.0,51.0,3.0,1.0,8.0,10.0,45.0,61.0,4.0,6.0,,,,,90.0,89.0,7.9,23.0,0.479159,"{'original': 7.9, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,3.0,1.0,3.0,3.0,2.0,,3.0,10.0,1.0,,1.0,2.0,1.0,,0.5735,0.7073,,1.0,,,,,2.0,1.0,,,,,,,,,
Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181.0,335100,M,KDB,70996,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,678067200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفن دي بروين', 'hi': 'केविन डी ब्रूने', 'bn': 'কেভিন ডি ব্রুইন'}, 'shortNameTranslation': {'ar': 'ك. دي بروين', 'hi': 'के. डी ब्रूने', 'bn': 'কে. ডি ব্রুইন'}}",61.0,56.0,,,5.0,5.0,53.0,61.0,,2.0,,,,,81.0,76.0,9.1,9.0,1.04491,"{'original': 9.1, 'alternative': 8.7}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,4.0,,,,,1.0,2.0,7.0,5.0,1.0,,,1.0,3.0,,0.2612,0.2307,,,1.0,1.0,,,2.0,,,,3.0,,,,,,
Jérémy Doku,jeremy-doku,J. Doku,M,11,173.0,68596,M,Dokss,934386,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1022457600,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيريمي دوكو', 'hi': 'जेरेमी डोकू', 'bn': 'জেরেমি ডকু'}, 'shortNameTranslation': {'ar': 'ج. دوكو', 'hi': 'जे. डोकू', 'bn': 'জে. ডকু'}}",55.0,53.0,,,5.0,5.0,49.0,55.0,8.0,2.0,1.0,,,,90.0,87.0,9.6,15.0,0.349685,"{'original': 9.6, 'alternative': 8.7}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,11.0,6.0,1.0,1.0,2.0,,3.0,5.0,1.0,,1.0,2.0,1.0,,0.4795,0.716,,1.0,,3.0,1.0,,1.0,,,,,1.0,,,,,
