name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,shotOffTarget,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,expectedGoals,onTargetScoringAttempt,clearanceOffLine,outfielderBlock,wasFouled,expectedGoalsOnTarget,keyPass,challengeLost,blockedScoringAttempt,totalOffside,hitWoodwork,savedShotsFromInsideTheBox,bigChanceMissed,goals,bigChanceCreated
Odysseas Vlachodimos,,,odysseas-vlachodimos,O. Vlachodimos,G,1,191,2945,M,138149,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,767318400,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوديسياس فلاكوديموس', 'hi': 'ओडिसीस व्लाचोदिमोस', 'bn': 'ওডেসিয়াস ভ্লাচোডিমোস'}, 'shortNameTranslation': {'ar': 'أ. فلاكوديموس', 'hi': 'ओ. व्लाचोदिमोस', 'bn': 'ও. ভ্লাচোডিমোস'}}",44.0,37.0,12.0,5.0,35.0,38.0,2.0,6.0,1.0,5.0,1.0,1.0,90.0,50.0,6.4,8.0,0.00030128,"{'original': 6.4, 'alternative': 6.5}",0,-0.6393,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serge Aurier,,,serge-aurier,S. Aurier,D,93,176,3021,M,105697,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,725155200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرج أورييه', 'hi': 'सर्ज ऑरिएर', 'bn': 'সার্জ অউরিয়ার'}, 'shortNameTranslation': {'ar': 'س. أورييه', 'hi': 'एस. ऑरिएर', 'bn': 'সি. অউরিয়ার'}}",69.0,62.0,5.0,3.0,35.0,38.0,28.0,35.0,4.0,8.0,,,90.0,103.0,7.4,17.0,0.0719104,"{'original': 7.4, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Serge_aurier,4.0,1.0,5.0,3.0,8.0,9.0,1.0,2.0,1.0,1.0,2.0,5.0,4.0,2.0,1.0,0.0132,,,,,,,,,,,,,,
Willy Boly,,,willy-boly,W. Boly,D,30,195,1805,M,139310,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,665539200,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلي بولي', 'hi': 'विली बोली', 'bn': 'উইলি বলি'}, 'shortNameTranslation': {'ar': 'و. بولي', 'hi': 'डब्लू. बोली', 'bn': 'ডব্লিউ. বলি'}}",39.0,31.0,8.0,4.0,28.0,31.0,3.0,8.0,9.0,2.0,,,45.0,53.0,6.9,8.0,0.00066667,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,4.0,3.0,5.0,3.0,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,
Murillo,Murillo,,murillo,Murillo,D,5,180,9796,M,1199282,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1025740800,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",79.0,63.0,17.0,6.0,46.0,51.0,17.0,28.0,7.0,7.0,,,90.0,100.0,7.4,19.0,0.00719139,"{'original': 7.4, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,murillosantiago40,,,4.0,2.0,7.0,4.0,1.0,3.0,1.0,,1.0,,,,,0.0392,1.0,1.0,2.0,1.0,0.0426,,,,,,,,,
Harry Toffolo,,,harry-toffolo,H. Toffolo,D,15,183,379,M,358218,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,808790400,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري توفولو', 'hi': 'हैरी टोफ़ोलो', 'bn': 'হ্যারি টফোলো'}, 'shortNameTranslation': {'ar': 'ه. توفولو', 'hi': 'एच. टोफ़ोलो', 'bn': 'এইচ. টফোলো'}}",49.0,34.0,11.0,2.0,21.0,26.0,14.0,26.0,5.0,2.0,,,82.0,71.0,6.9,20.0,0.143117,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,1.0,1.0,2.0,1.0,2.0,,,,,2.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,
Ibrahim Sangaré,,,ibrahim-sangare,I. Sangaré,M,6,191,9875,M,843754,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,881020800,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيم سانغاري', 'hi': 'इब्राहिम संगारे', 'bn': 'ইব্রাহিম সাঙ্গারে'}, 'shortNameTranslation': {'ar': 'إ. سانغاري', 'hi': 'आई. संगारे', 'bn': 'আই. সাঙ্গারে'}}",42.0,36.0,1.0,,16.0,18.0,20.0,24.0,3.0,6.0,,,65.0,63.0,7.1,12.0,0.0624497,"{'original': 7.1, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,ibrahim_sangare,,,,,2.0,6.0,,1.0,,,,4.0,2.0,4.0,1.0,,,,,2.0,,1.0,,,,,,,,
Orel Mangala,,,orel-mangala,O. Mangala,M,20,178,1539,M,793988,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,890179200,"{'value': 9600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانغالا، أوريل', 'hi': 'मंगला, ओरेल', 'bn': 'মঙ্গলা, ওরেল'}, 'shortNameTranslation': {'ar': 'أ. مانغالا', 'hi': 'ओ. मंगला', 'bn': 'ও. মঙ্গলা'}}",64.0,62.0,6.0,5.0,36.0,37.0,26.0,27.0,5.0,11.0,,,90.0,88.0,7.3,6.0,0.0456473,"{'original': 7.3, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,1.0,4.0,8.0,1.0,2.0,1.0,,2.0,3.0,,2.0,1.0,,,,1.0,3.0,,,1.0,,,,,,,
Ryan Yates,,,ryan-yates,R. Yates,M,22,190,881,M,846252,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,880070400,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",43.0,35.0,8.0,5.0,17.0,21.0,18.0,22.0,2.0,7.0,,,90.0,66.0,8.2,10.0,0.0189363,"{'original': 8.2, 'alternative': 7.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,4.0,4.0,8.0,17.0,,2.0,2.0,,1.0,5.0,5.0,2.0,4.0,0.3008,1.0,,1.0,6.0,0.4451,1.0,,1.0,,,,,,
Morgan Gibbs-White,,,morgan-gibbs-white,M. Gibbs-White,M,10,171,6717,M,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",51.0,36.0,7.0,3.0,11.0,15.0,27.0,45.0,1.0,8.0,,,90.0,78.0,6.9,30.0,0.217796,"{'original': 6.9, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Morgangibbs27,9.0,2.0,2.0,2.0,8.0,3.0,1.0,4.0,,1.0,,1.0,1.0,3.0,1.0,0.0892,,,,,,2.0,1.0,2.0,,,,,,
Chris Wood,,,chris-wood,C. Wood,F,11,191,7744,M,50480,"{'alpha2': 'NZ', 'alpha3': 'NZL', 'name': 'New Zealand', 'slug': 'new-zealand'}",EUR,692064000,"{'value': 8400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",21.0,16.0,1.0,1.0,9.0,11.0,7.0,10.0,3.0,4.0,,,90.0,35.0,6.7,10.0,0.021915,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,wodsy39,,,3.0,3.0,6.0,3.0,,,,,,,,5.0,2.0,,,,,,,2.0,1.0,,1.0,,,,,
